Hour,Temperature,Feels_Like,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Wind_Gusts,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-24 00:00:00,42,32,1,95,17,36,14,17,0.0001,9.0,9.0
2024-11-24 01:00:00,42,32,7,95,17,38,13,15,0.004900000000000001,7.0,7.0
2024-11-24 02:00:00,41,31,7,95,18,40,13,15,0.004900000000000001,3.0,3.0
2024-11-24 03:00:00,40,31,7,95,19,42,13,15,0.004900000000000001,6.0,6.0
2024-11-24 04:00:00,40,29,7,95,20,46,14,16,0.8648999999999999,7.0,7.0
2024-11-24 05:00:00,39,29,7,95,22,50,14,16,0.004900000000000001,8.0,8.0
2024-11-24 06:00:00,39,28,5,95,23,53,14,16,0.0025000000000000005,10.0,10.0
2024-11-24 07:00:00,38,26,0,95,24,56,15,17,0.0,11.0,11.0
2024-11-24 08:00:00,40,29,0,95,23,52,15,17,0.0,10.0,10.0
2024-11-24 09:00:00,42,32,0,95,23,46,16,20,0.0,8.0,8.0
2024-11-24 10:00:00,45,35,0,95,22,40,18,22,0.0,8.0,8.0
2024-11-24 11:00:00,47,37,0,95,21,36,20,28,0.0,10.0,10.0
2024-11-24 12:00:00,48,38,3,95,21,33,22,27,0.0009,13.0,13.0
2024-11-24 13:00:00,47,36,25,95,20,35,21,25,0.0625,13.0,13.0
2024-11-24 14:00:00,45,33,25,99,21,38,21,24,0.0625,13.0,13.0
2024-11-24 15:00:00,44,33,31,100,21,39,18,22,0.4760999999999999,12.0,12.0
2024-11-24 16:00:00,42,29,60,100,22,45,15,17,0.36,13.0,13.0
2024-11-24 17:00:00,39,27,58,99,23,53,13,15,0.17640000000000003,9.0,9.0
2024-11-24 18:00:00,37,26,58,98,24,58,12,14,0.3364,8.0,8.0
2024-11-24 19:00:00,36,25,68,94,25,63,10,13,0.4624000000000001,9.0,9.0
2024-11-24 20:00:00,35,25,66,94,25,65,10,12,0.43560000000000004,8.0,8.0
2024-11-24 21:00:00,34,24,49,94,24,68,12,14,0.24009999999999998,10.0,10.0
2024-11-24 22:00:00,32,22,49,94,24,70,12,14,0.24009999999999998,9.0,9.0
2024-11-24 23:00:00,31,18,65,94,23,73,12,14,0.42250000000000004,9.0,9.0
2024-11-25 00:00:00,30,18,64,94,23,75,10,13,0.4096,9.0,9.0
2024-11-25 01:00:00,29,18,70,94,22,75,10,12,0.48999999999999994,8.0,8.0
2024-11-25 02:00:00,28,16,75,94,21,75,9,10,0.5625,8.0,8.0
2024-11-25 03:00:00,27,16,69,94,20,78,8,10,0.4760999999999999,9.0,9.0
2024-11-25 04:00:00,25,17,40,89,20,82,8,10,0.16000000000000003,11.0,11.0
2024-11-25 05:00:00,24,16,34,81,20,85,8,9,0.11560000000000002,11.0,11.0
2024-11-25 06:00:00,22,16,29,76,19,88,7,8,0.0841,7.0,7.0
2024-11-25 07:00:00,19,14,20,95,17,92,6,7,0.04000000000000001,4.0,4.0
2024-11-25 08:00:00,21,19,20,95,17,85,6,6,0.04000000000000001,6.0,6.0
2024-11-25 09:00:00,25,25,20,95,14,63,6,6,0.04000000000000001,1.0,1.0
2024-11-25 10:00:00,30,28,20,95,10,45,6,8,0.04000000000000001,4.0,4.0
2024-11-25 11:00:00,33,31,20,95,8,36,7,8,0.04000000000000001,7.0,7.0
2024-11-25 12:00:00,35,33,25,95,8,32,7,9,0.0625,3.0,3.0
2024-11-25 13:00:00,37,33,57,95,8,30,8,10,0.32489999999999997,5.0,5.0
2024-11-25 14:00:00,37,31,57,95,9,31,9,12,0.32489999999999997,4.0,4.0
2024-11-25 15:00:00,36,31,47,95,10,34,8,13,0.22089999999999999,4.0,4.0
2024-11-25 16:00:00,33,29,19,95,12,42,7,14,0.0361,4.0,4.0
2024-11-25 17:00:00,31,25,19,95,15,52,7,9,0.0361,5.0,5.0
2024-11-25 18:00:00,28,21,14,95,17,62,8,9,0.019600000000000003,4.0,4.0
2024-11-25 19:00:00,29,21,3,98,17,60,9,10,0.0009,5.0,5.0
2024-11-25 20:00:00,28,19,3,100,17,65,9,12,0.0009,4.0,4.0
2024-11-25 21:00:00,28,18,3,100,19,69,9,12,0.0009,2.0,2.0
2024-11-25 22:00:00,26,16,3,100,21,81,9,12,0.0009,1.0,-1.0
2024-11-25 23:00:00,24,15,3,100,22,90,9,12,0.0009,3.0,-3.0
