Hour,Temperature,Feels_Like,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Wind_Gusts,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-24 00:00:00,56,49,0,11,43,60,17,29,0.0,0.0,0.0
2024-11-24 01:00:00,56,49,0,11,44,64,17,29,0.0,0.0,0.0
2024-11-24 02:00:00,56,49,0,11,46,68,17,29,0.0,1.0,1.0
2024-11-24 03:00:00,56,48,0,11,47,71,17,30,0.0,1.0,1.0
2024-11-24 04:00:00,56,48,0,11,48,73,17,30,0.0,1.0,1.0
2024-11-24 05:00:00,56,48,0,11,48,75,17,30,0.0,1.0,1.0
2024-11-24 06:00:00,56,48,0,11,49,78,18,31,0.0,4.0,4.0
2024-11-24 07:00:00,53,45,0,0,49,84,18,30,0.0,0.0,0.0
2024-11-24 08:00:00,55,48,0,4,50,82,18,30,0.0,0.0,0.0
2024-11-24 09:00:00,57,52,0,10,51,79,18,30,0.0,2.0,-2.0
2024-11-24 10:00:00,61,56,0,16,52,73,20,32,0.0,3.0,-3.0
2024-11-24 11:00:00,64,60,0,22,53,67,21,36,0.0,4.0,-4.0
2024-11-24 12:00:00,67,65,0,22,53,61,22,39,0.0,4.0,-4.0
2024-11-24 13:00:00,69,67,0,16,52,54,22,39,0.0,4.0,-4.0
2024-11-24 14:00:00,71,68,0,6,52,50,21,38,0.0,3.0,-3.0
2024-11-24 15:00:00,72,69,0,0,51,48,20,37,0.0,3.0,-3.0
2024-11-24 16:00:00,73,70,0,0,51,45,17,32,0.0,2.0,-2.0
2024-11-24 17:00:00,71,67,0,3,51,49,15,28,0.0,1.0,-1.0
2024-11-24 18:00:00,68,65,0,10,51,54,13,23,0.0,1.0,1.0
2024-11-24 19:00:00,65,62,0,16,51,60,12,20,0.0,3.0,3.0
2024-11-24 20:00:00,63,60,0,22,51,65,12,17,0.0,1.0,1.0
2024-11-24 21:00:00,62,58,0,25,51,68,12,15,0.0,3.0,3.0
2024-11-24 22:00:00,60,56,0,23,50,71,10,13,0.0,4.0,4.0
2024-11-24 23:00:00,58,54,0,18,50,74,9,10,0.0,2.0,2.0
2024-11-25 00:00:00,56,53,0,10,50,78,8,10,0.0,2.0,2.0
2024-11-25 01:00:00,55,50,0,1,49,82,9,13,0.0,4.0,4.0
2024-11-25 02:00:00,53,48,0,0,48,84,9,16,0.0,4.0,4.0
2024-11-25 03:00:00,51,46,0,10,47,85,10,18,0.0,6.0,6.0
2024-11-25 04:00:00,50,42,0,39,46,86,13,21,0.0,7.0,7.0
2024-11-25 05:00:00,48,38,0,73,44,87,16,22,0.0,5.0,5.0
2024-11-25 06:00:00,46,35,0,97,42,85,18,23,0.0,4.0,4.0
2024-11-25 07:00:00,44,32,0,94,40,85,18,23,0.0,3.0,3.0
2024-11-25 08:00:00,42,30,0,82,38,84,18,25,0.0,2.0,2.0
2024-11-25 09:00:00,40,28,0,76,36,86,18,27,0.0,1.0,-1.0
2024-11-25 10:00:00,43,32,0,76,35,74,20,29,0.0,2.0,2.0
2024-11-25 11:00:00,44,34,0,76,34,67,20,31,0.0,2.0,2.0
2024-11-25 12:00:00,46,36,0,76,33,60,20,33,0.0,3.0,3.0
2024-11-25 13:00:00,47,39,0,76,31,54,20,33,0.0,0.0,0.0
2024-11-25 14:00:00,49,40,0,76,30,49,18,31,0.0,2.0,2.0
2024-11-25 15:00:00,49,41,0,76,30,47,17,30,0.0,1.0,1.0
2024-11-25 16:00:00,51,43,0,76,29,43,16,28,0.0,3.0,3.0
2024-11-25 17:00:00,48,40,0,76,29,46,14,25,0.0,3.0,3.0
2024-11-25 18:00:00,46,39,0,76,28,49,12,23,0.0,3.0,3.0
2024-11-25 19:00:00,44,38,0,17,28,54,9,21,0.0,2.0,2.0
2024-11-25 20:00:00,42,36,0,7,29,59,8,20,0.0,1.0,1.0
2024-11-25 21:00:00,41,36,0,0,28,61,7,16,0.0,1.0,1.0
2024-11-25 22:00:00,39,36,0,0,27,62,7,14,0.0,0.0,0.0
2024-11-25 23:00:00,38,35,0,0,27,64,6,13,0.0,2.0,2.0
