Hour,Temperature,Precip_Chance,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-24 0:00:00,24,0,0.0,1.0,1.0
2024-11-24 1:00:00,26,0,0.0,3.0,3.0
2024-11-24 2:00:00,25,0,0.0,1.0,1.0
2024-11-24 3:00:00,25,0,0.0,0.0,0.0
2024-11-24 4:00:00,25,0,0.0,0.0,0.0
2024-11-24 5:00:00,26,0,0.0,1.0,1.0
2024-11-24 6:00:00,26,0,0.0,0.0,0.0
2024-11-24 7:00:00,27,0,0.0,1.0,1.0
2024-11-24 8:00:00,27,0,0.0,0.0,0.0
2024-11-24 9:00:00,28,0,0.0,0.0,0.0
2024-11-24 10:00:00,29,0,0.0,1.0,1.0
2024-11-24 11:00:00,31,0,0.0,2.0,2.0
2024-11-24 12:00:00,32,0,0.0,2.0,2.0
2024-11-24 13:00:00,33,0,0.0,3.0,3.0
2024-11-24 14:00:00,33,15,0.0225,2.0,2.0
2024-11-24 15:00:00,33,15,0.0225,2.0,2.0
2024-11-24 16:00:00,32,0,0.0,2.0,2.0
2024-11-24 17:00:00,31,0,0.0,1.0,1.0
2024-11-24 18:00:00,31,0,0.0,2.0,2.0
2024-11-24 19:00:00,30,0,0.0,1.0,1.0
2024-11-24 20:00:00,29,0,0.0,1.0,1.0
2024-11-24 21:00:00,28,0,0.0,0.0,0.0
2024-11-24 22:00:00,27,0,0.0,3.0,3.0
2024-11-24 23:00:00,25,0,0.0,3.0,3.0
2024-11-25 0:00:00,23,0,0.0,1.0,1.0
2024-11-25 1:00:00,21,0,0.0,1.0,1.0
2024-11-25 2:00:00,19,0,0.0,2.0,2.0
2024-11-25 3:00:00,18,0,0.0,2.0,2.0
2024-11-25 4:00:00,17,0,0.0,3.0,3.0
2024-11-25 5:00:00,16,0,0.0,3.0,3.0
2024-11-25 6:00:00,16,0,0.0,4.0,4.0
2024-11-25 7:00:00,16,0,0.0,5.0,5.0
2024-11-25 8:00:00,16,0,0.0,6.0,6.0
2024-11-25 9:00:00,17,0,0.0,5.0,5.0
2024-11-25 10:00:00,19,0,0.0,6.0,6.0
2024-11-25 11:00:00,21,0,0.0,5.0,5.0
2024-11-25 12:00:00,22,0,0.0,5.0,5.0
2024-11-25 13:00:00,23,0,0.0,5.0,5.0
2024-11-25 14:00:00,23,15,0.0225,4.0,4.0
2024-11-25 15:00:00,23,15,0.0225,4.0,4.0
2024-11-25 16:00:00,22,0,0.0,5.0,5.0
2024-11-25 17:00:00,21,0,0.0,7.0,7.0
2024-11-25 18:00:00,19,0,0.0,5.0,5.0
2024-11-25 19:00:00,19,0,0.0,7.0,7.0
2024-11-25 20:00:00,18,0,0.0,7.0,7.0
2024-11-25 21:00:00,17,0,0.0,5.0,5.0
2024-11-25 22:00:00,17,0,0.0,3.0,3.0
2024-11-25 23:00:00,16,0,0.0,1.0,1.0
