Hour,Temperature,Precip_Chance
2024-11-24 0:00:00,58,0
2024-11-24 1:00:00,58,0
2024-11-24 2:00:00,57,0
2024-11-24 3:00:00,57,0
2024-11-24 4:00:00,56,0
2024-11-24 5:00:00,56,0
2024-11-24 6:00:00,55,0
2024-11-24 7:00:00,56,0
2024-11-24 8:00:00,59,0
2024-11-24 9:00:00,63,0
2024-11-24 10:00:00,68,0
2024-11-24 11:00:00,72,0
2024-11-24 12:00:00,75,0
2024-11-24 13:00:00,76,0
2024-11-24 14:00:00,77,0
2024-11-24 15:00:00,76,0
2024-11-24 16:00:00,75,0
2024-11-24 17:00:00,74,0
2024-11-24 18:00:00,72,0
2024-11-24 19:00:00,70,0
2024-11-24 20:00:00,69,0
2024-11-24 21:00:00,68,0
2024-11-24 22:00:00,68,0
2024-11-24 23:00:00,67,0
2024-11-25 0:00:00,67,0
2024-11-25 1:00:00,66,0
2024-11-25 2:00:00,66,0
2024-11-25 3:00:00,66,0
2024-11-25 4:00:00,65,0
2024-11-25 5:00:00,65,0
2024-11-25 6:00:00,65,0
2024-11-25 7:00:00,65,0
2024-11-25 8:00:00,68,0
2024-11-25 9:00:00,71,0
2024-11-25 10:00:00,74,0
2024-11-25 11:00:00,78,0
2024-11-25 12:00:00,79,0
2024-11-25 13:00:00,80,0
2024-11-25 14:00:00,80,0
2024-11-25 15:00:00,80,0
2024-11-25 16:00:00,79,0
2024-11-25 17:00:00,77,0
2024-11-25 18:00:00,75,0
2024-11-25 19:00:00,74,0
2024-11-25 20:00:00,73,0
2024-11-25 21:00:00,72,0
2024-11-25 22:00:00,72,0
2024-11-25 23:00:00,72,0
