Hour,Temperature,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed
2024-11-24 00:00:00,36,0,100,34,92,2
2024-11-24 01:00:00,36,0,100,34,92,2
2024-11-24 02:00:00,36,0,100,33,89,2
2024-11-24 03:00:00,36,0,100,34,92,2
2024-11-24 04:00:00,36,1,100,34,92,2
2024-11-24 05:00:00,36,1,99,34,92,3
2024-11-24 06:00:00,36,1,99,33,89,3
2024-11-24 07:00:00,36,1,99,34,92,5
2024-11-24 08:00:00,38,1,99,35,89,6
2024-11-24 09:00:00,40,0,99,37,89,6
2024-11-24 10:00:00,42,0,97,38,86,7
2024-11-24 11:00:00,44,0,96,39,82,9
2024-11-24 12:00:00,46,0,95,40,79,9
2024-11-24 13:00:00,48,0,93,41,77,10
2024-11-24 14:00:00,50,0,85,40,68,10
2024-11-24 15:00:00,53,0,76,41,64,10
2024-11-24 16:00:00,55,0,67,41,59,10
2024-11-24 17:00:00,53,0,59,41,64,9
2024-11-24 18:00:00,51,0,50,41,68,9
2024-11-24 19:00:00,49,3,47,41,74,8
2024-11-24 20:00:00,49,3,54,41,74,8
2024-11-24 21:00:00,48,3,62,41,75,9
2024-11-24 22:00:00,48,3,69,41,77,9
2024-11-24 23:00:00,48,3,72,41,77,9
2024-11-25 00:00:00,48,3,76,41,77,9
2024-11-25 01:00:00,48,18,79,42,80,9
2024-11-25 02:00:00,48,18,81,43,82,8
2024-11-25 03:00:00,49,18,84,44,83,8
2024-11-25 04:00:00,49,18,86,45,85,7
2024-11-25 05:00:00,50,18,87,46,87,6
2024-11-25 06:00:00,50,18,89,47,90,6
2024-11-25 07:00:00,50,16,90,48,93,6
2024-11-25 08:00:00,51,16,90,49,94,6
2024-11-25 09:00:00,51,16,90,50,95,6
2024-11-25 10:00:00,52,16,90,51,96,7
2024-11-25 11:00:00,53,16,88,52,96,8
2024-11-25 12:00:00,54,16,87,52,92,8
2024-11-25 13:00:00,55,46,85,52,89,9
2024-11-25 14:00:00,55,46,82,51,87,9
2024-11-25 15:00:00,55,46,78,50,84,10
2024-11-25 16:00:00,54,46,75,49,82,10
2024-11-25 17:00:00,52,46,75,47,83,10
2024-11-25 18:00:00,50,46,74,45,83,10
2024-11-25 19:00:00,48,10,74,43,84,10
2024-11-25 20:00:00,45,10,73,41,85,10
2024-11-25 21:00:00,43,10,72,38,83,11
2024-11-25 22:00:00,41,10,71,36,84,11
2024-11-25 23:00:00,39,10,68,34,82,11
