Hour,Temperature,Feels_Like,Precip_Chance,Precip_Amount,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Pressure
2024-11-24 00:00:00,23,15,24.0,0.0,99,18,82,6,29.99
2024-11-24 01:00:00,23,15,24.0,0.0,82,19,83,7,29.97
2024-11-24 02:00:00,24,15,10.0,0.0,93,19,83,7,29.96
2024-11-24 03:00:00,25,16,7.0,0.0,94,20,81,9,29.95
2024-11-24 04:00:00,25,16,7.0,0.0,90,20,81,8,29.94
2024-11-24 05:00:00,25,17,7.0,0.0,78,20,82,8,29.93
2024-11-24 06:00:00,25,16,7.0,0.0,92,20,84,8,29.92
2024-11-24 07:00:00,25,17,7.0,0.0,97,20,81,7,29.92
2024-11-24 08:00:00,26,18,7.0,0.0,94,21,81,7,29.93
2024-11-24 09:00:00,27,19,13.0,0.0,97,22,83,7,29.94
2024-11-24 10:00:00,28,20,16.0,0.0,93,23,83,7,29.94
2024-11-24 11:00:00,29,22,17.0,0.0,94,24,82,7,29.94
2024-11-24 12:00:00,29,22,19.0,0.0,98,24,81,7,29.94
2024-11-24 13:00:00,30,23,22.0,0.0,99,25,82,6,29.93
2024-11-24 14:00:00,30,24,24.0,0.0,99,26,83,6,29.94
2024-11-24 15:00:00,30,24,24.0,0.0,99,26,84,6,29.95
2024-11-24 16:00:00,30,24,15.0,0.0,99,27,86,6,29.97
2024-11-24 17:00:00,30,23,19.0,0.0,99,27,89,6,29.99
2024-11-24 18:00:00,28,22,12.0,0.0,99,26,91,6,30.0
2024-11-24 19:00:00,27,20,22.0,0.0,99,25,90,7,30.02
2024-11-24 20:00:00,27,19,12.0,0.0,99,25,92,7,30.04
2024-11-24 21:00:00,26,18,14.0,0.0,100,24,90,8,30.05
2024-11-24 22:00:00,26,16,13.0,0.0,96,23,88,9,30.07
2024-11-24 23:00:00,25,14,8.0,0.0,94,21,86,11,30.09
2024-11-25 00:00:00,23,12,6.0,0.0,85,19,84,12,30.1
2024-11-25 01:00:00,22,10,6.0,0.0,85,18,83,13,30.11
2024-11-25 02:00:00,21,9,6.0,0.0,80,16,80,13,30.12
2024-11-25 03:00:00,20,8,9.0,0.0,66,15,79,13,30.14
2024-11-25 04:00:00,19,6,6.0,0.0,58,13,78,13,30.15
2024-11-25 05:00:00,18,4,5.0,0.0,55,12,79,13,30.17
2024-11-25 06:00:00,17,3,8.0,0.0,58,11,77,14,30.18
2024-11-25 07:00:00,16,2,7.0,0.0,53,10,77,14,30.2
2024-11-25 08:00:00,16,2,6.0,0.0,63,10,76,14,30.21
2024-11-25 09:00:00,16,1,4.0,0.0,79,11,77,15,30.23
2024-11-25 10:00:00,17,2,5.0,0.0,83,11,76,16,30.23
2024-11-25 11:00:00,18,3,3.0,0.0,85,11,75,16,30.24
2024-11-25 12:00:00,18,3,3.0,0.0,82,12,74,17,30.23
2024-11-25 13:00:00,19,4,6.0,0.0,80,12,74,17,30.23
2024-11-25 14:00:00,19,5,9.0,0.0,90,13,75,17,30.23
2024-11-25 15:00:00,19,4,11.0,0.0,88,12,75,16,30.24
2024-11-25 16:00:00,19,5,8.0,0.0,70,12,76,15,30.26
2024-11-25 17:00:00,18,4,4.0,0.0,65,12,78,14,30.27
2024-11-25 18:00:00,17,3,5.0,0.0,70,11,78,13,30.28
2024-11-25 19:00:00,15,1,5.0,0.0,73,10,78,13,30.29
2024-11-25 20:00:00,14,0,5.0,0.0,59,9,79,12,30.3
2024-11-25 21:00:00,13,-1,5.0,0.0,73,8,80,11,30.3
2024-11-25 22:00:00,12,-1,5.0,0.0,68,8,81,10,30.31
2024-11-25 23:00:00,12,-1,5.0,0.0,58,7,80,10,30.31
