Hour,Temperature,Feels_Like,Precip_Chance,Precip_Amount,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Pressure,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-24 00:00:00,60,60,0.0,0.0,0,46,60,5,30.11,0.0,0.0,0.0
2024-11-24 01:00:00,59,59,0.0,0.0,2,46,63,5,30.11,0.0,2.0,-2.0
2024-11-24 02:00:00,59,59,0.0,0.0,3,47,64,4,30.1,0.0,1.0,-1.0
2024-11-24 03:00:00,58,58,1.0,0.0,7,47,66,4,30.09,0.0001,1.0,-1.0
2024-11-24 04:00:00,58,57,1.0,0.0,11,47,69,5,30.1,0.0001,2.0,-2.0
2024-11-24 05:00:00,58,58,1.0,0.0,10,48,70,5,30.1,0.0001,1.0,-1.0
2024-11-24 06:00:00,58,57,1.0,0.0,11,49,72,5,30.11,0.0001,1.0,-1.0
2024-11-24 07:00:00,58,57,3.0,0.0,12,49,74,5,30.13,0.0009,1.0,-1.0
2024-11-24 08:00:00,61,61,11.0,0.0,18,50,67,6,30.15,0.0121,1.0,-1.0
2024-11-24 09:00:00,66,66,3.0,0.0,21,50,57,7,30.16,0.0009,1.0,1.0
2024-11-24 10:00:00,70,70,3.0,0.0,21,53,55,7,30.16,0.0009,1.0,1.0
2024-11-24 11:00:00,72,72,0.0,0.0,18,55,54,7,30.15,0.0,1.0,-1.0
2024-11-24 12:00:00,74,74,0.0,0.0,24,56,53,7,30.14,0.0,1.0,-1.0
2024-11-24 13:00:00,76,76,0.0,0.0,31,57,52,8,30.12,0.0,0.0,0.0
2024-11-24 14:00:00,76,76,4.0,0.0,39,58,53,8,30.1,0.0016,1.0,-1.0
2024-11-24 15:00:00,76,76,7.0,0.0,37,58,54,8,30.1,0.004900000000000001,1.0,-1.0
2024-11-24 16:00:00,75,75,4.0,0.0,31,58,55,7,30.1,0.0016,0.0,0.0
2024-11-24 17:00:00,74,74,3.0,0.0,38,58,57,6,30.11,0.0009,0.0,0.0
2024-11-24 18:00:00,73,73,2.0,0.0,36,58,60,5,30.12,0.0004,1.0,1.0
2024-11-24 19:00:00,72,72,9.0,0.0,43,58,61,4,30.13,0.0081,0.0,0.0
2024-11-24 20:00:00,72,72,10.0,0.0,44,58,61,5,30.15,0.010000000000000002,1.0,1.0
2024-11-24 21:00:00,71,71,11.0,0.0,38,58,63,4,30.16,0.0121,1.0,1.0
2024-11-24 22:00:00,71,71,3.0,0.0,34,58,65,4,30.16,0.0009,2.0,2.0
2024-11-24 23:00:00,70,70,3.0,0.0,30,58,66,3,30.15,0.0009,2.0,2.0
2024-11-25 00:00:00,70,70,10.0,0.0,30,58,67,4,30.14,0.010000000000000002,3.0,3.0
2024-11-25 01:00:00,69,69,12.0,0.0,33,59,70,3,30.13,0.0144,5.0,5.0
2024-11-25 02:00:00,69,69,16.0,0.0,39,60,73,3,30.12,0.0256,2.0,2.0
2024-11-25 03:00:00,69,69,5.0,0.0,37,60,75,4,30.12,0.0025000000000000005,4.0,4.0
2024-11-25 04:00:00,68,69,5.0,0.0,32,61,76,4,30.11,0.0025000000000000005,3.0,3.0
2024-11-25 05:00:00,69,69,5.0,0.0,45,61,75,4,30.12,0.0025000000000000005,4.0,4.0
2024-11-25 06:00:00,69,69,5.0,0.0,32,61,76,4,30.14,0.0025000000000000005,4.0,4.0
2024-11-25 07:00:00,69,69,6.0,0.0,33,61,77,4,30.15,0.0036,4.0,4.0
2024-11-25 08:00:00,71,72,13.0,0.0,31,62,73,4,30.17,0.016900000000000002,3.0,3.0
2024-11-25 09:00:00,75,75,10.0,0.0,44,62,65,6,30.18,0.010000000000000002,2.0,2.0
2024-11-25 10:00:00,77,80,3.0,0.0,54,62,61,7,30.18,0.0009,1.0,1.0
2024-11-25 11:00:00,78,80,7.0,0.0,49,62,59,8,30.17,0.004900000000000001,0.0,0.0
2024-11-25 12:00:00,79,81,7.0,0.0,46,63,57,9,30.15,0.004900000000000001,2.0,-2.0
2024-11-25 13:00:00,79,82,9.0,0.0,45,63,57,9,30.13,0.0081,1.0,-1.0
2024-11-25 14:00:00,79,82,14.0,0.0,43,64,59,9,30.12,0.019600000000000003,1.0,-1.0
2024-11-25 15:00:00,79,82,6.0,0.0,38,64,59,10,30.11,0.0036,1.0,-1.0
2024-11-25 16:00:00,79,81,6.0,0.0,39,64,60,9,30.11,0.0036,2.0,2.0
2024-11-25 17:00:00,78,80,16.0,0.0,58,64,63,9,30.11,0.0256,1.0,1.0
2024-11-25 18:00:00,76,77,13.0,0.0,40,64,66,8,30.12,0.016900000000000002,1.0,1.0
2024-11-25 19:00:00,76,76,3.0,0.0,39,64,67,7,30.14,0.0009,2.0,2.0
2024-11-25 20:00:00,75,76,2.0,0.0,33,63,67,7,30.15,0.0004,2.0,2.0
2024-11-25 21:00:00,75,76,2.0,0.0,26,63,66,7,30.15,0.0004,3.0,3.0
2024-11-25 22:00:00,75,75,3.0,0.0,40,63,68,6,30.15,0.0009,4.0,4.0
2024-11-25 23:00:00,74,75,3.0,0.0,26,63,68,5,30.14,0.0009,4.0,4.0
