Hour,Temperature,Feels_Like,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Wind_Gusts
2024-11-25 00:00:00,44,37,75,100,41,86,7,8
2024-11-25 01:00:00,44,40,40,100,40,87,7,9
2024-11-25 02:00:00,44,40,34,99,40,87,7,8
2024-11-25 03:00:00,44,42,39,99,40,86,5,6
2024-11-25 04:00:00,44,44,49,100,40,87,4,4
2024-11-25 05:00:00,44,40,60,100,40,87,5,5
2024-11-25 06:00:00,43,39,60,100,40,88,5,6
2024-11-25 07:00:00,43,38,54,94,40,91,6,7
2024-11-25 08:00:00,43,39,54,94,40,88,5,6
2024-11-25 09:00:00,44,44,49,94,40,86,5,6
2024-11-25 10:00:00,45,45,34,94,41,84,5,6
2024-11-25 11:00:00,46,45,34,94,41,82,6,7
2024-11-25 12:00:00,47,45,34,94,42,81,6,7
2024-11-25 13:00:00,48,46,34,94,42,81,7,8
2024-11-25 14:00:00,49,47,34,94,43,79,6,7
2024-11-25 15:00:00,48,46,40,94,43,83,6,7
2024-11-25 16:00:00,47,42,51,94,43,85,6,7
2024-11-25 17:00:00,46,45,47,94,42,86,6,7
2024-11-25 18:00:00,46,44,35,92,42,87,5,6
2024-11-25 19:00:00,45,44,17,70,42,88,5,6
2024-11-25 20:00:00,45,44,17,70,42,88,5,6
2024-11-25 21:00:00,45,42,17,70,42,88,6,7
2024-11-25 22:00:00,44,42,17,70,41,88,6,7
2024-11-25 23:00:00,44,42,17,70,41,88,6,7
2024-11-26 00:00:00,44,41,12,70,41,88,6,7
2024-11-26 01:00:00,44,41,1,70,41,89,6,7
2024-11-26 02:00:00,44,41,1,70,41,89,6,7
2024-11-26 03:00:00,43,40,1,70,40,89,6,7
2024-11-26 04:00:00,43,40,0,70,40,90,6,7
2024-11-26 05:00:00,43,40,0,70,40,90,6,7
2024-11-26 06:00:00,42,40,3,70,40,91,6,7
2024-11-26 07:00:00,43,40,47,95,40,90,6,7
2024-11-26 08:00:00,43,38,51,95,41,90,6,7
2024-11-26 09:00:00,44,41,47,95,41,88,7,8
2024-11-26 10:00:00,46,43,15,95,42,86,7,8
2024-11-26 11:00:00,47,44,15,95,42,83,7,8
2024-11-26 12:00:00,47,45,19,95,42,81,7,8
2024-11-26 13:00:00,48,45,47,95,42,79,7,8
2024-11-26 14:00:00,48,43,51,95,42,79,7,8
2024-11-26 15:00:00,48,44,47,95,42,80,7,8
2024-11-26 16:00:00,47,44,34,95,42,81,7,8
2024-11-26 17:00:00,46,43,34,95,41,83,7,8
2024-11-26 18:00:00,45,42,28,96,41,85,7,8
2024-11-26 19:00:00,45,42,16,100,41,86,6,8
2024-11-26 20:00:00,44,42,16,100,41,87,6,8
2024-11-26 21:00:00,43,41,16,100,40,87,6,7
2024-11-26 22:00:00,42,40,16,100,39,91,6,7
2024-11-26 23:00:00,42,40,16,99,39,91,6,7
