Hour,Temperature,Precip_Chance,Feels_Like,Humidity,Wind_Speed,Dew_Point,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-25 00:00:00,22,5,9,92,13,20,0.0025000000000000005,0.0,0.0
2024-11-25 01:00:00,21,0,8,81,15,16,0.0,1.0,1.0
2024-11-25 02:00:00,19,0,6,80,15,14,0.0,2.0,2.0
2024-11-25 03:00:00,18,0,4,83,14,14,0.0,2.0,2.0
2024-11-25 04:00:00,18,0,4,83,13,13,0.0,4.0,4.0
2024-11-25 05:00:00,17,0,3,81,13,12,0.0,4.0,4.0
2024-11-25 06:00:00,15,0,1,84,12,11,0.0,3.0,3.0
2024-11-25 07:00:00,14,0,0,84,12,10,0.0,3.0,3.0
2024-11-25 08:00:00,13,0,1,88,12,10,0.0,3.0,3.0
2024-11-25 09:00:00,13,0,1,85,12,10,0.0,1.0,1.0
2024-11-25 10:00:00,14,0,0,84,13,10,0.0,1.0,1.0
2024-11-25 11:00:00,15,0,1,83,14,11,0.0,1.0,-1.0
2024-11-25 12:00:00,17,0,2,83,15,12,0.0,0.0,0.0
2024-11-25 13:00:00,17,0,3,84,15,13,0.0,1.0,-1.0
2024-11-25 14:00:00,18,0,3,86,16,14,0.0,1.0,-1.0
2024-11-25 15:00:00,18,0,3,88,15,15,0.0,1.0,-1.0
2024-11-25 16:00:00,17,0,3,91,15,15,0.0,0.0,0.0
2024-11-25 17:00:00,17,0,2,87,15,13,0.0,3.0,3.0
2024-11-25 18:00:00,16,0,2,87,14,13,0.0,2.0,2.0
2024-11-25 19:00:00,15,0,1,85,13,11,0.0,3.0,3.0
2024-11-25 20:00:00,15,0,0,84,13,11,0.0,4.0,4.0
2024-11-25 21:00:00,14,0,0,83,13,10,0.0,2.0,2.0
2024-11-25 22:00:00,14,0,0,83,12,10,0.0,0.0,0.0
2024-11-25 23:00:00,14,0,0,83,12,10,0.0,1.0,-1.0
2024-11-26 00:00:00,13,0,1,83,12,9,0.0,2.0,-2.0
2024-11-26 01:00:00,13,0,1,83,11,9,0.0,2.0,-2.0
2024-11-26 02:00:00,12,0,2,84,11,8,0.0,4.0,-4.0
2024-11-26 03:00:00,12,0,2,84,11,8,0.0,4.0,-4.0
2024-11-26 04:00:00,11,0,2,85,10,8,0.0,4.0,-4.0
2024-11-26 05:00:00,11,0,2,85,9,7,0.0,3.0,-3.0
2024-11-26 06:00:00,10,0,2,87,9,7,0.0,4.0,-4.0
2024-11-26 07:00:00,10,0,2,85,8,6,0.0,4.0,-4.0
2024-11-26 08:00:00,10,0,1,84,8,6,0.0,4.0,-4.0
2024-11-26 09:00:00,11,0,0,83,7,7,0.0,2.0,-2.0
2024-11-26 10:00:00,12,0,2,82,7,8,0.0,2.0,-2.0
2024-11-26 11:00:00,14,0,4,82,6,9,0.0,2.0,-2.0
2024-11-26 12:00:00,15,0,6,83,6,11,0.0,2.0,-2.0
2024-11-26 13:00:00,17,0,9,83,5,12,0.0,1.0,-1.0
2024-11-26 14:00:00,18,0,11,82,5,13,0.0,1.0,-1.0
2024-11-26 15:00:00,19,0,12,83,5,15,0.0,0.0,0.0
2024-11-26 16:00:00,19,0,12,85,5,15,0.0,1.0,-1.0
2024-11-26 17:00:00,18,0,11,83,5,14,0.0,1.0,-1.0
2024-11-26 18:00:00,17,0,10,84,5,13,0.0,2.0,-2.0
2024-11-26 19:00:00,17,0,9,87,5,14,0.0,2.0,-2.0
2024-11-26 20:00:00,17,0,9,88,5,14,0.0,1.0,-1.0
2024-11-26 21:00:00,16,0,9,89,5,14,0.0,2.0,-2.0
2024-11-26 22:00:00,17,5,9,90,5,14,0.0025000000000000005,1.0,-1.0
2024-11-26 23:00:00,17,15,9,93,5,15,0.0225,1.0,-1.0
