Hour,Temperature,Precip_Chance,Feels_Like,Humidity,Wind_Speed,Dew_Point
2024-11-25 00:00:00,64,0,64,92,3,62
2024-11-25 01:00:00,64,0,64,92,3,62
2024-11-25 02:00:00,64,0,64,91,4,62
2024-11-25 03:00:00,64,0,64,90,4,61
2024-11-25 04:00:00,65,0,65,90,4,62
2024-11-25 05:00:00,64,0,64,91,4,62
2024-11-25 06:00:00,65,0,65,91,4,62
2024-11-25 07:00:00,67,0,67,89,4,63
2024-11-25 08:00:00,70,0,70,85,5,65
2024-11-25 09:00:00,73,0,73,82,5,67
2024-11-25 10:00:00,75,0,75,79,6,68
2024-11-25 11:00:00,76,0,76,77,6,69
2024-11-25 12:00:00,78,0,78,76,7,69
2024-11-25 13:00:00,78,0,78,75,8,69
2024-11-25 14:00:00,78,0,78,74,8,69
2024-11-25 15:00:00,78,5,78,75,8,69
2024-11-25 16:00:00,76,0,76,77,9,69
2024-11-25 17:00:00,75,0,75,80,8,68
2024-11-25 18:00:00,73,0,73,83,7,68
2024-11-25 19:00:00,72,5,72,84,6,67
2024-11-25 20:00:00,72,5,72,84,6,67
2024-11-25 21:00:00,72,5,72,85,6,67
2024-11-25 22:00:00,71,5,71,88,5,67
2024-11-25 23:00:00,70,5,70,90,5,67
2024-11-26 00:00:00,69,0,69,93,5,67
2024-11-26 01:00:00,69,0,69,94,5,67
2024-11-26 02:00:00,69,0,69,94,5,67
2024-11-26 03:00:00,68,0,68,94,5,66
2024-11-26 04:00:00,68,0,68,95,5,66
2024-11-26 05:00:00,67,0,67,95,5,66
2024-11-26 06:00:00,67,0,67,95,5,66
2024-11-26 07:00:00,69,0,69,92,6,67
2024-11-26 08:00:00,72,0,72,87,6,68
2024-11-26 09:00:00,76,0,76,82,7,70
2024-11-26 10:00:00,78,0,78,80,7,71
2024-11-26 11:00:00,80,0,80,77,7,72
2024-11-26 12:00:00,81,0,85,76,7,72
2024-11-26 13:00:00,81,0,86,74,7,72
2024-11-26 14:00:00,81,0,85,73,7,71
2024-11-26 15:00:00,80,0,84,73,7,71
2024-11-26 16:00:00,79,0,79,74,7,70
2024-11-26 17:00:00,77,0,77,77,7,69
2024-11-26 18:00:00,75,0,75,80,6,68
2024-11-26 19:00:00,73,0,73,82,6,67
2024-11-26 20:00:00,73,0,73,82,5,67
2024-11-26 21:00:00,72,0,72,84,5,67
2024-11-26 22:00:00,71,0,71,86,5,66
2024-11-26 23:00:00,70,0,70,87,4,66
