Hour,Temperature,Precip_Chance,Feels_Like,Humidity,Wind_Speed,Dew_Point,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-25 00:00:00,44,0,44,62,3,32,0.0,1.0,-1.0
2024-11-25 01:00:00,43,0,43,64,3,32,0.0,1.0,-1.0
2024-11-25 02:00:00,42,0,42,67,3,32,0.0,2.0,-2.0
2024-11-25 03:00:00,41,0,41,71,3,32,0.0,2.0,-2.0
2024-11-25 04:00:00,40,0,40,72,3,32,0.0,2.0,-2.0
2024-11-25 05:00:00,40,0,40,74,2,32,0.0,2.0,-2.0
2024-11-25 06:00:00,41,0,41,71,2,32,0.0,0.0,0.0
2024-11-25 07:00:00,42,0,42,68,2,32,0.0,0.0,0.0
2024-11-25 08:00:00,44,0,44,64,2,32,0.0,2.0,2.0
2024-11-25 09:00:00,44,0,44,63,2,32,0.0,1.0,1.0
2024-11-25 10:00:00,45,0,45,61,2,32,0.0,1.0,-1.0
2024-11-25 11:00:00,46,0,46,59,2,33,0.0,1.0,-1.0
2024-11-25 12:00:00,47,0,47,57,2,33,0.0,2.0,-2.0
2024-11-25 13:00:00,49,0,49,55,2,33,0.0,2.0,-2.0
2024-11-25 14:00:00,49,0,49,55,2,34,0.0,3.0,-3.0
2024-11-25 15:00:00,50,0,50,56,1,35,0.0,3.0,-3.0
2024-11-25 16:00:00,50,0,50,58,1,35,0.0,3.0,-3.0
2024-11-25 17:00:00,49,0,49,61,0,36,0.0,2.0,-2.0
2024-11-25 18:00:00,49,0,49,63,0,37,0.0,1.0,-1.0
2024-11-25 19:00:00,49,0,49,66,0,38,0.0,3.0,-3.0
2024-11-25 20:00:00,48,0,48,67,0,38,0.0,5.0,-5.0
2024-11-25 21:00:00,49,0,49,69,0,39,0.0,4.0,-4.0
2024-11-25 22:00:00,49,0,49,70,1,39,0.0,5.0,-5.0
2024-11-25 23:00:00,49,5,49,70,1,40,0.0025000000000000005,4.0,-4.0
2024-11-26 00:00:00,49,0,49,72,1,40,0.0,5.0,-5.0
2024-11-26 01:00:00,49,5,49,73,1,41,0.0025000000000000005,4.0,-4.0
2024-11-26 02:00:00,50,10,50,76,1,42,0.010000000000000002,3.0,-3.0
2024-11-26 03:00:00,50,15,50,79,1,44,0.0225,3.0,-3.0
2024-11-26 04:00:00,50,20,50,83,1,45,0.04000000000000001,3.0,-3.0
2024-11-26 05:00:00,51,30,51,86,1,47,0.09,2.0,-2.0
2024-11-26 06:00:00,52,40,52,87,1,48,0.16000000000000003,2.0,-2.0
2024-11-26 07:00:00,52,50,52,88,1,49,0.25,4.0,-4.0
2024-11-26 08:00:00,53,60,53,88,1,49,0.16000000000000003,3.0,-3.0
2024-11-26 09:00:00,53,65,53,89,2,50,0.12249999999999998,2.0,-2.0
2024-11-26 10:00:00,53,65,53,89,2,50,0.12249999999999998,1.0,-1.0
2024-11-26 11:00:00,54,65,54,88,2,50,0.42250000000000004,1.0,1.0
2024-11-26 12:00:00,55,60,55,84,2,50,0.36,1.0,1.0
2024-11-26 13:00:00,55,45,55,80,3,49,0.2025,0.0,0.0
2024-11-26 14:00:00,56,25,56,77,3,49,0.0625,1.0,-1.0
2024-11-26 15:00:00,56,5,56,72,4,47,0.0025000000000000005,2.0,-2.0
2024-11-26 16:00:00,55,5,55,68,3,45,0.0025000000000000005,3.0,-3.0
2024-11-26 17:00:00,54,5,54,65,4,43,0.0025000000000000005,4.0,-4.0
2024-11-26 18:00:00,53,0,53,62,4,40,0.0,3.0,-3.0
2024-11-26 19:00:00,51,0,51,60,4,38,0.0,2.0,-2.0
2024-11-26 20:00:00,50,0,49,59,3,36,0.0,2.0,-2.0
2024-11-26 21:00:00,48,0,48,59,3,35,0.0,2.0,-2.0
2024-11-26 22:00:00,47,0,46,59,3,33,0.0,1.0,-1.0
2024-11-26 23:00:00,46,0,45,60,3,33,0.0,2.0,-2.0
