Hour,Temperature,Feels_Like,Precip_Chance,Precip_Amount,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Pressure
2024-11-25 00:00:00,46,44,3.0,0.0,23,34,63,5,30.03
2024-11-25 01:00:00,45,42,3.0,0.0,22,34,64,6,30.03
2024-11-25 02:00:00,45,41,4.0,0.0,27,33,64,6,30.04
2024-11-25 03:00:00,44,40,4.0,0.0,37,32,63,7,30.04
2024-11-25 04:00:00,44,40,4.0,0.0,31,32,64,6,30.04
2024-11-25 05:00:00,43,39,4.0,0.0,34,32,64,6,30.06
2024-11-25 06:00:00,43,39,4.0,0.0,29,33,67,6,30.07
2024-11-25 07:00:00,42,39,5.0,0.0,22,33,69,6,30.08
2024-11-25 08:00:00,43,39,4.0,0.0,17,33,69,6,30.09
2024-11-25 09:00:00,45,41,2.0,0.0,15,33,65,6,30.1
2024-11-25 10:00:00,46,44,1.0,0.0,14,33,59,5,30.1
2024-11-25 11:00:00,49,47,1.0,0.0,15,33,54,5,30.09
2024-11-25 12:00:00,51,49,0.0,0.0,10,33,51,5,30.06
2024-11-25 13:00:00,52,51,0.0,0.0,14,34,49,5,30.05
2024-11-25 14:00:00,54,54,0.0,0.0,30,34,47,3,30.04
2024-11-25 15:00:00,54,54,0.0,0.0,32,35,48,3,30.03
2024-11-25 16:00:00,53,53,1.0,0.0,35,37,53,2,30.03
2024-11-25 17:00:00,51,51,1.0,0.0,44,37,58,1,30.03
2024-11-25 18:00:00,50,50,1.0,0.0,78,37,62,2,30.03
2024-11-25 19:00:00,50,50,2.0,0.0,82,38,63,3,30.03
2024-11-25 20:00:00,50,50,2.0,0.0,94,39,64,3,30.03
2024-11-25 21:00:00,51,51,2.0,0.0,94,40,66,2,30.02
2024-11-25 22:00:00,51,51,3.0,0.0,90,40,67,3,30.01
2024-11-25 23:00:00,51,50,3.0,0.0,97,41,68,3,29.99
2024-11-26 00:00:00,51,51,4.0,0.0,98,41,67,3,29.98
2024-11-26 01:00:00,51,51,6.0,0.0,90,42,70,4,29.96
2024-11-26 02:00:00,51,51,7.0,0.0,99,42,71,3,29.95
2024-11-26 03:00:00,52,52,13.0,0.0,97,43,72,2,29.92
2024-11-26 04:00:00,52,52,30.0,0.0,98,44,74,4,29.9
2024-11-26 05:00:00,53,52,24.0,0.0,96,45,76,4,29.87
2024-11-26 06:00:00,53,52,24.0,0.0,95,46,79,4,29.85
2024-11-26 07:00:00,53,52,54.0,0.02,92,47,82,4,29.84
2024-11-26 08:00:00,53,53,55.0,0.02,99,48,82,4,29.83
2024-11-26 09:00:00,54,53,77.0,0.04,100,49,84,5,29.83
2024-11-26 10:00:00,53,53,83.0,0.07,100,50,87,4,29.83
2024-11-26 11:00:00,54,53,60.0,0.02,90,50,85,6,29.82
2024-11-26 12:00:00,55,53,19.0,0.0,86,50,83,8,29.8
2024-11-26 13:00:00,57,55,15.0,0.0,74,49,76,8,29.8
2024-11-26 14:00:00,58,56,15.0,0.0,46,48,69,8,29.82
2024-11-26 15:00:00,58,57,15.0,0.0,41,46,63,9,29.84
2024-11-26 16:00:00,57,55,15.0,0.0,34,45,63,8,29.86
2024-11-26 17:00:00,55,53,1.0,0.0,14,42,61,7,29.89
2024-11-26 18:00:00,53,51,2.0,0.0,11,40,60,8,29.93
2024-11-26 19:00:00,52,50,2.0,0.0,11,38,58,6,29.95
2024-11-26 20:00:00,51,48,2.0,0.0,21,37,58,6,29.97
2024-11-26 21:00:00,50,47,2.0,0.0,27,36,59,5,29.98
2024-11-26 22:00:00,48,45,2.0,0.0,24,35,60,6,29.99
2024-11-26 23:00:00,47,44,2.0,0.0,28,34,60,6,30.0
