Hour,Temperature,Feels_Like,Precip_Chance,Precip_Amount,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Pressure,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-25 00:00:00,45,43,71.0,0.03,100,41,88,3,29.9,0.08410000000000002,2.0,2.0
2024-11-25 01:00:00,45,43,69.0,0.02,100,41,87,3,29.89,0.09610000000000003,2.0,2.0
2024-11-25 02:00:00,44,44,82.0,0.02,100,41,89,2,29.89,0.03240000000000002,1.0,1.0
2024-11-25 03:00:00,44,44,87.0,0.03,100,41,90,2,29.9,0.016900000000000002,1.0,1.0
2024-11-25 04:00:00,44,44,89.0,0.04,100,42,90,3,29.91,0.012099999999999998,1.0,1.0
2024-11-25 05:00:00,44,44,87.0,0.03,100,42,90,2,29.92,0.016900000000000002,1.0,1.0
2024-11-25 06:00:00,44,43,59.0,0.03,99,42,90,3,29.93,0.16810000000000003,1.0,1.0
2024-11-25 07:00:00,44,44,47.0,0.01,99,41,90,3,29.94,0.28090000000000004,0.0,0.0
2024-11-25 08:00:00,44,44,39.0,0.01,99,41,90,3,29.94,0.3721,0.0,0.0
2024-11-25 09:00:00,45,45,12.0,0.0,93,42,90,3,29.95,0.0144,0.0,0.0
2024-11-25 10:00:00,46,45,20.0,0.0,95,42,87,3,29.96,0.04000000000000001,1.0,1.0
2024-11-25 11:00:00,47,47,24.0,0.0,96,43,84,3,29.96,0.0576,1.0,1.0
2024-11-25 12:00:00,48,48,46.0,0.01,97,43,84,3,29.96,0.2116,1.0,1.0
2024-11-25 13:00:00,48,48,48.0,0.01,98,43,84,3,29.96,0.2304,1.0,1.0
2024-11-25 14:00:00,48,48,39.0,0.02,97,44,83,3,29.96,0.1521,1.0,1.0
2024-11-25 15:00:00,48,48,54.0,0.02,92,44,83,3,29.96,0.21159999999999995,1.0,1.0
2024-11-25 16:00:00,48,47,46.0,0.01,96,44,84,3,29.97,0.2916,1.0,1.0
2024-11-25 17:00:00,47,47,24.0,0.0,95,43,87,2,29.98,0.5776,1.0,1.0
2024-11-25 18:00:00,47,47,20.0,0.0,90,43,87,2,29.98,0.6400000000000001,1.0,1.0
2024-11-25 19:00:00,47,47,24.0,0.0,84,43,87,2,29.99,0.5776,2.0,2.0
2024-11-25 20:00:00,46,46,24.0,0.0,82,43,87,1,30.0,0.0576,1.0,1.0
2024-11-25 21:00:00,46,46,24.0,0.0,88,43,89,1,30.01,0.5776,1.0,1.0
2024-11-25 22:00:00,45,45,13.0,0.0,81,42,89,1,30.01,0.016900000000000002,1.0,1.0
2024-11-25 23:00:00,45,45,11.0,0.0,82,42,88,2,30.02,0.0121,1.0,1.0
2024-11-26 00:00:00,45,45,11.0,0.0,81,42,90,2,30.02,0.0121,1.0,1.0
2024-11-26 01:00:00,45,45,11.0,0.0,86,42,89,2,30.02,0.0121,2.0,2.0
2024-11-26 02:00:00,44,44,12.0,0.0,89,42,90,2,30.03,0.0144,1.0,1.0
2024-11-26 03:00:00,44,44,14.0,0.0,90,42,90,2,30.03,0.019600000000000003,1.0,1.0
2024-11-26 04:00:00,44,44,18.0,0.0,90,42,90,3,30.04,0.0324,1.0,1.0
2024-11-26 05:00:00,44,44,20.0,0.0,91,42,90,3,30.05,0.04000000000000001,2.0,2.0
2024-11-26 06:00:00,44,44,15.0,0.0,89,42,90,2,30.06,0.0225,2.0,2.0
2024-11-26 07:00:00,44,44,13.0,0.0,87,41,90,2,30.08,0.016900000000000002,2.0,2.0
2024-11-26 08:00:00,44,44,12.0,0.0,82,42,91,2,30.09,0.0144,2.0,2.0
2024-11-26 09:00:00,45,45,11.0,0.0,85,42,90,2,30.11,0.0121,2.0,2.0
2024-11-26 10:00:00,46,46,11.0,0.0,87,42,87,3,30.12,0.0121,3.0,3.0
2024-11-26 11:00:00,47,46,12.0,0.0,90,42,83,3,30.13,0.0144,3.0,3.0
2024-11-26 12:00:00,47,47,8.0,0.0,86,42,81,3,30.13,0.0064,2.0,2.0
2024-11-26 13:00:00,48,48,7.0,0.0,83,41,78,3,30.14,0.004900000000000001,3.0,3.0
2024-11-26 14:00:00,48,48,7.0,0.0,79,41,76,2,30.15,0.004900000000000001,3.0,3.0
2024-11-26 15:00:00,48,47,7.0,0.0,71,41,76,3,30.16,0.004900000000000001,3.0,3.0
2024-11-26 16:00:00,47,47,8.0,0.0,64,41,79,2,30.16,0.0064,2.0,2.0
2024-11-26 17:00:00,46,46,10.0,0.0,73,41,81,2,30.18,0.010000000000000002,2.0,2.0
2024-11-26 18:00:00,45,45,10.0,0.0,80,41,84,1,30.19,0.010000000000000002,1.0,1.0
2024-11-26 19:00:00,45,45,11.0,0.0,91,41,86,2,30.2,0.0121,3.0,3.0
2024-11-26 20:00:00,45,45,11.0,0.0,86,41,87,1,30.21,0.0121,2.0,2.0
2024-11-26 21:00:00,44,44,18.0,0.0,81,41,87,2,30.22,0.0324,0.0,0.0
2024-11-26 22:00:00,44,44,10.0,0.0,81,40,87,1,30.23,0.010000000000000002,0.0,0.0
2024-11-26 23:00:00,44,44,10.0,0.0,84,40,88,3,30.23,0.010000000000000002,1.0,1.0
