Hour,Temperature,Feels_Like,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Wind_Gusts,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-26 00:00:00,50,51,3,92,37,60,2,4,0.0009,4.0,-4.0
2024-11-26 01:00:00,50,51,17,90,38,63,4,4,0.028900000000000006,3.0,-3.0
2024-11-26 02:00:00,51,51,17,91,39,63,4,5,0.028900000000000006,2.0,-2.0
2024-11-26 03:00:00,51,51,22,96,40,66,4,5,0.0484,2.0,-2.0
2024-11-26 04:00:00,51,51,40,100,42,70,4,5,0.16000000000000003,2.0,-2.0
2024-11-26 05:00:00,52,50,44,100,44,73,4,6,0.1936,1.0,-1.0
2024-11-26 06:00:00,53,51,44,100,46,77,5,6,0.1936,1.0,-1.0
2024-11-26 07:00:00,54,47,49,94,48,81,14,18,0.2601,2.0,-2.0
2024-11-26 08:00:00,54,43,64,94,49,84,14,18,0.1296,2.0,-2.0
2024-11-26 09:00:00,54,43,64,94,49,83,14,18,0.1296,1.0,-1.0
2024-11-26 10:00:00,55,44,59,94,48,79,15,17,0.16810000000000003,1.0,1.0
2024-11-26 11:00:00,56,49,49,93,48,74,16,22,0.24009999999999998,3.0,3.0
2024-11-26 12:00:00,57,50,39,81,46,67,17,25,0.1521,3.0,3.0
2024-11-26 13:00:00,58,52,20,80,44,60,15,25,0.04000000000000001,3.0,3.0
2024-11-26 14:00:00,60,56,20,64,42,52,15,29,0.04000000000000001,3.0,3.0
2024-11-26 15:00:00,59,54,20,48,39,48,16,30,0.04000000000000001,1.0,1.0
2024-11-26 16:00:00,57,51,20,32,38,48,16,30,0.04000000000000001,1.0,-1.0
2024-11-26 17:00:00,54,47,20,16,36,49,15,29,0.04000000000000001,4.0,-4.0
2024-11-26 18:00:00,53,45,13,0,34,49,15,29,0.016900000000000002,3.0,-3.0
2024-11-26 19:00:00,51,46,0,11,33,49,9,18,0.0,2.0,-2.0
2024-11-26 20:00:00,50,45,0,11,31,48,9,17,0.0,2.0,-2.0
2024-11-26 21:00:00,49,44,0,11,30,49,9,14,0.0,1.0,-1.0
2024-11-26 22:00:00,48,43,0,11,30,50,8,13,0.0,0.0,0.0
2024-11-26 23:00:00,47,42,0,11,30,52,8,13,0.0,1.0,-1.0
2024-11-27 00:00:00,46,41,0,11,29,52,8,12,0.0,1.0,-1.0
2024-11-27 01:00:00,45,40,0,11,28,52,8,10,0.0,1.0,-1.0
2024-11-27 02:00:00,44,39,0,11,28,53,8,10,0.0,1.0,-1.0
2024-11-27 03:00:00,43,38,0,11,28,55,8,9,0.0,2.0,-2.0
2024-11-27 04:00:00,43,38,0,11,28,56,8,9,0.0,1.0,-1.0
2024-11-27 05:00:00,42,37,0,14,28,56,8,9,0.0,2.0,-2.0
2024-11-27 06:00:00,41,36,0,20,28,58,8,9,0.0,2.0,-2.0
2024-11-27 07:00:00,40,34,0,10,28,63,8,9,0.0,3.0,-3.0
2024-11-27 08:00:00,41,37,0,10,28,60,8,10,0.0,2.0,-2.0
2024-11-27 09:00:00,42,38,0,10,28,56,9,10,0.0,3.0,-3.0
2024-11-27 10:00:00,44,41,0,10,27,51,9,12,0.0,2.0,-2.0
2024-11-27 11:00:00,46,43,0,10,27,47,9,12,0.0,1.0,-1.0
2024-11-27 12:00:00,47,45,0,10,26,43,9,12,0.0,3.0,-3.0
2024-11-27 13:00:00,48,46,0,46,25,40,9,12,0.0,2.0,-2.0
2024-11-27 14:00:00,49,48,0,46,25,39,9,10,0.0,2.0,-2.0
2024-11-27 15:00:00,50,48,0,46,25,38,8,9,0.0,1.0,-1.0
2024-11-27 16:00:00,49,47,0,46,26,40,7,8,0.0,1.0,-1.0
2024-11-27 17:00:00,48,45,0,46,26,43,7,8,0.0,1.0,-1.0
2024-11-27 18:00:00,47,44,0,46,27,46,7,8,0.0,2.0,-2.0
2024-11-27 19:00:00,47,44,0,100,28,48,6,7,0.0,1.0,-1.0
2024-11-27 20:00:00,46,44,0,100,27,47,6,7,0.0,2.0,-2.0
2024-11-27 21:00:00,46,44,0,100,28,48,6,7,0.0,3.0,-3.0
2024-11-27 22:00:00,46,44,0,100,28,50,5,6,0.0,3.0,-3.0
2024-11-27 23:00:00,46,45,0,99,30,53,5,5,0.0,3.0,-3.0
