Hour,Temperature,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-26 00:00:00,72,0,14,65,79,5,0.0,4.0,4.0
2024-11-26 01:00:00,71,0,20,65,81,5,0.0,2.0,2.0
2024-11-26 02:00:00,70,0,26,65,84,5,0.0,1.0,-1.0
2024-11-26 03:00:00,70,0,34,64,81,5,0.0,1.0,-1.0
2024-11-26 04:00:00,69,0,30,64,84,5,0.0,0.0,0.0
2024-11-26 05:00:00,69,0,29,64,84,5,0.0,0.0,0.0
2024-11-26 06:00:00,68,0,27,64,87,5,0.0,0.0,0.0
2024-11-26 07:00:00,68,2,27,64,87,6,0.0004,0.0,0.0
2024-11-26 08:00:00,70,1,25,65,84,6,0.0001,1.0,-1.0
2024-11-26 09:00:00,75,0,21,66,74,6,0.0,0.0,0.0
2024-11-26 10:00:00,77,0,20,67,71,7,0.0,1.0,-1.0
2024-11-26 11:00:00,79,0,20,66,64,8,0.0,1.0,1.0
2024-11-26 12:00:00,80,0,22,66,62,8,0.0,2.0,-2.0
2024-11-26 13:00:00,80,0,24,66,62,9,0.0,2.0,-2.0
2024-11-26 14:00:00,80,0,25,65,60,9,0.0,3.0,-3.0
2024-11-26 15:00:00,81,0,26,66,60,8,0.0,0.0,0.0
2024-11-26 16:00:00,79,0,27,65,62,8,0.0,1.0,-1.0
2024-11-26 17:00:00,78,0,27,65,64,7,0.0,0.0,0.0
2024-11-26 18:00:00,77,0,28,65,67,6,0.0,1.0,1.0
2024-11-26 19:00:00,74,0,26,65,74,6,0.0,2.0,-2.0
2024-11-26 20:00:00,74,0,19,64,75,6,0.0,1.0,-1.0
2024-11-26 21:00:00,73,0,19,64,74,6,0.0,2.0,-2.0
2024-11-26 22:00:00,73,0,17,64,76,5,0.0,1.0,1.0
2024-11-26 23:00:00,72,0,15,64,77,3,0.0,1.0,-1.0
2024-11-27 00:00:00,71,0,12,64,78,3,0.0,1.0,-1.0
2024-11-27 01:00:00,70,0,9,64,79,3,0.0,1.0,1.0
2024-11-27 02:00:00,69,0,10,64,81,3,0.0,1.0,1.0
2024-11-27 03:00:00,68,0,12,63,80,5,0.0,1.0,1.0
2024-11-27 04:00:00,68,0,13,63,82,5,0.0,1.0,1.0
2024-11-27 05:00:00,67,0,15,63,82,5,0.0,0.0,0.0
2024-11-27 06:00:00,67,0,16,63,82,5,0.0,0.0,0.0
2024-11-27 07:00:00,68,0,18,63,82,5,0.0,1.0,1.0
2024-11-27 08:00:00,71,0,16,64,77,5,0.0,0.0,0.0
2024-11-27 09:00:00,74,0,14,64,70,5,0.0,1.0,-1.0
2024-11-27 10:00:00,77,0,12,65,67,6,0.0,1.0,-1.0
2024-11-27 11:00:00,78,0,13,65,65,7,0.0,1.0,-1.0
2024-11-27 12:00:00,79,0,14,65,63,7,0.0,2.0,-2.0
2024-11-27 13:00:00,79,0,15,65,61,8,0.0,1.0,-1.0
2024-11-27 14:00:00,79,0,15,65,62,8,0.0,1.0,-1.0
2024-11-27 15:00:00,79,0,14,65,60,8,0.0,1.0,-1.0
2024-11-27 16:00:00,78,0,14,65,61,8,0.0,1.0,-1.0
2024-11-27 17:00:00,77,0,14,65,64,7,0.0,0.0,0.0
2024-11-27 18:00:00,75,0,13,64,67,7,0.0,0.0,0.0
2024-11-27 19:00:00,74,0,13,64,71,6,0.0,0.0,0.0
2024-11-27 20:00:00,73,0,11,64,72,6,0.0,1.0,-1.0
2024-11-27 21:00:00,72,0,9,64,73,6,0.0,1.0,-1.0
2024-11-27 22:00:00,72,0,7,64,73,6,0.0,0.0,0.0
2024-11-27 23:00:00,72,0,7,64,75,6,0.0,3.0,3.0
