Hour,Temperature,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-26 00:00:00,45,11,69,43,92,2,0.0121,1.0,1.0
2024-11-26 01:00:00,44,11,65,42,92,2,0.0121,1.0,1.0
2024-11-26 02:00:00,44,9,75,42,91,3,0.0081,1.0,1.0
2024-11-26 03:00:00,44,10,82,42,92,3,0.010000000000000002,1.0,1.0
2024-11-26 04:00:00,44,15,89,41,89,2,0.0225,1.0,1.0
2024-11-26 05:00:00,44,15,84,42,91,2,0.0225,2.0,2.0
2024-11-26 06:00:00,44,19,84,42,92,2,0.0361,2.0,2.0
2024-11-26 07:00:00,43,18,82,42,95,2,0.0324,1.0,1.0
2024-11-26 08:00:00,42,16,85,40,94,2,0.0256,0.0,0.0
2024-11-26 09:00:00,44,13,81,42,92,2,0.016900000000000002,1.0,1.0
2024-11-26 10:00:00,45,15,79,43,92,2,0.0225,2.0,2.0
2024-11-26 11:00:00,46,15,79,44,91,2,0.0225,2.0,2.0
2024-11-26 12:00:00,47,15,79,44,90,2,0.0225,2.0,2.0
2024-11-26 13:00:00,47,15,72,44,89,2,0.0225,2.0,2.0
2024-11-26 14:00:00,47,15,72,44,88,2,0.0225,2.0,2.0
2024-11-26 15:00:00,47,15,72,43,87,2,0.0225,2.0,2.0
2024-11-26 16:00:00,47,23,68,43,86,2,0.0529,2.0,2.0
2024-11-26 17:00:00,46,23,68,43,87,2,0.0529,2.0,2.0
2024-11-26 18:00:00,46,23,68,42,88,2,0.0529,2.0,2.0
2024-11-26 19:00:00,45,23,79,42,89,2,0.0529,3.0,3.0
2024-11-26 20:00:00,45,23,79,42,90,2,0.0529,2.0,2.0
2024-11-26 21:00:00,44,23,79,42,91,2,0.0529,0.0,0.0
2024-11-26 22:00:00,44,28,79,42,91,3,0.07840000000000001,0.0,0.0
2024-11-26 23:00:00,44,28,79,41,90,3,0.07840000000000001,1.0,1.0
2024-11-27 00:00:00,44,28,79,41,89,3,0.07840000000000001,1.0,1.0
2024-11-27 01:00:00,44,28,83,41,88,3,0.07840000000000001,2.0,2.0
2024-11-27 02:00:00,44,28,83,41,88,3,0.5184,2.0,2.0
2024-11-27 03:00:00,43,28,83,40,89,3,0.5184,1.0,1.0
2024-11-27 04:00:00,43,36,87,40,90,3,0.1296,2.0,2.0
2024-11-27 05:00:00,43,36,87,40,90,3,0.1296,2.0,2.0
2024-11-27 06:00:00,42,36,87,40,91,3,0.1296,0.0,0.0
2024-11-27 07:00:00,42,36,82,40,91,3,0.1296,0.0,0.0
2024-11-27 08:00:00,42,36,82,40,91,3,0.1296,0.0,0.0
2024-11-27 09:00:00,42,36,82,40,92,3,0.1296,0.0,0.0
2024-11-27 10:00:00,43,31,77,41,91,5,0.0961,1.0,1.0
2024-11-27 11:00:00,44,31,77,41,89,5,0.0961,1.0,1.0
2024-11-27 12:00:00,44,31,77,41,86,5,0.0961,2.0,2.0
2024-11-27 13:00:00,45,31,72,40,84,3,0.0961,1.0,1.0
2024-11-27 14:00:00,46,31,72,41,83,3,0.0961,1.0,1.0
2024-11-27 15:00:00,46,31,72,41,82,3,0.0961,2.0,2.0
2024-11-27 16:00:00,46,21,63,41,82,2,0.04409999999999999,3.0,3.0
2024-11-27 17:00:00,45,21,63,41,84,2,0.04409999999999999,3.0,3.0
2024-11-27 18:00:00,44,21,63,40,86,2,0.04409999999999999,3.0,3.0
2024-11-27 19:00:00,43,21,70,40,88,2,0.04409999999999999,2.0,2.0
2024-11-27 20:00:00,43,21,70,40,89,2,0.04409999999999999,4.0,4.0
2024-11-27 21:00:00,42,21,70,39,90,2,0.04409999999999999,1.0,1.0
2024-11-27 22:00:00,42,12,69,39,90,2,0.0144,3.0,3.0
2024-11-27 23:00:00,42,12,69,39,90,2,0.0144,2.0,2.0
