Hour,Temperature,Precip_Chance,Feels_Like,Humidity,Wind_Speed,Dew_Point
2024-11-26 00:00:00,20,35,12,82,6,15
2024-11-26 01:00:00,20,40,12,87,6,17
2024-11-26 02:00:00,21,45,13,90,6,18
2024-11-26 03:00:00,22,55,15,91,6,20
2024-11-26 04:00:00,23,60,16,99,6,23
2024-11-26 05:00:00,24,70,17,100,5,24
2024-11-26 06:00:00,24,75,18,100,5,24
2024-11-26 07:00:00,25,75,19,100,5,25
2024-11-26 08:00:00,27,70,21,98,5,26
2024-11-26 09:00:00,30,70,24,87,5,27
2024-11-26 10:00:00,33,70,27,81,6,27
2024-11-26 11:00:00,34,70,28,77,7,28
2024-11-26 12:00:00,35,70,28,75,8,28
2024-11-26 13:00:00,35,80,28,75,8,28
2024-11-26 14:00:00,34,80,27,77,9,28
2024-11-26 15:00:00,34,80,27,78,8,28
2024-11-26 16:00:00,33,80,27,81,8,28
2024-11-26 17:00:00,32,75,26,85,7,28
2024-11-26 18:00:00,32,75,25,88,8,28
2024-11-26 19:00:00,31,75,23,90,9,29
2024-11-26 20:00:00,31,75,23,91,9,28
2024-11-26 21:00:00,29,75,22,94,8,28
2024-11-26 22:00:00,28,75,20,97,8,28
2024-11-26 23:00:00,27,75,18,100,8,27
2024-11-27 00:00:00,26,100,17,100,9,26
2024-11-27 01:00:00,25,100,15,100,9,25
2024-11-27 02:00:00,24,100,15,100,9,24
2024-11-27 03:00:00,24,100,14,100,9,24
2024-11-27 04:00:00,23,100,13,100,9,23
2024-11-27 05:00:00,22,95,11,100,9,22
2024-11-27 06:00:00,20,90,10,100,9,20
2024-11-27 07:00:00,20,85,9,100,9,20
2024-11-27 08:00:00,21,80,11,96,10,20
2024-11-27 09:00:00,24,75,13,82,10,19
2024-11-27 10:00:00,26,70,16,72,10,19
2024-11-27 11:00:00,27,55,17,67,10,17
2024-11-27 12:00:00,27,40,17,63,11,16
2024-11-27 13:00:00,26,30,16,61,11,15
2024-11-27 14:00:00,26,25,15,61,11,14
2024-11-27 15:00:00,24,30,14,62,10,13
2024-11-27 16:00:00,22,30,12,65,9,13
2024-11-27 17:00:00,20,20,10,71,8,12
2024-11-27 18:00:00,17,10,8,77,7,11
2024-11-27 19:00:00,15,5,5,81,6,10
2024-11-27 20:00:00,12,5,3,85,6,9
2024-11-27 21:00:00,10,5,0,90,6,8
2024-11-27 22:00:00,7,5,3,96,5,6
2024-11-27 23:00:00,5,0,5,99,5,5
