Hour,Temperature,Feels_Like,Precip_Chance,Precip_Amount,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Pressure,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-26 00:00:00,37,33,1.0,0.0,74,25,62,5,30.4,0.0001,1.0,1.0
2024-11-26 01:00:00,36,32,1.0,0.0,48,25,65,4,30.39,0.0001,2.0,2.0
2024-11-26 02:00:00,34,31,1.0,0.0,33,25,71,3,30.38,0.0001,0.0,0.0
2024-11-26 03:00:00,33,33,2.0,0.0,5,25,72,3,30.37,0.0004,2.0,-2.0
2024-11-26 04:00:00,32,32,3.0,0.0,5,25,75,2,30.37,0.0009,5.0,5.0
2024-11-26 05:00:00,31,31,3.0,0.0,12,24,76,2,30.35,0.0009,1.0,-1.0
2024-11-26 06:00:00,31,31,3.0,0.0,7,25,79,1,30.34,0.0009,5.0,5.0
2024-11-26 07:00:00,30,30,3.0,0.0,17,25,81,2,30.34,0.0009,4.0,4.0
2024-11-26 08:00:00,32,32,2.0,0.0,12,25,73,1,30.34,0.0004,4.0,4.0
2024-11-26 09:00:00,38,34,0.0,0.0,18,25,59,5,30.32,0.0,2.0,2.0
2024-11-26 10:00:00,42,37,0.0,0.0,36,24,48,8,30.3,0.0,1.0,1.0
2024-11-26 11:00:00,46,41,0.0,0.0,15,23,41,10,30.26,0.0,1.0,1.0
2024-11-26 12:00:00,49,45,0.0,0.0,6,24,36,10,30.21,0.0,1.0,-1.0
2024-11-26 13:00:00,52,48,0.0,0.0,9,24,33,12,30.15,0.0,2.0,-2.0
2024-11-26 14:00:00,55,51,0.0,0.0,8,25,32,14,30.09,0.0,1.0,-1.0
2024-11-26 15:00:00,56,52,0.0,0.0,20,26,31,14,30.05,0.0,1.0,1.0
2024-11-26 16:00:00,55,52,0.0,0.0,36,27,33,13,30.02,0.0,1.0,1.0
2024-11-26 17:00:00,54,50,0.0,0.0,20,28,37,12,29.99,0.0,1.0,1.0
2024-11-26 18:00:00,51,47,0.0,0.0,32,30,44,9,29.98,0.0,1.0,1.0
2024-11-26 19:00:00,50,46,0.0,0.0,45,31,48,10,29.96,0.0,4.0,4.0
2024-11-26 20:00:00,48,44,0.0,0.0,33,31,51,10,29.95,0.0,5.0,5.0
2024-11-26 21:00:00,48,43,1.0,0.0,33,33,56,12,29.94,0.0001,3.0,3.0
2024-11-26 22:00:00,47,42,1.0,0.0,43,33,58,12,29.92,0.0001,0.0,0.0
2024-11-26 23:00:00,47,42,1.0,0.0,49,34,60,12,29.89,0.0001,1.0,1.0
2024-11-27 00:00:00,47,41,1.0,0.0,58,35,64,13,29.86,0.0001,2.0,2.0
2024-11-27 01:00:00,47,41,1.0,0.0,61,36,67,14,29.82,0.0001,2.0,2.0
2024-11-27 02:00:00,47,41,2.0,0.0,66,37,69,14,29.79,0.0004,1.0,1.0
2024-11-27 03:00:00,47,41,2.0,0.0,71,38,70,14,29.76,0.0004,1.0,1.0
2024-11-27 04:00:00,47,41,3.0,0.0,59,39,74,13,29.73,0.0009,2.0,2.0
2024-11-27 05:00:00,47,42,4.0,0.0,65,40,77,12,29.71,0.0016,3.0,3.0
2024-11-27 06:00:00,47,43,5.0,0.0,62,41,79,11,29.7,0.0025000000000000005,3.0,3.0
2024-11-27 07:00:00,47,43,6.0,0.0,61,42,81,9,29.69,0.0036,3.0,3.0
2024-11-27 08:00:00,48,44,6.0,0.0,60,43,81,9,29.69,0.0036,3.0,3.0
2024-11-27 09:00:00,51,47,4.0,0.0,58,44,77,9,29.7,0.0016,3.0,3.0
2024-11-27 10:00:00,54,50,2.0,0.0,53,43,67,11,29.7,0.0004,3.0,3.0
2024-11-27 11:00:00,56,53,1.0,0.0,52,42,58,13,29.7,0.0001,2.0,2.0
2024-11-27 12:00:00,58,56,0.0,0.0,64,41,53,13,29.7,0.0,2.0,2.0
2024-11-27 13:00:00,59,56,0.0,0.0,71,41,52,14,29.72,0.0,6.0,6.0
2024-11-27 14:00:00,58,55,0.0,0.0,67,40,51,16,29.74,0.0,5.0,5.0
2024-11-27 15:00:00,58,54,0.0,0.0,78,39,50,16,29.77,0.0,7.0,7.0
2024-11-27 16:00:00,56,53,1.0,0.0,72,38,50,15,29.81,0.0001,4.0,4.0
2024-11-27 17:00:00,54,50,1.0,0.0,82,37,52,14,29.85,0.0001,3.0,3.0
2024-11-27 18:00:00,52,48,1.0,0.0,82,36,55,13,29.9,0.0001,5.0,5.0
2024-11-27 19:00:00,50,45,1.0,0.0,87,36,58,14,29.96,0.0001,4.0,4.0
2024-11-27 20:00:00,48,43,2.0,0.0,84,35,59,14,29.99,0.0004,1.0,1.0
2024-11-27 21:00:00,46,40,2.0,0.0,89,34,62,15,30.02,0.0004,1.0,1.0
2024-11-27 22:00:00,45,38,2.0,0.0,84,33,63,15,30.05,0.0004,2.0,2.0
2024-11-27 23:00:00,43,36,2.0,0.0,72,32,65,15,30.06,0.0004,2.0,2.0
