Hour,Temperature,Feels_Like,Precip_Chance,Precip_Amount,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Pressure,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-26 00:00:00,51,50,15.0,0.0,82,41,69,4,29.99,0.0225,3.0,-3.0
2024-11-26 01:00:00,51,50,15.0,0.0,94,42,71,4,29.97,0.0225,2.0,-2.0
2024-11-26 02:00:00,51,50,15.0,0.0,93,43,73,4,29.94,0.0225,2.0,-2.0
2024-11-26 03:00:00,52,51,15.0,0.0,93,44,75,4,29.91,0.0225,1.0,-1.0
2024-11-26 04:00:00,53,51,17.0,0.0,91,46,79,5,29.88,0.028900000000000006,0.0,0.0
2024-11-26 05:00:00,54,52,20.0,0.0,94,48,80,6,29.85,0.04000000000000001,1.0,1.0
2024-11-26 06:00:00,55,53,38.0,0.01,94,49,81,8,29.83,0.1444,1.0,1.0
2024-11-26 07:00:00,54,53,39.0,0.02,91,50,85,6,29.8,0.3721,2.0,-2.0
2024-11-26 08:00:00,54,53,48.0,0.04,93,50,87,6,29.8,0.27040000000000003,2.0,-2.0
2024-11-26 09:00:00,55,53,79.0,0.03,100,51,85,7,29.8,0.044099999999999986,0.0,0.0
2024-11-26 10:00:00,55,54,65.0,0.03,100,51,85,6,29.79,0.12249999999999998,1.0,1.0
2024-11-26 11:00:00,55,54,43.0,0.01,95,50,81,7,29.79,0.18489999999999998,2.0,2.0
2024-11-26 12:00:00,56,54,15.0,0.0,80,49,77,9,29.78,0.0225,2.0,2.0
2024-11-26 13:00:00,58,56,15.0,0.0,52,48,70,9,29.78,0.0225,3.0,3.0
2024-11-26 14:00:00,59,57,15.0,0.0,41,47,64,9,29.79,0.0225,2.0,2.0
2024-11-26 15:00:00,59,57,15.0,0.0,31,45,59,8,29.82,0.0225,1.0,1.0
2024-11-26 16:00:00,57,56,15.0,0.0,44,43,58,7,29.85,0.0225,1.0,-1.0
2024-11-26 17:00:00,55,53,1.0,0.0,36,41,59,8,29.88,0.0001,3.0,-3.0
2024-11-26 18:00:00,53,51,1.0,0.0,20,39,58,8,29.91,0.0001,3.0,-3.0
2024-11-26 19:00:00,52,49,2.0,0.0,14,37,57,8,29.94,0.0004,1.0,-1.0
2024-11-26 20:00:00,50,48,1.0,0.0,15,36,58,7,29.96,0.0001,2.0,-2.0
2024-11-26 21:00:00,49,47,2.0,0.0,11,35,59,6,29.97,0.0004,1.0,-1.0
2024-11-26 22:00:00,48,46,2.0,0.0,8,35,60,5,29.98,0.0004,0.0,0.0
2024-11-26 23:00:00,47,44,3.0,0.0,9,34,61,6,29.98,0.0009,1.0,-1.0
2024-11-27 00:00:00,46,44,3.0,0.0,14,33,60,6,29.98,0.0009,1.0,-1.0
2024-11-27 01:00:00,45,42,3.0,0.0,28,33,61,6,30.0,0.0009,1.0,-1.0
2024-11-27 02:00:00,44,41,4.0,0.0,28,32,62,6,30.01,0.0016,1.0,-1.0
2024-11-27 03:00:00,44,40,4.0,0.0,34,31,61,6,30.01,0.0016,1.0,-1.0
2024-11-27 04:00:00,43,40,4.0,0.0,39,31,62,6,30.02,0.0016,1.0,-1.0
2024-11-27 05:00:00,43,39,3.0,0.0,50,31,63,7,30.03,0.0009,1.0,-1.0
2024-11-27 06:00:00,42,38,4.0,0.0,44,31,65,7,30.04,0.0016,1.0,-1.0
2024-11-27 07:00:00,42,37,4.0,0.0,68,32,68,6,30.05,0.0016,1.0,-1.0
2024-11-27 08:00:00,42,38,3.0,0.0,68,32,68,7,30.06,0.0009,1.0,-1.0
2024-11-27 09:00:00,44,40,2.0,0.0,50,32,63,7,30.07,0.0004,1.0,-1.0
2024-11-27 10:00:00,45,42,1.0,0.0,46,31,58,5,30.07,0.0001,1.0,-1.0
2024-11-27 11:00:00,47,45,0.0,0.0,39,30,51,6,30.06,0.0,0.0,0.0
2024-11-27 12:00:00,50,47,0.0,0.0,39,30,47,6,30.04,0.0,0.0,0.0
2024-11-27 13:00:00,51,49,0.0,0.0,53,30,45,6,30.03,0.0,1.0,1.0
2024-11-27 14:00:00,52,51,0.0,0.0,63,31,44,5,30.02,0.0,1.0,1.0
2024-11-27 15:00:00,52,51,0.0,0.0,72,31,44,5,30.02,0.0,1.0,1.0
2024-11-27 16:00:00,51,50,0.0,0.0,77,32,47,4,30.02,0.0,1.0,1.0
2024-11-27 17:00:00,49,48,0.0,0.0,68,32,51,4,30.02,0.0,0.0,0.0
2024-11-27 18:00:00,48,47,1.0,0.0,76,33,55,4,30.03,0.0001,1.0,-1.0
2024-11-27 19:00:00,47,46,1.0,0.0,79,33,57,3,30.03,0.0001,1.0,-1.0
2024-11-27 20:00:00,47,47,1.0,0.0,89,33,58,2,30.02,0.0001,1.0,-1.0
2024-11-27 21:00:00,46,46,1.0,0.0,96,34,61,2,30.01,0.0001,3.0,-3.0
2024-11-27 22:00:00,46,46,5.0,0.0,97,34,62,2,30.01,0.0025000000000000005,3.0,-3.0
2024-11-27 23:00:00,46,46,6.0,0.0,99,34,63,2,30.0,0.0036,3.0,-3.0
