Hour,Temperature,Feels_Like,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Wind_Gusts,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-27 00:00:00,74,73,0,3,66,75,7,8,0.0,2.0,2.0
2024-11-27 01:00:00,73,73,0,26,65,76,7,8,0.0,4.0,4.0
2024-11-27 02:00:00,73,72,0,26,65,77,6,7,0.0,5.0,5.0
2024-11-27 03:00:00,72,72,0,26,65,77,6,7,0.0,5.0,5.0
2024-11-27 04:00:00,72,71,0,26,64,77,6,7,0.0,5.0,5.0
2024-11-27 05:00:00,72,71,0,26,64,77,6,7,0.0,5.0,5.0
2024-11-27 06:00:00,71,70,0,26,64,80,6,7,0.0,4.0,4.0
2024-11-27 07:00:00,72,71,0,10,64,78,7,8,0.0,5.0,5.0
2024-11-27 08:00:00,73,74,0,11,65,75,7,8,0.0,2.0,2.0
2024-11-27 09:00:00,76,78,0,11,65,70,8,9,0.0,1.0,1.0
2024-11-27 10:00:00,78,81,0,10,66,65,9,13,0.0,0.0,0.0
2024-11-27 11:00:00,80,83,0,9,66,61,9,15,0.0,1.0,1.0
2024-11-27 12:00:00,80,84,0,8,65,59,10,16,0.0,1.0,-1.0
2024-11-27 13:00:00,82,84,0,6,65,57,10,17,0.0,2.0,2.0
2024-11-27 14:00:00,80,82,0,4,65,58,10,17,0.0,0.0,0.0
2024-11-27 15:00:00,79,80,0,2,64,60,10,18,0.0,1.0,-1.0
2024-11-27 16:00:00,79,78,0,1,64,61,10,18,0.0,0.0,0.0
2024-11-27 17:00:00,78,77,0,3,65,64,9,16,0.0,1.0,1.0
2024-11-27 18:00:00,76,75,0,7,66,71,9,15,0.0,1.0,1.0
2024-11-27 19:00:00,74,74,0,10,66,74,8,13,0.0,0.0,0.0
2024-11-27 20:00:00,74,73,0,10,66,76,8,12,0.0,0.0,0.0
2024-11-27 21:00:00,73,73,0,10,66,78,9,10,0.0,0.0,0.0
2024-11-27 22:00:00,73,72,0,10,66,80,9,10,0.0,1.0,1.0
2024-11-27 23:00:00,72,72,0,10,66,81,9,10,0.0,3.0,3.0
2024-11-28 00:00:00,72,72,0,10,67,83,9,10,0.0,3.0,3.0
2024-11-28 01:00:00,72,71,0,10,67,84,8,10,0.0,4.0,4.0
2024-11-28 02:00:00,71,71,0,10,66,84,8,9,0.0,4.0,4.0
2024-11-28 03:00:00,71,71,0,10,66,86,7,8,0.0,5.0,5.0
2024-11-28 04:00:00,70,70,0,10,66,88,7,8,0.0,5.0,5.0
2024-11-28 05:00:00,69,69,0,10,66,90,7,8,0.0,3.0,3.0
2024-11-28 06:00:00,68,68,0,10,66,93,7,8,0.0,2.0,2.0
2024-11-28 07:00:00,69,70,0,10,66,89,7,8,0.0,2.0,2.0
2024-11-28 08:00:00,71,73,0,10,67,85,7,9,0.0,1.0,1.0
2024-11-28 09:00:00,74,78,0,10,68,79,8,9,0.0,2.0,-2.0
2024-11-28 10:00:00,77,82,0,10,68,74,8,10,0.0,2.0,-2.0
2024-11-28 11:00:00,79,85,0,10,68,69,8,10,0.0,2.0,-2.0
2024-11-28 12:00:00,80,86,0,10,68,66,8,10,0.0,3.0,-3.0
2024-11-28 13:00:00,81,86,0,10,68,64,8,10,0.0,1.0,-1.0
2024-11-28 14:00:00,81,86,0,10,68,63,8,13,0.0,2.0,-2.0
2024-11-28 15:00:00,81,84,0,10,68,63,8,14,0.0,0.0,0.0
2024-11-28 16:00:00,81,83,0,10,68,65,8,13,0.0,0.0,0.0
2024-11-28 17:00:00,80,81,0,10,68,67,8,12,0.0,1.0,1.0
2024-11-28 18:00:00,78,79,0,10,68,72,7,9,0.0,2.0,2.0
2024-11-28 19:00:00,76,77,0,10,68,77,7,8,0.0,1.0,-1.0
2024-11-28 20:00:00,76,77,0,11,68,78,6,8,0.0,0.0,0.0
2024-11-28 21:00:00,75,76,0,13,68,79,5,8,0.0,1.0,1.0
2024-11-28 22:00:00,74,75,0,14,68,81,5,7,0.0,0.0,0.0
2024-11-28 23:00:00,73,74,0,12,67,82,5,7,0.0,0.0,0.0
