Hour,Temperature,Precip_Chance,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-27 0:00:00,23,26,0.5476,4.0,-4.0
2024-11-27 1:00:00,22,27,0.5328999999999999,4.0,-4.0
2024-11-27 2:00:00,22,27,0.5328999999999999,4.0,-4.0
2024-11-27 3:00:00,21,27,0.5328999999999999,5.0,-5.0
2024-11-27 4:00:00,20,26,0.5476,5.0,-5.0
2024-11-27 5:00:00,19,24,0.5776,3.0,-3.0
2024-11-27 6:00:00,19,22,0.6084,2.0,-2.0
2024-11-27 7:00:00,18,21,0.04409999999999999,2.0,-2.0
2024-11-27 8:00:00,18,18,0.0324,2.0,-2.0
2024-11-27 9:00:00,20,18,0.6724000000000001,1.0,-1.0
2024-11-27 10:00:00,20,15,0.0225,0.0,0.0
2024-11-27 11:00:00,21,15,0.0225,1.0,-1.0
2024-11-27 12:00:00,22,15,0.0225,1.0,1.0
2024-11-27 13:00:00,22,15,0.0225,0.0,0.0
2024-11-27 14:00:00,21,15,0.7224999999999999,0.0,0.0
2024-11-27 15:00:00,20,10,0.010000000000000002,5.0,-5.0
2024-11-27 16:00:00,18,5,0.0025000000000000005,6.0,-6.0
2024-11-27 17:00:00,14,10,0.010000000000000002,1.0,-1.0
2024-11-27 18:00:00,11,0,0.0,0.0,0.0
2024-11-27 19:00:00,10,0,0.0,2.0,2.0
2024-11-27 20:00:00,9,0,0.0,4.0,4.0
2024-11-27 21:00:00,7,0,0.0,0.0,0.0
2024-11-27 22:00:00,6,0,0.0,0.0,0.0
2024-11-27 23:00:00,5,0,0.0,5.0,5.0
2024-11-28 0:00:00,5,0,0.0,3.0,3.0
2024-11-28 1:00:00,5,0,0.0,4.0,4.0
2024-11-28 2:00:00,4,0,0.0,8.0,8.0
2024-11-28 3:00:00,3,0,0.0,7.0,7.0
2024-11-28 4:00:00,3,0,0.0,3.0,3.0
2024-11-28 5:00:00,2,0,0.0,4.0,4.0
2024-11-28 6:00:00,2,0,0.0,8.0,8.0
2024-11-28 7:00:00,2,0,0.0,6.0,6.0
2024-11-28 8:00:00,4,0,0.0,4.0,4.0
2024-11-28 9:00:00,9,0,0.0,0.0,0.0
2024-11-28 10:00:00,15,0,0.0,1.0,-1.0
2024-11-28 11:00:00,18,0,0.0,0.0,0.0
2024-11-28 12:00:00,21,0,0.0,7.0,-7.0
2024-11-28 13:00:00,22,0,0.0,4.0,-4.0
2024-11-28 14:00:00,23,0,0.0,2.0,-2.0
2024-11-28 15:00:00,22,0,0.0,2.0,-2.0
2024-11-28 16:00:00,19,0,0.0,5.0,-5.0
2024-11-28 17:00:00,15,0,0.0,2.0,-2.0
2024-11-28 18:00:00,12,0,0.0,2.0,-2.0
2024-11-28 19:00:00,10,0,0.0,5.0,5.0
2024-11-28 20:00:00,8,0,0.0,7.0,7.0
2024-11-28 21:00:00,6,0,0.0,4.0,4.0
2024-11-28 22:00:00,5,0,0.0,5.0,5.0
2024-11-28 23:00:00,4,0,0.0,2.0,2.0
