Hour,Temperature,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-27 00:00:00,26,97,98,24,91,9,0.0009000000000000016,1.0,-1.0
2024-11-27 01:00:00,25,97,98,23,94,9,0.0009000000000000016,1.0,-1.0
2024-11-27 02:00:00,24,97,98,22,93,9,0.0009000000000000016,2.0,-2.0
2024-11-27 03:00:00,24,97,98,21,88,9,0.0009000000000000016,2.0,-2.0
2024-11-27 04:00:00,23,97,98,20,87,8,0.0009000000000000016,2.0,-2.0
2024-11-27 05:00:00,21,97,100,18,88,10,0.0009000000000000016,1.0,-1.0
2024-11-27 06:00:00,19,97,99,17,92,9,0.0009000000000000016,2.0,-2.0
2024-11-27 07:00:00,19,97,98,17,92,10,0.9409,1.0,-1.0
2024-11-27 08:00:00,19,97,98,16,88,8,0.9409,1.0,-1.0
2024-11-27 09:00:00,21,97,98,15,77,9,0.0009000000000000016,0.0,0.0
2024-11-27 10:00:00,25,97,98,15,65,9,0.9409,5.0,5.0
2024-11-27 11:00:00,27,74,96,15,60,11,0.5476,5.0,5.0
2024-11-27 12:00:00,28,74,92,14,55,11,0.5476,7.0,7.0
2024-11-27 13:00:00,28,74,89,14,55,11,0.5476,6.0,6.0
2024-11-27 14:00:00,27,74,87,13,55,13,0.06760000000000001,6.0,6.0
2024-11-27 15:00:00,25,74,84,11,55,13,0.5476,0.0,0.0
2024-11-27 16:00:00,22,74,83,11,62,13,0.5476,2.0,-2.0
2024-11-27 17:00:00,19,16,75,10,67,8,0.0256,4.0,4.0
2024-11-27 18:00:00,16,16,71,9,73,8,0.0256,5.0,5.0
2024-11-27 19:00:00,13,16,70,7,76,7,0.0256,5.0,5.0
2024-11-27 20:00:00,11,16,67,6,80,6,0.0256,6.0,6.0
2024-11-27 21:00:00,9,16,60,5,83,6,0.0256,2.0,2.0
2024-11-27 22:00:00,8,16,59,4,83,5,0.0256,2.0,2.0
2024-11-27 23:00:00,7,6,52,3,83,5,0.0036,7.0,7.0
2024-11-28 00:00:00,6,6,52,2,83,5,0.0036,4.0,4.0
2024-11-28 01:00:00,5,6,51,1,83,5,0.0036,4.0,4.0
2024-11-28 02:00:00,4,6,51,0,83,5,0.0036,8.0,8.0
2024-11-28 03:00:00,3,6,44,-1,83,5,0.0036,7.0,7.0
2024-11-28 04:00:00,2,6,43,-2,83,5,0.0036,2.0,2.0
2024-11-28 05:00:00,2,1,32,-2,83,5,0.0001,4.0,4.0
2024-11-28 06:00:00,1,1,30,-2,87,5,0.0001,7.0,7.0
2024-11-28 07:00:00,2,1,28,-2,83,6,0.0001,6.0,6.0
2024-11-28 08:00:00,4,1,25,-1,79,6,0.0001,4.0,4.0
2024-11-28 09:00:00,10,1,15,1,66,7,0.0001,1.0,1.0
2024-11-28 10:00:00,18,1,13,2,49,7,0.0001,2.0,2.0
2024-11-28 11:00:00,24,0,12,4,41,8,0.0,6.0,6.0
2024-11-28 12:00:00,27,0,11,5,38,9,0.0,1.0,-1.0
2024-11-28 13:00:00,29,0,10,6,37,9,0.0,3.0,3.0
2024-11-28 14:00:00,28,0,10,6,38,9,0.0,3.0,3.0
2024-11-28 15:00:00,25,0,29,6,44,8,0.0,1.0,1.0
2024-11-28 16:00:00,21,0,29,5,49,7,0.0,3.0,-3.0
2024-11-28 17:00:00,17,0,16,4,56,6,0.0,0.0,0.0
2024-11-28 18:00:00,14,0,17,3,61,6,0.0,0.0,0.0
2024-11-28 19:00:00,12,0,19,1,60,6,0.0,7.0,7.0
2024-11-28 20:00:00,10,0,20,0,63,6,0.0,9.0,9.0
2024-11-28 21:00:00,8,0,20,-1,66,6,0.0,6.0,6.0
2024-11-28 22:00:00,6,0,21,-2,69,5,0.0,6.0,6.0
2024-11-28 23:00:00,5,1,21,-3,69,5,0.0001,3.0,3.0
