Hour,Temperature,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed
2024-11-27 00:00:00,17,3,84,12,82,2
2024-11-27 01:00:00,17,5,85,13,85,2
2024-11-27 02:00:00,16,3,86,13,88,2
2024-11-27 03:00:00,16,5,87,13,88,2
2024-11-27 04:00:00,16,11,88,13,88,2
2024-11-27 05:00:00,14,20,89,13,95,2
2024-11-27 06:00:00,15,8,89,13,90,2
2024-11-27 07:00:00,15,14,87,12,86,2
2024-11-27 08:00:00,15,18,84,13,93,3
2024-11-27 09:00:00,17,14,78,14,88,3
2024-11-27 10:00:00,18,15,80,15,88,5
2024-11-27 11:00:00,19,17,81,16,88,6
2024-11-27 12:00:00,20,5,82,16,84,6
2024-11-27 13:00:00,21,5,78,16,80,6
2024-11-27 14:00:00,22,5,75,16,78,7
2024-11-27 15:00:00,22,5,72,17,82,7
2024-11-27 16:00:00,22,5,72,17,82,7
2024-11-27 17:00:00,21,4,74,17,84,6
2024-11-27 18:00:00,19,9,69,16,86,6
2024-11-27 19:00:00,19,9,71,15,86,6
2024-11-27 20:00:00,17,9,73,14,88,6
2024-11-27 21:00:00,17,9,75,14,88,6
2024-11-27 22:00:00,17,9,76,14,88,6
2024-11-27 23:00:00,17,9,78,14,88,6
2024-11-28 00:00:00,17,4,79,14,88,6
2024-11-28 01:00:00,17,4,78,14,87,6
2024-11-28 02:00:00,17,4,78,14,85,6
2024-11-28 03:00:00,17,4,77,13,84,7
2024-11-28 04:00:00,16,4,76,12,84,8
2024-11-28 05:00:00,15,4,75,11,84,9
2024-11-28 06:00:00,14,9,74,10,84,10
2024-11-28 07:00:00,13,9,77,9,84,11
2024-11-28 08:00:00,12,9,80,8,84,11
2024-11-28 09:00:00,12,9,83,8,84,13
2024-11-28 10:00:00,12,9,83,8,83,13
2024-11-28 11:00:00,13,9,83,8,82,14
2024-11-28 12:00:00,13,19,83,8,80,14
2024-11-28 13:00:00,14,19,78,8,77,15
2024-11-28 14:00:00,14,19,73,7,75,16
2024-11-28 15:00:00,14,19,68,7,73,16
2024-11-28 16:00:00,13,19,67,6,73,16
2024-11-28 17:00:00,12,19,66,6,75,15
2024-11-28 18:00:00,11,10,65,5,76,15
2024-11-28 19:00:00,10,10,63,4,78,15
2024-11-28 20:00:00,9,10,62,4,79,14
2024-11-28 21:00:00,8,10,60,3,79,14
2024-11-28 22:00:00,8,10,58,3,79,14
2024-11-28 23:00:00,8,10,56,2,77,13
