Hour,Temperature,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-27 00:00:00,33,0,93,24,3,69,0.0,1.0,-1.0
2024-11-27 01:00:00,33,5,94,25,3,72,0.0025000000000000005,2.0,-2.0
2024-11-27 02:00:00,33,5,94,25,3,72,0.0025000000000000005,1.0,-1.0
2024-11-27 03:00:00,33,5,94,25,2,72,0.0025000000000000005,0.0,0.0
2024-11-27 04:00:00,33,5,93,25,2,72,0.0025000000000000005,1.0,-1.0
2024-11-27 05:00:00,33,5,92,25,3,72,0.0025000000000000005,2.0,-2.0
2024-11-27 06:00:00,33,5,97,25,3,72,0.0025000000000000005,1.0,-1.0
2024-11-27 07:00:00,34,17,99,25,5,69,0.028900000000000006,1.0,-1.0
2024-11-27 08:00:00,35,17,96,25,5,66,0.028900000000000006,0.0,0.0
2024-11-27 09:00:00,36,17,98,26,5,67,0.028900000000000006,1.0,-1.0
2024-11-27 10:00:00,38,17,96,26,6,62,0.028900000000000006,1.0,-1.0
2024-11-27 11:00:00,40,17,93,27,7,59,0.028900000000000006,2.0,-2.0
2024-11-27 12:00:00,41,17,96,27,7,57,0.028900000000000006,3.0,-3.0
2024-11-27 13:00:00,42,62,98,29,7,60,0.3844,2.0,-2.0
2024-11-27 14:00:00,42,62,97,30,6,62,0.3844,2.0,-2.0
2024-11-27 15:00:00,42,62,95,31,6,65,0.1444,2.0,-2.0
2024-11-27 16:00:00,41,62,94,32,7,70,0.1444,2.0,2.0
2024-11-27 17:00:00,39,62,94,32,6,73,0.1444,1.0,1.0
2024-11-27 18:00:00,37,62,95,33,6,82,0.1444,1.0,-1.0
2024-11-27 19:00:00,35,61,95,34,6,92,0.1521,3.0,-3.0
2024-11-27 20:00:00,34,61,94,34,5,96,0.1521,4.0,-4.0
2024-11-27 21:00:00,33,61,97,33,3,100,0.1521,5.0,-5.0
2024-11-27 22:00:00,33,61,91,33,3,100,0.1521,4.0,-4.0
2024-11-27 23:00:00,33,61,91,33,3,96,0.1521,4.0,-4.0
2024-11-28 00:00:00,33,61,90,33,5,96,0.3721,3.0,-3.0
2024-11-28 01:00:00,33,21,90,33,5,96,0.04409999999999999,4.0,-4.0
2024-11-28 02:00:00,33,21,87,33,5,96,0.04409999999999999,4.0,-4.0
2024-11-28 03:00:00,33,21,84,33,6,96,0.04409999999999999,3.0,-3.0
2024-11-28 04:00:00,33,21,76,33,6,96,0.04409999999999999,1.0,-1.0
2024-11-28 05:00:00,33,21,83,33,6,96,0.04409999999999999,2.0,-2.0
2024-11-28 06:00:00,32,21,90,32,7,96,0.04409999999999999,4.0,-4.0
2024-11-28 07:00:00,33,6,73,32,7,96,0.0036,4.0,-4.0
2024-11-28 08:00:00,33,6,67,32,7,96,0.0036,3.0,-3.0
2024-11-28 09:00:00,34,6,61,32,8,92,0.0036,1.0,-1.0
2024-11-28 10:00:00,35,6,55,32,8,89,0.0036,1.0,1.0
2024-11-28 11:00:00,36,6,53,32,9,85,0.0036,3.0,3.0
2024-11-28 12:00:00,38,6,50,31,9,76,0.0036,4.0,4.0
2024-11-28 13:00:00,39,7,48,30,10,70,0.004900000000000001,6.0,6.0
2024-11-28 14:00:00,39,7,47,29,10,67,0.004900000000000001,6.0,6.0
2024-11-28 15:00:00,39,7,46,29,10,67,0.004900000000000001,5.0,5.0
2024-11-28 16:00:00,38,7,45,28,10,67,0.004900000000000001,6.0,6.0
2024-11-28 17:00:00,37,7,48,27,9,67,0.004900000000000001,7.0,7.0
2024-11-28 18:00:00,35,7,51,26,9,69,0.004900000000000001,6.0,6.0
2024-11-28 19:00:00,33,3,54,25,8,72,0.0009,4.0,4.0
2024-11-28 20:00:00,31,3,53,24,7,75,0.0009,2.0,2.0
2024-11-28 21:00:00,30,3,53,24,7,78,0.0009,2.0,2.0
2024-11-28 22:00:00,29,3,52,23,6,78,0.0009,1.0,1.0
2024-11-28 23:00:00,28,3,51,23,6,81,0.0009,1.0,-1.0
