Hour,Temperature,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed
2024-11-27 00:00:00,44,22,85,42,92,2
2024-11-27 01:00:00,44,22,80,42,91,2
2024-11-27 02:00:00,43,17,82,41,92,2
2024-11-27 03:00:00,43,19,88,41,91,2
2024-11-27 04:00:00,43,27,88,40,90,2
2024-11-27 05:00:00,42,26,91,39,89,2
2024-11-27 06:00:00,41,26,88,39,91,2
2024-11-27 07:00:00,42,23,89,40,91,2
2024-11-27 08:00:00,41,16,79,39,92,2
2024-11-27 09:00:00,42,18,83,40,93,2
2024-11-27 10:00:00,42,18,79,39,90,3
2024-11-27 11:00:00,43,18,79,39,88,3
2024-11-27 12:00:00,44,18,79,40,86,3
2024-11-27 13:00:00,45,18,72,41,85,3
2024-11-27 14:00:00,45,18,72,41,84,3
2024-11-27 15:00:00,45,18,72,40,84,3
2024-11-27 16:00:00,44,14,61,40,85,1
2024-11-27 17:00:00,44,14,61,40,87,1
2024-11-27 18:00:00,43,14,61,40,88,1
2024-11-27 19:00:00,43,14,78,40,90,3
2024-11-27 20:00:00,43,14,78,40,90,3
2024-11-27 21:00:00,42,14,78,40,90,3
2024-11-27 22:00:00,42,5,76,39,90,2
2024-11-27 23:00:00,42,5,76,39,90,2
2024-11-28 00:00:00,41,5,76,38,89,2
2024-11-28 01:00:00,41,5,84,38,89,2
2024-11-28 02:00:00,41,5,84,38,89,2
2024-11-28 03:00:00,40,5,84,37,89,2
2024-11-28 04:00:00,40,5,88,37,89,3
2024-11-28 05:00:00,40,5,88,37,89,3
2024-11-28 06:00:00,39,5,88,36,90,3
2024-11-28 07:00:00,39,5,85,36,90,2
2024-11-28 08:00:00,39,5,85,37,90,2
2024-11-28 09:00:00,40,5,85,37,89,2
2024-11-28 10:00:00,41,7,85,38,88,3
2024-11-28 11:00:00,42,7,85,38,85,3
2024-11-28 12:00:00,43,7,85,38,82,3
2024-11-28 13:00:00,44,7,82,38,80,3
2024-11-28 14:00:00,44,7,82,39,80,3
2024-11-28 15:00:00,44,7,82,39,81,3
2024-11-28 16:00:00,44,15,80,39,83,2
2024-11-28 17:00:00,43,15,80,39,84,2
2024-11-28 18:00:00,43,15,80,39,85,2
2024-11-28 19:00:00,42,15,72,38,86,2
2024-11-28 20:00:00,42,15,72,38,87,2
2024-11-28 21:00:00,41,15,72,38,87,2
2024-11-28 22:00:00,41,18,61,37,87,3
2024-11-28 23:00:00,41,18,61,37,87,3
