Hour,Temperature,Precip_Chance,Feels_Like,Humidity,Wind_Speed,Dew_Point,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-27 00:00:00,27,80,19,100,7,27,0.03999999999999998,0.0,0.0
2024-11-27 01:00:00,26,80,18,100,8,26,0.03999999999999998,0.0,0.0
2024-11-27 02:00:00,26,75,17,100,8,26,0.0625,0.0,0.0
2024-11-27 03:00:00,25,75,16,100,8,25,0.0625,1.0,-1.0
2024-11-27 04:00:00,24,75,14,100,9,24,0.0625,1.0,-1.0
2024-11-27 05:00:00,22,65,12,100,8,22,0.12249999999999998,0.0,0.0
2024-11-27 06:00:00,20,60,10,100,8,20,0.16000000000000003,1.0,-1.0
2024-11-27 07:00:00,19,50,9,100,8,19,0.25,1.0,-1.0
2024-11-27 08:00:00,21,45,11,95,8,20,0.2025,1.0,1.0
2024-11-27 09:00:00,24,40,14,80,8,18,0.36,3.0,3.0
2024-11-27 10:00:00,26,40,18,68,9,17,0.16000000000000003,6.0,6.0
2024-11-27 11:00:00,27,40,18,64,10,17,0.16000000000000003,5.0,5.0
2024-11-27 12:00:00,28,40,18,62,10,16,0.16000000000000003,7.0,7.0
2024-11-27 13:00:00,27,25,18,62,10,16,0.0625,5.0,5.0
2024-11-27 14:00:00,26,25,16,65,11,16,0.5625,5.0,5.0
2024-11-27 15:00:00,24,25,14,67,10,15,0.0625,1.0,-1.0
2024-11-27 16:00:00,22,25,12,73,9,15,0.0625,2.0,-2.0
2024-11-27 17:00:00,19,25,9,80,7,13,0.0625,4.0,4.0
2024-11-27 18:00:00,15,25,5,90,6,12,0.0625,4.0,4.0
2024-11-27 19:00:00,11,15,2,99,6,11,0.0225,3.0,3.0
2024-11-27 20:00:00,9,10,1,100,6,9,0.010000000000000002,4.0,4.0
2024-11-27 21:00:00,6,5,3,100,5,6,0.0025000000000000005,1.0,-1.0
2024-11-27 22:00:00,5,0,5,100,5,5,0.0,1.0,-1.0
2024-11-27 23:00:00,4,0,6,100,5,4,0.0,4.0,4.0
2024-11-28 00:00:00,3,0,7,100,5,3,0.0,1.0,1.0
2024-11-28 01:00:00,2,0,8,100,5,2,0.0,1.0,1.0
2024-11-28 02:00:00,2,0,8,100,5,2,0.0,6.0,6.0
2024-11-28 03:00:00,1,0,10,100,5,1,0.0,5.0,5.0
2024-11-28 04:00:00,1,0,12,97,5,2,0.0,1.0,1.0
2024-11-28 05:00:00,3,0,14,94,5,4,0.0,5.0,5.0
2024-11-28 06:00:00,3,0,15,91,5,5,0.0,9.0,9.0
2024-11-28 07:00:00,1,0,12,88,5,4,0.0,5.0,5.0
2024-11-28 08:00:00,4,0,7,77,5,2,0.0,4.0,4.0
2024-11-28 09:00:00,11,0,1,62,6,0,0.0,2.0,2.0
2024-11-28 10:00:00,19,0,10,49,7,3,0.0,3.0,3.0
2024-11-28 11:00:00,25,0,16,42,8,5,0.0,7.0,7.0
2024-11-28 12:00:00,28,0,20,38,9,6,0.0,0.0,0.0
2024-11-28 13:00:00,29,0,21,37,9,6,0.0,3.0,3.0
2024-11-28 14:00:00,28,0,20,39,9,6,0.0,3.0,3.0
2024-11-28 15:00:00,26,0,18,42,8,6,0.0,2.0,2.0
2024-11-28 16:00:00,22,0,14,48,7,6,0.0,2.0,-2.0
2024-11-28 17:00:00,18,0,9,56,6,5,0.0,1.0,1.0
2024-11-28 18:00:00,13,0,4,65,6,4,0.0,1.0,-1.0
2024-11-28 19:00:00,10,0,0,73,6,3,0.0,5.0,5.0
2024-11-28 20:00:00,7,0,3,79,6,2,0.0,6.0,6.0
2024-11-28 21:00:00,5,0,6,84,6,1,0.0,3.0,3.0
2024-11-28 22:00:00,3,0,8,87,5,0,0.0,3.0,3.0
2024-11-28 23:00:00,1,0,10,89,5,2,0.0,1.0,-1.0
