Hour,Temperature,Precip_Chance,Feels_Like,Humidity,Wind_Speed,Dew_Point,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-27 00:00:00,36,0,36,64,3,25,0.0,2.0,2.0
2024-11-27 01:00:00,36,0,36,66,3,26,0.0,1.0,1.0
2024-11-27 02:00:00,36,0,36,66,3,26,0.0,2.0,2.0
2024-11-27 03:00:00,36,0,36,67,3,26,0.0,3.0,3.0
2024-11-27 04:00:00,36,0,34,66,3,26,0.0,2.0,2.0
2024-11-27 05:00:00,37,5,34,67,4,27,0.0025000000000000005,2.0,2.0
2024-11-27 06:00:00,37,5,34,66,4,27,0.0025000000000000005,3.0,3.0
2024-11-27 07:00:00,38,5,34,66,4,27,0.0025000000000000005,3.0,3.0
2024-11-27 08:00:00,39,10,36,64,4,28,0.010000000000000002,4.0,4.0
2024-11-27 09:00:00,40,10,36,62,5,28,0.010000000000000002,3.0,3.0
2024-11-27 10:00:00,42,10,38,60,6,29,0.010000000000000002,3.0,3.0
2024-11-27 11:00:00,43,10,39,61,6,30,0.010000000000000002,1.0,1.0
2024-11-27 12:00:00,44,10,40,62,6,31,0.010000000000000002,0.0,0.0
2024-11-27 13:00:00,44,20,41,62,6,32,0.04000000000000001,0.0,0.0
2024-11-27 14:00:00,44,25,41,63,6,32,0.0625,0.0,0.0
2024-11-27 15:00:00,43,30,40,63,5,32,0.48999999999999994,1.0,-1.0
2024-11-27 16:00:00,42,40,39,66,5,32,0.36,3.0,3.0
2024-11-27 17:00:00,41,40,37,70,5,32,0.36,3.0,3.0
2024-11-27 18:00:00,39,40,36,78,5,33,0.36,1.0,1.0
2024-11-27 19:00:00,38,50,35,88,5,35,0.25,0.0,0.0
2024-11-27 20:00:00,38,60,34,91,4,35,0.16000000000000003,0.0,0.0
2024-11-27 21:00:00,37,65,34,93,4,35,0.12249999999999998,1.0,-1.0
2024-11-27 22:00:00,37,65,35,91,4,35,0.12249999999999998,0.0,0.0
2024-11-27 23:00:00,37,70,35,90,4,35,0.09000000000000002,0.0,0.0
2024-11-28 00:00:00,37,65,34,90,4,35,0.42250000000000004,1.0,1.0
2024-11-28 01:00:00,37,45,33,92,4,35,0.2025,0.0,0.0
2024-11-28 02:00:00,37,25,33,92,5,35,0.0625,0.0,0.0
2024-11-28 03:00:00,37,25,33,91,5,35,0.0625,1.0,1.0
2024-11-28 04:00:00,37,5,33,90,5,35,0.0025000000000000005,3.0,3.0
2024-11-28 05:00:00,37,10,33,90,6,35,0.010000000000000002,2.0,2.0
2024-11-28 06:00:00,37,10,33,90,6,35,0.010000000000000002,1.0,1.0
2024-11-28 07:00:00,37,10,33,89,6,34,0.010000000000000002,0.0,0.0
2024-11-28 08:00:00,37,5,32,84,6,33,0.0025000000000000005,1.0,1.0
2024-11-28 09:00:00,38,0,33,81,7,33,0.0,3.0,3.0
2024-11-28 10:00:00,39,0,34,76,8,33,0.0,5.0,5.0
2024-11-28 11:00:00,40,0,35,74,8,33,0.0,7.0,7.0
2024-11-28 12:00:00,42,0,37,71,8,33,0.0,8.0,8.0
2024-11-28 13:00:00,42,0,37,68,8,32,0.0,9.0,9.0
2024-11-28 14:00:00,41,0,36,64,8,30,0.0,8.0,8.0
2024-11-28 15:00:00,40,0,34,59,8,27,0.0,6.0,6.0
2024-11-28 16:00:00,38,0,33,58,8,25,0.0,6.0,6.0
2024-11-28 17:00:00,37,0,31,60,8,24,0.0,7.0,7.0
2024-11-28 18:00:00,35,0,30,64,7,24,0.0,6.0,6.0
2024-11-28 19:00:00,35,0,29,65,7,24,0.0,6.0,6.0
2024-11-28 20:00:00,34,0,28,64,7,24,0.0,5.0,5.0
2024-11-28 21:00:00,34,0,27,65,7,23,0.0,6.0,6.0
2024-11-28 22:00:00,33,0,26,65,7,22,0.0,5.0,5.0
2024-11-28 23:00:00,32,0,25,66,8,21,0.0,3.0,3.0
