Hour,Temperature,Feels_Like,Precip_Chance,Precip_Amount,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Pressure
2024-11-27 00:00:00,73,74,4.0,0.0,41,64,74,4,30.07
2024-11-27 01:00:00,73,74,5.0,0.0,43,64,74,4,30.06
2024-11-27 02:00:00,72,73,10.0,0.0,44,64,74,4,30.04
2024-11-27 03:00:00,71,72,6.0,0.0,38,64,77,4,30.03
2024-11-27 04:00:00,71,72,6.0,0.0,22,63,77,4,30.03
2024-11-27 05:00:00,70,71,6.0,0.0,13,63,78,4,30.03
2024-11-27 06:00:00,69,70,6.0,0.0,20,63,79,4,30.04
2024-11-27 07:00:00,69,70,12.0,0.0,19,62,80,4,30.05
2024-11-27 08:00:00,71,72,5.0,0.0,20,63,76,5,30.06
2024-11-27 09:00:00,75,75,3.0,0.0,23,63,67,6,30.06
2024-11-27 10:00:00,77,80,1.0,0.0,25,63,62,8,30.07
2024-11-27 11:00:00,79,81,1.0,0.0,18,63,59,8,30.06
2024-11-27 12:00:00,79,82,1.0,0.0,15,63,57,9,30.03
2024-11-27 13:00:00,80,82,1.0,0.0,13,63,57,9,30.01
2024-11-27 14:00:00,79,82,1.0,0.0,8,63,57,9,29.99
2024-11-27 15:00:00,79,82,1.0,0.0,9,62,56,9,29.98
2024-11-27 16:00:00,78,81,1.0,0.0,10,62,57,9,29.98
2024-11-27 17:00:00,77,80,1.0,0.0,12,63,61,8,29.98
2024-11-27 18:00:00,75,76,3.0,0.0,15,63,65,7,29.99
2024-11-27 19:00:00,74,75,3.0,0.0,21,63,68,7,30.0
2024-11-27 20:00:00,74,75,5.0,0.0,29,63,70,7,30.01
2024-11-27 21:00:00,74,75,7.0,0.0,32,63,70,7,30.01
2024-11-27 22:00:00,74,74,5.0,0.0,45,63,70,7,30.0
2024-11-27 23:00:00,74,74,9.0,0.0,40,64,71,6,29.99
2024-11-28 00:00:00,73,74,14.0,0.0,49,64,73,6,29.98
2024-11-28 01:00:00,73,74,14.0,0.0,50,64,75,6,29.97
2024-11-28 02:00:00,72,73,16.0,0.0,49,65,77,5,29.96
2024-11-28 03:00:00,72,74,17.0,0.0,50,65,77,4,29.95
2024-11-28 04:00:00,72,73,14.0,0.0,36,64,77,4,29.95
2024-11-28 05:00:00,72,73,14.0,0.0,44,64,77,4,29.95
2024-11-28 06:00:00,71,72,12.0,0.0,44,64,79,3,29.96
2024-11-28 07:00:00,71,72,20.0,0.0,62,64,79,3,29.97
2024-11-28 08:00:00,73,74,15.0,0.0,49,65,77,4,29.99
2024-11-28 09:00:00,76,79,13.0,0.0,48,65,70,5,30.0
2024-11-28 10:00:00,78,81,11.0,0.0,45,66,65,5,30.0
2024-11-28 11:00:00,79,82,15.0,0.0,47,66,64,5,29.99
2024-11-28 12:00:00,80,83,9.0,0.0,48,66,63,6,29.97
2024-11-28 13:00:00,80,83,6.0,0.0,53,66,63,7,29.95
2024-11-28 14:00:00,80,83,2.0,0.0,39,67,64,6,29.94
2024-11-28 15:00:00,80,83,2.0,0.0,33,67,64,6,29.93
2024-11-28 16:00:00,79,82,2.0,0.0,24,66,65,6,29.93
2024-11-28 17:00:00,78,81,2.0,0.0,14,66,67,5,29.94
2024-11-28 18:00:00,76,80,3.0,0.0,13,66,71,3,29.95
2024-11-28 19:00:00,76,80,4.0,0.0,9,66,72,4,29.96
2024-11-28 20:00:00,75,76,4.0,0.0,6,66,73,4,29.97
2024-11-28 21:00:00,75,76,4.0,0.0,9,65,73,2,29.98
2024-11-28 22:00:00,74,75,4.0,0.0,18,65,74,1,29.98
2024-11-28 23:00:00,74,75,4.0,0.0,19,65,75,1,29.98
