Hour,Temperature,Precip_Chance
2024-11-24 0:00:00,43,24
2024-11-24 1:00:00,43,26
2024-11-24 2:00:00,43,31
2024-11-24 3:00:00,42,33
2024-11-24 4:00:00,42,38
2024-11-24 5:00:00,41,42
2024-11-24 6:00:00,41,46
2024-11-24 7:00:00,41,48
2024-11-24 8:00:00,42,53
2024-11-24 9:00:00,42,60
2024-11-24 10:00:00,43,60
2024-11-24 11:00:00,44,60
2024-11-24 12:00:00,44,60
2024-11-24 13:00:00,45,60
2024-11-24 14:00:00,45,60
2024-11-24 15:00:00,45,60
2024-11-24 16:00:00,45,60
2024-11-24 17:00:00,45,55
2024-11-24 18:00:00,44,55
2024-11-24 19:00:00,44,50
2024-11-24 20:00:00,44,45
2024-11-24 21:00:00,44,40
2024-11-24 22:00:00,44,40
2024-11-24 23:00:00,44,40
2024-11-25 0:00:00,43,40
2024-11-25 1:00:00,43,40
2024-11-25 2:00:00,43,40
2024-11-25 3:00:00,43,45
2024-11-25 4:00:00,43,45
2024-11-25 5:00:00,42,45
2024-11-25 6:00:00,42,40
2024-11-25 7:00:00,42,35
2024-11-25 8:00:00,43,30
2024-11-25 9:00:00,44,30
2024-11-25 10:00:00,45,30
2024-11-25 11:00:00,46,30
2024-11-25 12:00:00,47,30
2024-11-25 13:00:00,48,30
2024-11-25 14:00:00,48,30
2024-11-25 15:00:00,47,35
2024-11-25 16:00:00,47,35
2024-11-25 17:00:00,46,35
2024-11-25 18:00:00,46,30
2024-11-25 19:00:00,45,25
2024-11-25 20:00:00,45,25
2024-11-25 21:00:00,44,20
2024-11-25 22:00:00,44,20
2024-11-25 23:00:00,44,20
