Hour,Temperature,Feels_Like,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Wind_Gusts
2024-11-28 00:00:00,73,72,0,11,66,79,8,9
2024-11-28 01:00:00,73,72,0,10,66,80,8,9
2024-11-28 02:00:00,73,72,0,7,66,81,7,8
2024-11-28 03:00:00,72,72,0,6,66,81,7,8
2024-11-28 04:00:00,72,72,0,5,66,82,6,7
2024-11-28 05:00:00,72,72,0,7,66,83,6,7
2024-11-28 06:00:00,71,71,0,9,66,85,6,7
2024-11-28 07:00:00,69,71,0,11,67,91,6,6
2024-11-28 08:00:00,72,75,0,11,68,86,6,7
2024-11-28 09:00:00,75,79,0,11,68,80,6,7
2024-11-28 10:00:00,77,83,0,10,69,76,6,7
2024-11-28 11:00:00,79,86,0,9,69,71,7,8
2024-11-28 12:00:00,80,87,0,9,68,67,7,9
2024-11-28 13:00:00,81,87,0,10,68,64,7,10
2024-11-28 14:00:00,82,87,0,10,68,62,7,10
2024-11-28 15:00:00,81,85,0,11,68,64,7,10
2024-11-28 16:00:00,80,83,0,10,68,66,6,9
2024-11-28 17:00:00,79,81,0,6,68,69,6,7
2024-11-28 18:00:00,77,79,0,2,68,74,6,7
2024-11-28 19:00:00,75,77,0,0,68,79,6,7
2024-11-28 20:00:00,74,76,0,0,68,81,5,6
2024-11-28 21:00:00,74,75,0,0,68,81,5,6
2024-11-28 22:00:00,73,75,0,3,68,82,5,6
2024-11-28 23:00:00,73,74,0,6,67,82,5,6
2024-11-29 00:00:00,72,73,0,9,67,83,5,6
2024-11-29 01:00:00,71,71,0,10,66,84,5,6
2024-11-29 02:00:00,70,70,0,6,66,84,5,6
2024-11-29 03:00:00,70,69,0,2,65,84,6,7
2024-11-29 04:00:00,69,68,0,0,64,85,6,7
2024-11-29 05:00:00,68,67,0,1,64,86,6,7
2024-11-29 06:00:00,68,67,0,6,64,87,6,7
2024-11-29 07:00:00,66,66,0,11,64,92,6,7
2024-11-29 08:00:00,69,70,0,11,64,86,6,7
2024-11-29 09:00:00,72,75,0,11,65,79,6,7
2024-11-29 10:00:00,75,80,0,11,66,73,6,7
2024-11-29 11:00:00,78,84,0,11,66,66,6,7
2024-11-29 12:00:00,79,86,0,11,65,61,6,6
2024-11-29 13:00:00,80,86,0,11,65,58,6,7
2024-11-29 14:00:00,81,85,0,11,64,57,6,7
2024-11-29 15:00:00,82,84,0,11,64,55,7,9
2024-11-29 16:00:00,80,81,0,11,65,59,7,10
2024-11-29 17:00:00,80,79,0,11,65,60,7,9
2024-11-29 18:00:00,78,77,0,11,65,64,7,8
2024-11-29 19:00:00,76,75,0,10,65,69,6,7
2024-11-29 20:00:00,75,74,0,13,65,72,7,8
2024-11-29 21:00:00,74,74,0,18,66,75,7,9
2024-11-29 22:00:00,74,73,0,21,66,77,8,9
2024-11-29 23:00:00,73,73,0,22,66,78,7,9
