Hour,Temperature,Feels_Like,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Wind_Gusts
2024-11-28 00:00:00,39,27,0,70,30,71,16,23
2024-11-28 01:00:00,38,26,0,70,29,69,16,23
2024-11-28 02:00:00,37,25,0,70,27,67,15,21
2024-11-28 03:00:00,36,24,0,70,26,66,15,20
2024-11-28 04:00:00,35,23,0,70,25,66,14,18
2024-11-28 05:00:00,34,22,0,70,24,68,13,17
2024-11-28 06:00:00,33,21,0,70,24,70,13,17
2024-11-28 07:00:00,30,17,0,45,24,77,14,20
2024-11-28 08:00:00,31,19,0,34,23,72,15,21
2024-11-28 09:00:00,33,23,0,26,24,67,15,22
2024-11-28 10:00:00,36,27,0,26,24,60,15,23
2024-11-28 11:00:00,39,31,0,26,23,53,15,24
2024-11-28 12:00:00,42,35,0,26,23,47,15,25
2024-11-28 13:00:00,44,36,0,26,23,43,16,30
2024-11-28 14:00:00,45,38,0,26,22,40,16,29
2024-11-28 15:00:00,48,41,0,26,22,36,15,29
2024-11-28 16:00:00,46,37,0,26,22,40,14,24
2024-11-28 17:00:00,44,35,0,26,23,43,13,20
2024-11-28 18:00:00,41,33,0,26,23,48,12,14
2024-11-28 19:00:00,39,36,0,8,23,54,6,7
2024-11-28 20:00:00,37,35,0,3,24,59,6,8
2024-11-28 21:00:00,36,34,0,0,25,64,5,8
2024-11-28 22:00:00,34,33,0,0,25,68,5,6
2024-11-28 23:00:00,33,32,0,0,25,71,5,6
2024-11-29 00:00:00,33,32,0,0,25,73,5,6
2024-11-29 01:00:00,32,31,0,0,25,75,5,6
2024-11-29 02:00:00,31,30,0,0,24,76,5,6
2024-11-29 03:00:00,30,30,0,0,24,78,5,5
2024-11-29 04:00:00,30,29,0,0,24,80,5,5
2024-11-29 05:00:00,29,29,0,0,24,82,5,5
2024-11-29 06:00:00,28,28,0,0,24,88,5,5
2024-11-29 07:00:00,29,29,0,11,25,84,5,5
2024-11-29 08:00:00,31,32,0,11,25,79,5,6
2024-11-29 09:00:00,35,37,0,11,26,70,5,6
2024-11-29 10:00:00,40,42,0,11,26,58,6,7
2024-11-29 11:00:00,42,45,0,11,25,50,6,7
2024-11-29 12:00:00,45,48,0,11,24,44,7,10
2024-11-29 13:00:00,48,50,0,11,24,38,7,12
2024-11-29 14:00:00,50,50,0,11,24,36,7,13
2024-11-29 15:00:00,51,50,0,11,24,34,7,14
2024-11-29 16:00:00,49,47,0,11,24,37,7,13
2024-11-29 17:00:00,48,44,0,11,24,40,7,12
2024-11-29 18:00:00,45,42,0,11,25,44,7,12
2024-11-29 19:00:00,43,39,0,15,25,50,6,12
2024-11-29 20:00:00,41,37,0,22,25,54,7,13
2024-11-29 21:00:00,39,35,0,26,26,58,7,13
2024-11-29 22:00:00,38,34,0,27,25,59,7,13
2024-11-29 23:00:00,38,33,0,25,25,59,7,14
