Hour,Temperature,Feels_Like,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Wind_Gusts
2024-11-28 00:00:00,46,47,3,94,33,60,4,4
2024-11-28 01:00:00,46,47,19,94,33,60,2,4
2024-11-28 02:00:00,46,48,19,94,34,62,2,2
2024-11-28 03:00:00,45,46,24,94,34,65,4,4
2024-11-28 04:00:00,45,45,47,94,35,69,4,5
2024-11-28 05:00:00,45,42,51,94,37,74,5,6
2024-11-28 06:00:00,45,42,48,94,39,81,6,7
2024-11-28 07:00:00,44,37,83,100,40,86,8,9
2024-11-28 08:00:00,44,36,83,100,42,93,8,9
2024-11-28 09:00:00,43,35,83,100,43,100,8,10
2024-11-28 10:00:00,45,35,76,100,44,97,10,12
2024-11-28 11:00:00,45,36,76,99,44,97,10,13
2024-11-28 12:00:00,46,37,76,99,45,97,10,12
2024-11-28 13:00:00,46,38,70,100,45,96,9,12
2024-11-28 14:00:00,48,40,70,100,45,88,10,12
2024-11-28 15:00:00,47,38,70,100,44,88,10,13
2024-11-28 16:00:00,46,39,40,100,43,88,12,14
2024-11-28 17:00:00,45,37,34,98,41,86,12,14
2024-11-28 18:00:00,43,35,24,96,39,84,13,15
2024-11-28 19:00:00,43,33,5,90,36,79,14,16
2024-11-28 20:00:00,42,32,5,78,36,78,14,16
2024-11-28 21:00:00,42,31,5,66,35,76,14,17
2024-11-28 22:00:00,42,31,5,54,34,76,14,17
2024-11-28 23:00:00,41,31,5,42,34,74,14,17
2024-11-29 00:00:00,41,31,3,30,33,72,14,16
2024-11-29 01:00:00,41,31,0,10,32,72,14,16
2024-11-29 02:00:00,41,31,0,10,31,70,13,15
2024-11-29 03:00:00,40,32,0,9,30,67,12,13
2024-11-29 04:00:00,39,31,0,6,29,68,10,12
2024-11-29 05:00:00,40,33,0,2,29,64,9,12
2024-11-29 06:00:00,40,34,1,0,28,63,9,10
2024-11-29 07:00:00,40,29,7,46,28,63,14,16
2024-11-29 08:00:00,40,30,7,46,28,63,14,16
2024-11-29 09:00:00,41,32,7,46,29,62,15,17
2024-11-29 10:00:00,42,34,7,46,29,59,15,17
2024-11-29 11:00:00,43,36,7,46,29,55,15,18
2024-11-29 12:00:00,45,37,5,46,28,52,16,18
2024-11-29 13:00:00,45,37,0,46,28,50,16,20
2024-11-29 14:00:00,45,36,0,46,27,49,16,20
2024-11-29 15:00:00,45,36,0,46,26,48,16,18
2024-11-29 16:00:00,44,34,0,46,26,48,16,18
2024-11-29 17:00:00,43,33,0,46,26,50,15,18
2024-11-29 18:00:00,42,32,0,46,26,53,15,18
2024-11-29 19:00:00,42,36,1,25,27,55,9,10
2024-11-29 20:00:00,41,34,1,15,26,55,9,12
2024-11-29 21:00:00,40,32,1,6,25,56,10,13
2024-11-29 22:00:00,39,32,1,0,25,56,10,12
2024-11-29 23:00:00,39,31,1,0,24,57,10,12
