Hour,Temperature,Feels_Like,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Wind_Gusts,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-28 00:00:00,40,38,0,97,35,82,6,7,0.0,2.0,2.0
2024-11-28 01:00:00,39,37,0,100,35,83,6,7,0.0,4.0,4.0
2024-11-28 02:00:00,39,37,0,100,34,82,6,7,0.0,3.0,3.0
2024-11-28 03:00:00,39,37,0,100,34,82,5,6,0.0,2.0,2.0
2024-11-28 04:00:00,38,36,0,99,33,83,5,6,0.0,1.0,1.0
2024-11-28 05:00:00,38,37,0,100,33,83,5,6,0.0,2.0,2.0
2024-11-28 06:00:00,38,36,0,100,33,82,5,6,0.0,3.0,3.0
2024-11-28 07:00:00,36,35,0,100,32,86,5,6,0.0,0.0,0.0
2024-11-28 08:00:00,37,36,0,96,32,84,5,6,0.0,1.0,1.0
2024-11-28 09:00:00,38,38,0,95,33,82,5,5,0.0,1.0,1.0
2024-11-28 10:00:00,39,40,0,95,34,80,4,5,0.0,2.0,2.0
2024-11-28 11:00:00,41,43,0,95,34,77,4,5,0.0,4.0,4.0
2024-11-28 12:00:00,43,45,0,95,35,73,4,5,0.0,5.0,5.0
2024-11-28 13:00:00,44,46,0,95,35,71,4,5,0.0,5.0,5.0
2024-11-28 14:00:00,45,46,0,95,36,68,5,5,0.0,6.0,6.0
2024-11-28 15:00:00,44,44,0,95,36,71,5,6,0.0,1.0,1.0
2024-11-28 16:00:00,43,42,0,95,36,75,5,6,0.0,1.0,1.0
2024-11-28 17:00:00,42,41,0,95,36,77,5,6,0.0,1.0,1.0
2024-11-28 18:00:00,41,40,0,96,35,80,5,6,0.0,2.0,2.0
2024-11-28 19:00:00,40,40,0,94,35,81,5,5,0.0,3.0,3.0
2024-11-28 20:00:00,40,39,0,94,35,80,5,6,0.0,6.0,6.0
2024-11-28 21:00:00,40,38,0,94,35,80,6,7,0.0,7.0,7.0
2024-11-28 22:00:00,40,37,0,94,34,81,6,7,0.0,8.0,8.0
2024-11-28 23:00:00,39,36,0,94,34,82,6,7,0.0,5.0,5.0
2024-11-29 00:00:00,39,36,0,94,34,82,6,7,0.0,4.0,4.0
2024-11-29 01:00:00,38,35,0,94,34,83,6,7,0.0,3.0,3.0
2024-11-29 02:00:00,38,35,0,94,33,83,6,7,0.0,3.0,3.0
2024-11-29 03:00:00,38,35,0,92,33,82,6,7,0.0,3.0,3.0
2024-11-29 04:00:00,38,34,0,90,33,83,6,7,0.0,3.0,3.0
2024-11-29 05:00:00,38,34,0,89,33,83,6,7,0.0,2.0,2.0
2024-11-29 06:00:00,38,34,0,91,33,83,6,7,0.0,2.0,2.0
2024-11-29 07:00:00,37,34,1,94,33,85,6,7,0.0001,1.0,1.0
2024-11-29 08:00:00,37,34,1,96,33,83,6,7,0.0001,1.0,1.0
2024-11-29 09:00:00,38,36,1,98,33,83,6,7,0.0001,1.0,1.0
2024-11-29 10:00:00,40,38,1,99,33,78,6,7,0.0001,1.0,1.0
2024-11-29 11:00:00,42,40,1,98,34,73,6,7,0.0001,2.0,2.0
2024-11-29 12:00:00,44,42,1,98,35,70,6,7,0.0001,3.0,3.0
2024-11-29 13:00:00,45,44,1,99,35,68,6,7,0.0001,4.0,4.0
2024-11-29 14:00:00,46,45,1,100,35,67,5,6,0.0001,5.0,5.0
2024-11-29 15:00:00,46,46,1,100,35,66,5,5,0.0001,4.0,4.0
2024-11-29 16:00:00,44,45,1,100,35,71,4,5,0.0001,3.0,3.0
2024-11-29 17:00:00,43,43,1,89,35,74,5,5,0.0001,4.0,4.0
2024-11-29 18:00:00,41,40,2,77,35,77,5,6,0.0004,2.0,2.0
2024-11-29 19:00:00,41,40,3,70,34,76,5,6,0.0009,2.0,2.0
2024-11-29 20:00:00,41,40,3,71,34,75,5,6,0.0009,5.0,5.0
2024-11-29 21:00:00,40,40,3,78,34,78,5,5,0.0009,4.0,4.0
2024-11-29 22:00:00,39,40,3,87,33,78,4,4,0.0009,1.0,1.0
2024-11-29 23:00:00,38,39,3,93,32,79,4,4,0.0009,1.0,1.0
