Hour,Temperature,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-28 00:00:00,16,1,92,13,88,6,0.0001,2.0,-2.0
2024-11-28 01:00:00,16,4,87,12,84,6,0.9216,2.0,-2.0
2024-11-28 02:00:00,16,6,88,13,88,6,0.0036,2.0,-2.0
2024-11-28 03:00:00,16,8,90,12,84,7,0.0064,2.0,-2.0
2024-11-28 04:00:00,15,8,91,12,88,8,0.0064,3.0,-3.0
2024-11-28 05:00:00,14,6,89,11,88,10,0.0036,3.0,-3.0
2024-11-28 06:00:00,13,2,87,10,88,10,0.0004,3.0,-3.0
2024-11-28 07:00:00,12,2,85,8,83,11,0.0004,3.0,-3.0
2024-11-28 08:00:00,10,2,90,6,84,13,0.0004,5.0,-5.0
2024-11-28 09:00:00,11,2,91,6,80,13,0.0004,4.0,-4.0
2024-11-28 10:00:00,11,2,91,6,80,14,0.0004,5.0,-5.0
2024-11-28 11:00:00,12,2,89,6,76,14,0.0004,4.0,-4.0
2024-11-28 12:00:00,12,4,87,7,80,14,0.0016,4.0,-4.0
2024-11-28 13:00:00,13,4,77,6,72,15,0.0016,3.0,-3.0
2024-11-28 14:00:00,13,4,66,6,72,16,0.0016,3.0,-3.0
2024-11-28 15:00:00,13,4,56,6,72,15,0.0016,3.0,-3.0
2024-11-28 16:00:00,14,4,48,6,71,15,0.0016,1.0,-1.0
2024-11-28 17:00:00,12,4,41,5,74,14,0.0016,2.0,-2.0
2024-11-28 18:00:00,11,2,33,4,74,14,0.0004,0.0,0.0
2024-11-28 19:00:00,8,2,35,3,79,14,0.0004,4.0,-4.0
2024-11-28 20:00:00,7,2,36,3,84,14,0.0004,3.0,-3.0
2024-11-28 21:00:00,6,2,38,2,84,14,0.0004,4.0,-4.0
2024-11-28 22:00:00,5,2,33,1,82,13,0.0004,4.0,-4.0
2024-11-28 23:00:00,5,2,33,1,84,13,0.0004,2.0,-2.0
2024-11-29 00:00:00,4,0,32,0,81,11,0.0,3.0,-3.0
2024-11-29 01:00:00,3,0,30,0,85,11,0.0,3.0,-3.0
2024-11-29 02:00:00,3,0,29,-1,85,11,0.0,1.0,-1.0
2024-11-29 03:00:00,2,0,27,-1,88,11,0.0,1.0,-1.0
2024-11-29 04:00:00,1,0,26,-2,87,11,0.0,3.0,-3.0
2024-11-29 05:00:00,0,0,26,-3,85,11,0.0,4.0,-4.0
2024-11-29 06:00:00,0,0,25,-3,88,11,0.0,3.0,-3.0
2024-11-29 07:00:00,0,0,27,-3,85,11,0.0,3.0,-3.0
2024-11-29 08:00:00,1,0,28,-3,82,10,0.0,2.0,-2.0
2024-11-29 09:00:00,2,0,30,-2,83,10,0.0,1.0,-1.0
2024-11-29 10:00:00,3,0,31,-1,83,10,0.0,1.0,1.0
2024-11-29 11:00:00,5,0,32,-1,76,11,0.0,1.0,1.0
2024-11-29 12:00:00,7,0,33,0,72,11,0.0,1.0,1.0
2024-11-29 13:00:00,8,0,30,1,72,11,0.0,1.0,1.0
2024-11-29 14:00:00,9,0,26,2,72,11,0.0,1.0,1.0
2024-11-29 15:00:00,9,0,23,2,72,11,0.0,1.0,1.0
2024-11-29 16:00:00,8,0,21,2,76,11,0.0,2.0,2.0
2024-11-29 17:00:00,7,0,19,1,76,10,0.0,4.0,4.0
2024-11-29 18:00:00,6,0,17,0,76,10,0.0,6.0,6.0
2024-11-29 19:00:00,5,0,20,-1,76,10,0.0,5.0,5.0
2024-11-29 20:00:00,4,0,22,-1,79,9,0.0,6.0,6.0
2024-11-29 21:00:00,3,0,25,-2,79,9,0.0,5.0,5.0
2024-11-29 22:00:00,3,0,29,-2,79,8,0.0,5.0,5.0
2024-11-29 23:00:00,3,0,33,-3,75,7,0.0,7.0,7.0
