Hour,Temperature,Precip_Chance,Feels_Like,Humidity,Wind_Speed,Dew_Point
2024-11-28 00:00:00,36,70,36,95,2,35
2024-11-28 01:00:00,36,45,36,94,2,35
2024-11-28 02:00:00,36,25,33,93,4,34
2024-11-28 03:00:00,36,10,32,95,5,34
2024-11-28 04:00:00,35,5,31,94,5,34
2024-11-28 05:00:00,35,0,31,95,5,34
2024-11-28 06:00:00,35,0,30,95,5,33
2024-11-28 07:00:00,34,0,29,97,6,33
2024-11-28 08:00:00,33,0,27,96,6,32
2024-11-28 09:00:00,33,0,27,96,7,32
2024-11-28 10:00:00,34,0,28,91,7,31
2024-11-28 11:00:00,35,0,29,84,8,31
2024-11-28 12:00:00,37,0,30,78,8,30
2024-11-28 13:00:00,37,0,31,76,9,30
2024-11-28 14:00:00,37,0,30,74,9,29
2024-11-28 15:00:00,37,0,30,71,9,28
2024-11-28 16:00:00,37,0,30,67,9,27
2024-11-28 17:00:00,37,0,30,60,9,24
2024-11-28 18:00:00,36,0,28,60,9,23
2024-11-28 19:00:00,34,0,27,61,9,22
2024-11-28 20:00:00,33,0,25,67,8,23
2024-11-28 21:00:00,31,0,24,68,8,22
2024-11-28 22:00:00,30,0,23,69,7,21
2024-11-28 23:00:00,30,0,22,68,7,21
2024-11-29 00:00:00,29,0,22,66,8,20
2024-11-29 01:00:00,29,0,21,66,8,19
2024-11-29 02:00:00,28,0,20,68,9,19
2024-11-29 03:00:00,27,0,18,70,9,19
2024-11-29 04:00:00,27,0,18,68,9,18
2024-11-29 05:00:00,27,0,18,67,9,17
2024-11-29 06:00:00,26,0,17,65,9,16
2024-11-29 07:00:00,26,0,17,66,9,17
2024-11-29 08:00:00,26,0,17,68,10,17
2024-11-29 09:00:00,26,0,17,68,10,17
2024-11-29 10:00:00,26,0,17,66,11,17
2024-11-29 11:00:00,27,0,17,61,12,15
2024-11-29 12:00:00,28,0,17,57,13,15
2024-11-29 13:00:00,29,0,18,55,13,15
2024-11-29 14:00:00,29,0,19,52,13,14
2024-11-29 15:00:00,29,0,19,50,13,13
2024-11-29 16:00:00,29,0,19,49,13,12
2024-11-29 17:00:00,29,0,18,46,13,11
2024-11-29 18:00:00,28,0,17,47,13,10
2024-11-29 19:00:00,26,0,15,48,12,9
2024-11-29 20:00:00,24,0,14,51,10,9
2024-11-29 21:00:00,23,0,13,53,9,8
2024-11-29 22:00:00,22,0,12,53,9,8
2024-11-29 23:00:00,22,0,12,55,9,8
