Hour,Temperature,Feels_Like,Precip_Chance,Precip_Amount,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Pressure,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-28 00:00:00,17,8,23.0,0.0,83,12,81,7,30.19,0.0529,1.0,-1.0
2024-11-28 01:00:00,17,7,22.0,0.0,79,12,80,7,30.18,0.6084,1.0,-1.0
2024-11-28 02:00:00,16,6,13.0,0.0,79,11,79,8,30.18,0.016900000000000002,2.0,-2.0
2024-11-28 03:00:00,16,4,6.0,0.0,89,10,78,9,30.19,0.0036,2.0,-2.0
2024-11-28 04:00:00,15,3,12.0,0.0,96,9,76,9,30.2,0.0144,3.0,-3.0
2024-11-28 05:00:00,14,1,5.0,0.0,94,7,75,11,30.2,0.0025000000000000005,3.0,-3.0
2024-11-28 06:00:00,12,-3,5.0,0.0,89,5,73,13,30.22,0.0025000000000000005,4.0,-4.0
2024-11-28 07:00:00,11,-5,4.0,0.0,89,4,73,13,30.23,0.0016,4.0,-4.0
2024-11-28 08:00:00,10,-6,4.0,0.0,94,2,71,14,30.25,0.0016,5.0,-5.0
2024-11-28 09:00:00,10,-6,3.0,0.0,95,2,69,15,30.27,0.0009,5.0,-5.0
2024-11-28 10:00:00,11,-6,3.0,0.0,94,2,68,16,30.27,0.0009,5.0,-5.0
2024-11-28 11:00:00,11,-5,2.0,0.0,91,2,67,16,30.28,0.0004,5.0,-5.0
2024-11-28 12:00:00,12,-4,2.0,0.0,91,3,64,16,30.28,0.0004,4.0,-4.0
2024-11-28 13:00:00,13,-4,2.0,0.0,88,3,64,16,30.28,0.0004,3.0,-3.0
2024-11-28 14:00:00,13,-3,1.0,0.0,78,3,63,16,30.28,0.0001,3.0,-3.0
2024-11-28 15:00:00,13,-3,1.0,0.0,67,3,63,17,30.3,0.0001,3.0,-3.0
2024-11-28 16:00:00,12,-4,2.0,0.0,57,3,64,15,30.32,0.0004,3.0,-3.0
2024-11-28 17:00:00,11,-5,2.0,0.0,40,2,65,14,30.33,0.0004,3.0,-3.0
2024-11-28 18:00:00,9,-7,3.0,0.0,30,1,68,14,30.35,0.0009,2.0,-2.0
2024-11-28 19:00:00,8,-9,3.0,0.0,28,-1,68,14,30.36,0.0009,4.0,-4.0
2024-11-28 20:00:00,7,-10,3.0,0.0,28,-1,70,14,30.37,0.0009,3.0,-3.0
2024-11-28 21:00:00,6,-11,3.0,0.0,24,-1,71,14,30.38,0.0009,4.0,-4.0
2024-11-28 22:00:00,6,-11,3.0,0.0,26,-2,70,13,30.39,0.0009,3.0,-3.0
2024-11-28 23:00:00,5,-12,3.0,0.0,24,-2,71,13,30.39,0.0009,2.0,-2.0
2024-11-29 00:00:00,5,-12,3.0,0.0,33,-3,69,13,30.4,0.0009,2.0,-2.0
2024-11-29 01:00:00,4,-13,3.0,0.0,10,-3,71,13,30.4,0.0009,2.0,-2.0
2024-11-29 02:00:00,4,-13,3.0,0.0,13,-4,70,13,30.41,0.0009,0.0,0.0
2024-11-29 03:00:00,4,-14,4.0,0.0,15,-4,71,14,30.41,0.0016,1.0,1.0
2024-11-29 04:00:00,3,-14,4.0,0.0,12,-5,69,13,30.42,0.0016,1.0,-1.0
2024-11-29 05:00:00,3,-15,4.0,0.0,9,-5,71,13,30.42,0.0016,1.0,-1.0
2024-11-29 06:00:00,2,-15,4.0,0.0,13,-5,69,13,30.42,0.0016,1.0,-1.0
2024-11-29 07:00:00,2,-15,3.0,0.0,14,-6,69,12,30.43,0.0009,1.0,-1.0
2024-11-29 08:00:00,2,-15,3.0,0.0,16,-6,70,12,30.44,0.0009,1.0,-1.0
2024-11-29 09:00:00,2,-15,3.0,0.0,17,-6,67,13,30.44,0.0009,1.0,-1.0
2024-11-29 10:00:00,4,-14,2.0,0.0,18,-6,65,14,30.44,0.0004,2.0,2.0
2024-11-29 11:00:00,5,-12,1.0,0.0,21,-5,63,13,30.43,0.0001,1.0,1.0
2024-11-29 12:00:00,7,-10,1.0,0.0,18,-4,62,14,30.41,0.0001,1.0,1.0
2024-11-29 13:00:00,8,-9,1.0,0.0,10,-3,61,14,30.4,0.0001,1.0,1.0
2024-11-29 14:00:00,8,-8,1.0,0.0,4,-2,62,13,30.4,0.0001,0.0,0.0
2024-11-29 15:00:00,9,-7,1.0,0.0,4,-2,61,13,30.39,0.0001,1.0,1.0
2024-11-29 16:00:00,8,-7,1.0,0.0,4,-2,62,11,30.4,0.0001,2.0,2.0
2024-11-29 17:00:00,7,-8,2.0,0.0,3,-3,63,10,30.4,0.0004,4.0,4.0
2024-11-29 18:00:00,5,-10,2.0,0.0,3,-4,66,10,30.4,0.0004,5.0,5.0
2024-11-29 19:00:00,4,-12,3.0,0.0,3,-5,67,10,30.41,0.0009,4.0,4.0
2024-11-29 20:00:00,2,-12,3.0,0.0,3,-5,69,9,30.42,0.0009,4.0,4.0
2024-11-29 21:00:00,2,-14,3.0,0.0,4,-6,69,10,30.42,0.0009,4.0,4.0
2024-11-29 22:00:00,1,-14,3.0,0.0,5,-7,68,9,30.42,0.0009,3.0,3.0
2024-11-29 23:00:00,1,-14,3.0,0.0,6,-7,69,9,30.42,0.0009,5.0,5.0
