OKC
station,valid,tmpf,tmpc,dwpf,dwpc,relh,feel,drct,sknt,sped,alti,mslp,p01m,p01i
OKC,2024-11-24 00:52,56.00,13.33,46.00,7.78,69.05,56.00,170.00,13.00,14.95,29.81,1008.50,0.00,0.00
OKC,2024-11-24 01:52,55.00,12.78,46.00,7.78,71.60,55.00,180.00,15.00,17.25,29.79,1007.80,0.00,0.00
OKC,2024-11-24 02:52,55.00,12.78,47.00,8.33,74.36,55.00,180.00,12.00,13.80,29.79,1007.80,0.00,0.00
OKC,2024-11-24 03:52,55.00,12.78,48.00,8.89,77.21,55.00,170.00,12.00,13.80,29.77,1007.30,0.00,0.00
OKC,2024-11-24 04:52,55.00,12.78,48.00,8.89,77.21,55.00,170.00,12.00,13.80,29.76,1006.90,0.00,0.00
OKC,2024-11-24 05:52,52.00,11.11,47.00,8.33,82.99,52.00,160.00,9.00,10.35,29.75,1007.00,0.00,0.00
OKC,2024-11-24 06:52,53.00,11.67,48.00,8.89,83.06,53.00,170.00,11.00,12.65,29.75,1006.80,0.00,0.00
OKC,2024-11-24 07:52,55.00,12.78,50.00,10.00,83.20,55.00,170.00,14.00,16.10,29.74,1006.40,0.00,0.00
OKC,2024-11-24 08:52,59.00,15.00,51.00,10.56,74.74,59.00,180.00,18.00,20.70,29.74,1006.40,0.00,0.00
OKC,2024-11-24 09:52,64.00,17.78,52.00,11.11,64.97,64.00,200.00,18.00,20.70,29.75,1006.90,0.00,0.00
OKC,2024-11-24 10:52,68.00,20.00,51.00,10.56,54.50,68.00,220.00,23.00,26.45,29.75,1006.70,0.00,0.00
OKC,2024-11-24 11:52,71.00,21.67,51.00,10.56,49.18,71.00,210.00,18.00,20.70,29.70,1004.90,0.00,0.00
OKC,2024-11-24 12:52,73.00,22.78,51.00,10.56,45.96,73.00,190.00,22.00,25.30,29.68,1004.00,0.00,0.00
OKC,2024-11-24 13:52,74.00,23.33,51.00,10.56,44.44,74.00,210.00,21.00,24.15,29.67,1003.90,0.00,0.00
OKC,2024-11-24 14:52,75.00,23.89,51.00,10.56,42.98,75.00,210.00,17.00,19.55,29.67,1003.80,0.00,0.00
OKC,2024-11-24 15:52,75.00,23.89,51.00,10.56,42.98,75.00,210.00,17.00,19.55,29.68,1004.20,0.00,0.00
OKC,2024-11-24 16:52,72.00,22.22,51.00,10.56,47.54,72.00,200.00,13.00,14.95,29.71,1005.00,0.00,0.00
OKC,2024-11-24 17:52,67.00,19.44,49.00,9.44,52.37,67.00,200.00,12.00,13.80,29.72,1005.60,0.00,0.00
OKC,2024-11-24 18:52,62.00,16.67,48.00,8.89,60.07,62.00,190.00,9.00,10.35,29.73,1006.10,0.00,0.00
OKC,2024-11-24 19:52,62.00,16.67,51.00,10.56,67.18,62.00,190.00,9.00,10.35,29.74,1006.40,0.00,0.00
OKC,2024-11-24 20:52,59.00,15.00,52.00,11.11,77.55,59.00,170.00,9.00,10.35,29.75,1006.70,0.00,0.00
OKC,2024-11-24 21:52,56.00,13.33,51.00,10.56,83.26,56.00,180.00,7.00,8.05,29.77,1007.30,0.00,0.00
OKC,2024-11-24 22:52,56.00,13.33,51.00,10.56,83.26,56.00,170.00,8.00,9.20,29.76,1007.10,0.00,0.00
OKC,2024-11-24 23:52,54.00,12.22,50.00,10.00,86.29,54.00,330.00,6.00,6.90,29.80,1008.10,0.00,0.00
OKC,2024-11-25 00:52,51.00,10.56,47.00,8.33,86.12,51.00,340.00,15.00,17.25,29.83,1009.30,0.00,0.00
OKC,2024-11-25 01:52,49.00,9.44,46.00,7.78,89.33,41.92,350.00,19.00,21.85,29.86,1010.40,0.00,0.00
OKC,2024-11-25 02:52,45.00,7.22,40.00,4.44,82.51,35.99,350.00,22.00,25.30,29.92,1012.50,0.00,0.00
OKC,2024-11-25 03:52,43.00,6.11,37.00,2.78,79.19,32.90,350.00,24.00,27.60,29.95,1013.50,0.00,0.00
OKC,2024-11-25 04:52,43.00,6.11,38.00,3.33,82.37,33.31,350.00,22.00,25.30,29.99,1015.00,0.00,0.00
OKC,2024-11-25 05:52,42.00,5.56,37.00,2.78,82.30,31.76,350.00,23.00,26.45,30.01,1015.90,0.00,0.00
OKC,2024-11-25 06:52,41.00,5.00,36.00,2.22,82.22,30.86,340.00,21.00,24.15,30.07,1018.00,0.00,0.00
OKC,2024-11-25 07:52,40.00,4.44,36.00,2.22,85.48,29.29,350.00,22.00,25.30,30.11,1019.50,0.00,0.00
OKC,2024-11-25 08:52,41.00,5.00,34.00,1.11,75.94,31.34,350.00,19.00,21.85,30.17,1021.60,0.00,0.00
OKC,2024-11-25 09:52,41.00,5.00,33.00,0.56,72.96,31.87,360.00,17.00,19.55,30.21,1023.00,0.00,0.00
OKC,2024-11-25 10:52,42.00,5.56,32.00,0.00,67.42,33.18,360.00,17.00,19.55,30.24,1024.00,0.00,0.00
OKC,2024-11-25 11:52,43.00,6.11,31.00,-0.56,62.31,34.76,360.00,16.00,18.40,30.24,1024.00,0.00,0.00
OKC,2024-11-25 12:52,47.00,8.33,32.00,0.00,55.73,39.06,340.00,20.00,23.00,30.23,1023.60,0.00,0.00
OKC,2024-11-25 13:52,47.00,8.33,32.00,0.00,55.73,39.27,360.00,19.00,21.85,30.25,1024.30,0.00,0.00
OKC,2024-11-25 14:52,48.00,8.89,32.00,0.00,53.67,40.81,360.00,18.00,20.70,30.25,1024.60,0.00,0.00
OKC,2024-11-25 15:52,48.00,8.89,31.00,-0.56,51.54,41.04,340.00,17.00,19.55,30.28,1025.50,0.00,0.00
OKC,2024-11-25 16:52,45.00,7.22,26.00,-3.33,47.04,37.63,350.00,15.00,17.25,30.30,1026.30,0.00,0.00
OKC,2024-11-25 17:52,43.00,6.11,26.00,-3.33,50.77,35.34,350.00,14.00,16.10,30.32,1027.20,0.00,0.00
OKC,2024-11-25 18:52,42.00,5.56,25.00,-3.89,50.61,34.73,350.00,12.00,13.80,30.34,1027.90,0.00,0.00
OKC,2024-11-25 19:52,41.00,5.00,25.00,-3.89,52.61,34.70,360.00,9.00,10.35,30.35,1028.30,0.00,0.00
OKC,2024-11-25 20:52,40.00,4.44,25.00,-3.89,54.69,33.46,360.00,9.00,10.35,30.37,1028.80,0.00,0.00
OKC,2024-11-25 21:52,39.00,3.89,25.00,-3.89,56.86,32.74,10.00,8.00,9.20,30.37,1028.90,0.00,0.00
OKC,2024-11-25 22:52,36.00,2.22,24.00,-4.44,61.37,31.15,10.00,5.00,5.75,30.38,1029.20,0.00,0.00
OKC,2024-11-25 23:52,36.00,2.22,25.00,-3.89,63.98,32.09,340.00,4.00,4.60,30.38,1029.30,0.00,0.00
OKC,2024-11-26 00:52,34.00,1.11,25.00,-3.89,69.28,29.76,350.00,4.00,4.60,30.36,1028.40,0.00,0.00
OKC,2024-11-26 01:52,34.00,1.11,25.00,-3.89,69.28,30.97,350.00,3.00,3.45,30.34,1027.90,0.00,0.00
OKC,2024-11-26 02:52,35.00,1.67,24.00,-4.44,63.85,27.81,30.00,8.00,9.20,30.32,1027.20,0.00,0.00
OKC,2024-11-26 03:52,27.00,-2.78,22.00,-5.56,81.17,19.51,250.00,6.00,6.90,30.33,1027.60,0.00,0.00
OKC,2024-11-26 04:52,32.00,0.00,24.00,-4.44,72.00,28.69,320.00,3.00,3.45,30.31,1026.90,0.00,0.00
