Hour,Temperature,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed
2024-11-02 00:00:00,40,0,5,37,89,2
2024-11-02 01:00:00,39,0,10,37,92,2
2024-11-02 02:00:00,39,0,14,36,89,2
2024-11-02 03:00:00,38,0,18,36,92,2
2024-11-02 04:00:00,38,0,23,35,89,2
2024-11-02 05:00:00,37,0,27,35,92,2
2024-11-02 06:00:00,36,0,26,34,92,2
2024-11-02 07:00:00,34,0,26,34,100,2
2024-11-02 08:00:00,35,0,25,34,96,2
2024-11-02 09:00:00,38,0,24,35,89,3
2024-11-02 10:00:00,43,0,24,37,79,3
2024-11-02 11:00:00,48,0,23,39,71,5
2024-11-02 12:00:00,52,0,21,40,63,5
2024-11-02 13:00:00,56,0,19,39,53,6
2024-11-02 14:00:00,59,0,17,39,47,6
2024-11-02 15:00:00,61,0,19,38,42,6
2024-11-02 16:00:00,62,0,21,38,41,6
2024-11-02 17:00:00,61,0,23,37,41,6
2024-11-02 18:00:00,59,0,23,37,44,6
2024-11-02 19:00:00,55,0,22,38,53,5
2024-11-02 20:00:00,52,2,22,38,59,5
2024-11-02 21:00:00,50,2,30,38,63,5
2024-11-02 22:00:00,48,2,37,38,68,5
2024-11-02 23:00:00,47,2,45,38,71,5
