station,valid,tmpf,dwpf,relh,sped,p01i
LXV,2024-11-23 00:53,25.00,7.00,45.75,6.90,0.00
LXV,2024-11-23 01:53,23.00,6.00,47.53,3.45,0.00
LXV,2024-11-23 02:53,24.00,5.00,43.54,0.00,0.00
LXV,2024-11-23 03:53,21.00,5.00,49.41,5.75,0.00
LXV,2024-11-23 04:53,19.00,4.00,51.39,3.45,0.00
LXV,2024-11-23 05:53,19.00,1.00,44.72,3.45,0.00
LXV,2024-11-23 06:53,21.00,-3.00,34.01,4.60,0.00
LXV,2024-11-23 07:53,23.00,-2.00,32.77,0.00,0.00
LXV,2024-11-23 08:53,31.00,1.00,27.13,0.00,0.00
LXV,2024-11-23 09:53,40.00,1.00,18.98,3.45,0.00
LXV,2024-11-23 10:53,46.00,5.00,18.14,8.05,0.00
LXV,2024-11-23 11:53,49.00,-5.00,10.14,4.60,0.00
LXV,2024-11-23 12:53,52.00,-4.00,9.51,17.25,0.00
LXV,2024-11-23 13:53,52.00,-2.00,10.47,14.95,0.00
LXV,2024-11-23 14:53,51.00,-1.00,11.39,12.65,0.00
LXV,2024-11-23 15:53,48.00,5.00,16.83,10.35,0.00
LXV,2024-11-23 16:53,40.00,7.00,25.02,6.90,0.00
LXV,2024-11-23 17:53,41.00,4.00,20.98,8.05,0.00
LXV,2024-11-23 18:53,38.00,0.00,19.59,4.60,0.00
LXV,2024-11-23 19:53,29.00,2.00,30.83,0.00,0.00
LXV,2024-11-23 20:53,36.00,1.00,22.21,5.75,0.00
LXV,2024-11-23 21:53,37.00,1.00,21.35,9.20,0.00
LXV,2024-11-23 22:53,36.00,3.00,24.37,11.50,0.00
LXV,2024-11-23 23:53,33.00,3.00,27.47,5.75,0.00
LXV,2024-11-24 00:53,35.00,4.00,26.55,6.90,0.00
LXV,2024-11-24 01:53,38.00,8.00,28.30,9.20,0.00
LXV,2024-11-24 02:53,34.00,10.00,36.27,3.45,0.00
LXV,2024-11-24 03:53,33.00,23.00,66.32,4.60,0.00
LXV,2024-11-24 04:53,31.00,25.00,78.16,0.00,0.01
LXV,2024-11-24 05:53,29.00,21.00,71.67,0.00,T
LXV,2024-11-24 06:53,27.00,19.00,71.45,0.00,0.00
LXV,2024-11-24 07:53,30.00,18.00,60.53,3.45,0.00
LXV,2024-11-24 08:53,34.00,19.00,53.77,9.20,0.00
