station,valid,tmpf,dwpf,relh,sped,p01i
GFK,2024-11-23 00:53,24.00,19.00,80.93,5.75,0.00
GFK,2024-11-23 01:53,24.00,18.00,77.53,5.75,0.00
GFK,2024-11-23 02:53,24.00,18.00,77.53,9.20,0.00
GFK,2024-11-23 03:53,24.00,17.00,74.26,9.20,0.00
GFK,2024-11-23 04:53,23.00,17.00,77.44,6.90,0.00
GFK,2024-11-23 05:53,22.00,15.00,74.05,8.05,0.00
GFK,2024-11-23 06:53,21.00,13.00,70.76,11.50,0.00
GFK,2024-11-23 07:53,20.00,14.00,77.16,11.50,0.00
GFK,2024-11-23 08:53,20.00,14.00,77.16,10.35,0.00
GFK,2024-11-23 09:53,20.00,14.00,77.16,11.50,0.00
GFK,2024-11-23 10:53,20.00,14.00,77.16,9.20,0.00
GFK,2024-11-23 11:53,20.00,14.00,77.16,9.20,0.00
GFK,2024-11-23 12:53,20.00,13.00,73.84,8.05,0.00
GFK,2024-11-23 13:53,19.00,13.00,77.06,9.20,0.00
GFK,2024-11-23 14:53,19.00,12.00,73.73,9.20,0.00
GFK,2024-11-23 15:53,19.00,12.00,73.73,12.65,0.00
GFK,2024-11-23 16:53,19.00,13.00,77.06,11.50,0.00
GFK,2024-11-23 17:53,19.00,14.00,80.52,8.05,0.00
GFK,2024-11-23 18:53,20.00,15.00,80.60,8.05,0.00
GFK,2024-11-23 19:53,20.00,16.00,84.19,6.90,0.00
GFK,2024-11-23 20:53,21.00,16.00,80.69,8.05,0.00
GFK,2024-11-23 21:53,22.00,17.00,80.77,9.20,0.00
GFK,2024-11-23 22:53,23.00,17.00,77.44,10.35,0.00
GFK,2024-11-23 23:53,23.00,17.00,77.44,9.20,0.00
GFK,2024-11-24 00:53,23.00,18.00,80.85,11.50,0.00
GFK,2024-11-24 01:53,24.00,19.00,80.93,9.20,0.00
GFK,2024-11-24 02:53,25.00,20.00,81.01,12.65,0.00
GFK,2024-11-24 03:53,25.00,20.00,81.01,9.20,0.00
GFK,2024-11-24 04:53,25.00,21.00,84.53,12.65,0.00
GFK,2024-11-24 05:53,26.00,21.00,81.09,9.20,0.00
GFK,2024-11-24 06:53,26.00,21.00,81.09,8.05,0.00
GFK,2024-11-24 07:53,27.00,22.00,81.17,5.75,0.00
GFK,2024-11-24 08:53,28.00,22.00,77.89,5.75,0.00
GFK,2024-11-24 09:53,28.00,22.00,77.89,4.60,0.00
