station,valid,tmpf,dwpf,relh,sped,p01i
LAF,2024-11-23 00:54,40.00,38.00,92.49,10.35,0.00
LAF,2024-11-23 01:54,40.00,38.00,92.49,10.35,0.00
LAF,2024-11-23 02:54,39.00,38.00,96.16,5.75,0.00
LAF,2024-11-23 03:54,39.00,38.00,96.16,6.90,0.00
LAF,2024-11-23 04:54,38.00,37.00,96.14,8.05,0.00
LAF,2024-11-23 05:54,38.00,37.00,96.14,8.05,0.00
LAF,2024-11-23 06:54,38.00,36.00,92.42,8.05,0.00
LAF,2024-11-23 07:54,38.00,36.00,92.42,5.75,0.00
LAF,2024-11-23 08:54,38.00,36.00,92.42,6.90,0.00
LAF,2024-11-23 09:54,38.00,35.00,88.83,8.05,0.00
LAF,2024-11-23 10:54,39.00,36.00,88.87,4.60,0.00
LAF,2024-11-23 11:54,39.00,36.00,88.87,9.20,0.00
LAF,2024-11-23 12:54,39.00,36.00,88.87,9.20,0.00
LAF,2024-11-23 13:54,40.00,36.00,85.48,5.75,0.00
LAF,2024-11-23 14:54,40.00,35.00,82.15,10.35,0.00
LAF,2024-11-23 15:54,39.00,35.00,85.42,5.75,0.00
LAF,2024-11-23 16:54,39.00,35.00,85.42,8.05,0.00
LAF,2024-11-23 17:54,38.00,34.00,85.35,6.90,0.00
LAF,2024-11-23 18:54,38.00,34.00,85.35,10.35,0.00
LAF,2024-11-23 19:54,38.00,34.00,85.35,4.60,0.00
LAF,2024-11-23 20:54,38.00,34.00,85.35,8.05,0.00
LAF,2024-11-23 21:54,38.00,35.00,88.83,5.75,0.00
LAF,2024-11-23 22:54,38.00,35.00,88.83,4.60,0.00
LAF,2024-11-23 23:54,38.00,35.00,88.83,4.60,0.00
LAF,2024-11-24 00:54,38.00,35.00,88.83,4.60,0.00
LAF,2024-11-24 01:54,38.00,35.00,88.83,3.45,0.00
LAF,2024-11-24 02:54,38.00,35.00,88.83,5.75,0.00
LAF,2024-11-24 03:54,38.00,35.00,88.83,4.60,0.00
LAF,2024-11-24 04:54,38.00,35.00,88.83,6.90,0.00
LAF,2024-11-24 05:54,38.00,36.00,92.42,5.75,0.00
LAF,2024-11-24 06:54,38.00,36.00,92.42,3.45,0.00
LAF,2024-11-24 07:54,38.00,37.00,96.14,5.75,0.00
LAF,2024-11-24 08:54,39.00,37.00,92.45,6.90,0.00
LAF,2024-11-24 09:54,41.00,38.00,88.97,6.90,0.00
LAF,2024-11-24 10:54,46.00,39.00,76.40,8.05,0.00
LAF,2024-11-24 11:54,50.00,41.00,71.07,6.90,0.00
LAF,2024-11-24 12:54,52.00,42.00,68.59,8.05,0.00
LAF,2024-11-24 13:54,56.00,42.00,59.26,10.35,0.00
LAF,2024-11-24 14:54,56.00,43.00,61.59,6.90,0.00
LAF,2024-11-24 15:54,58.00,42.00,55.14,10.35,0.00
LAF,2024-11-24 16:54,56.00,41.00,57.02,5.75,0.00
LAF,2024-11-24 17:54,54.00,42.00,63.74,4.60,0.00
LAF,2024-11-24 18:54,54.00,41.00,61.32,5.75,0.00
LAF,2024-11-24 19:54,49.00,40.00,70.96,5.75,0.00
LAF,2024-11-24 20:54,49.00,40.00,70.96,5.75,0.00
LAF,2024-11-24 21:54,51.00,41.00,68.48,4.60,0.00
LAF,2024-11-24 22:54,52.00,40.00,63.48,8.05,0.00
LAF,2024-11-24 23:54,53.00,39.00,58.85,6.90,0.00
LAF,2024-11-25 00:54,53.00,39.00,58.85,4.60,0.00
LAF,2024-11-25 01:54,53.00,40.00,61.19,3.45,0.00
LAF,2024-11-25 02:54,54.00,40.00,58.99,3.45,0.00
LAF,2024-11-25 03:54,54.00,41.00,61.32,5.75,0.00
LAF,2024-11-25 04:54,54.00,42.00,63.74,3.45,0.00
LAF,2024-11-25 05:54,53.00,44.00,71.39,0.00,0.00
LAF,2024-11-25 06:54,54.00,45.00,71.50,3.45,0.00
LAF,2024-11-25 07:54,54.00,46.00,74.26,4.60,0.00
LAF,2024-11-25 08:54,55.00,46.00,71.60,3.45,0.00
LAF,2024-11-25 09:54,56.00,47.00,71.70,0.00,0.00
LAF,2024-11-25 10:54,56.00,49.00,77.29,5.75,0.00
LAF,2024-11-25 11:54,59.00,51.00,74.74,8.05,0.00
LAF,2024-11-25 12:54,59.00,52.00,77.55,6.90,0.00
LAF,2024-11-25 13:54,60.00,53.00,77.64,10.35,0.00
LAF,2024-11-25 14:54,57.00,51.00,80.31,12.65,0.00
LAF,2024-11-25 15:54,53.00,47.00,80.00,13.80,0.00
LAF,2024-11-25 16:54,52.00,46.00,79.92,11.50,0.00
LAF,2024-11-25 17:54,49.00,44.00,82.79,13.80,0.00
LAF,2024-11-25 18:54,47.00,43.00,85.89,14.95,T
LAF,2024-11-25 19:54,45.00,42.00,89.15,13.80,0.01
LAF,2024-11-25 20:54,43.00,40.00,89.06,17.25,0.01
LAF,2024-11-25 21:54,41.00,37.00,85.54,16.10,0.00
LAF,2024-11-25 22:54,40.00,34.00,78.94,18.40,0.00
LAF,2024-11-25 23:54,39.00,34.00,82.08,13.80,0.00
LAF,2024-11-26 00:54,38.00,32.00,78.77,14.95,0.00
LAF,2024-11-26 01:54,36.00,30.00,78.60,16.10,0.00
LAF,2024-11-26 02:54,34.00,27.00,75.26,17.25,0.00
LAF,2024-11-26 03:54,32.00,27.00,81.55,14.95,0.00
LAF,2024-11-26 04:54,29.00,24.00,81.32,10.35,0.00
LAF,2024-11-26 05:54,28.00,23.00,81.25,10.35,0.00
LAF,2024-11-26 06:54,27.00,22.00,81.17,9.20,0.00
LAF,2024-11-26 07:54,26.00,21.00,81.09,8.05,0.00
LAF,2024-11-26 08:54,28.00,22.00,77.89,8.05,0.00
LAF,2024-11-26 09:54,30.00,22.00,71.78,9.20,0.00
