station,valid,tmpf,dwpf,relh,sped,p01i
MIA,2024-11-23 00:53,60.00,50.00,69.49,3.45,0.00
MIA,2024-11-23 01:53,59.00,50.00,72.01,3.45,0.00
MIA,2024-11-23 02:53,58.00,51.00,77.47,0.00,0.00
MIA,2024-11-23 03:53,57.00,51.00,80.31,0.00,0.00
MIA,2024-11-23 04:53,60.00,48.00,64.49,4.60,0.00
MIA,2024-11-23 05:53,59.00,50.00,72.01,0.00,0.00
MIA,2024-11-23 06:53,58.00,49.00,71.91,0.00,0.00
MIA,2024-11-23 07:53,60.00,49.00,66.95,3.45,0.00
MIA,2024-11-23 08:53,62.00,43.00,49.69,6.90,0.00
MIA,2024-11-23 09:53,63.00,42.00,46.16,8.05,0.00
MIA,2024-11-23 10:53,66.00,46.00,48.43,8.05,0.00
MIA,2024-11-23 11:53,67.00,47.00,48.58,8.05,0.00
MIA,2024-11-23 12:53,69.00,46.00,43.67,6.90,0.00
MIA,2024-11-23 13:53,70.00,44.00,39.11,4.60,0.00
MIA,2024-11-23 14:53,71.00,39.00,31.16,5.75,0.00
MIA,2024-11-23 15:53,71.00,40.00,32.40,6.90,0.00
MIA,2024-11-23 16:53,69.00,43.00,38.95,5.75,0.00
MIA,2024-11-23 17:53,65.00,45.00,48.28,4.60,0.00
MIA,2024-11-23 18:53,64.00,46.00,51.93,4.60,0.00
MIA,2024-11-23 19:53,63.00,46.00,53.78,3.45,0.00
MIA,2024-11-23 20:53,63.00,45.00,51.78,4.60,0.00
MIA,2024-11-23 21:53,62.00,45.00,53.63,3.45,0.00
MIA,2024-11-23 22:53,61.00,44.00,53.49,0.00,0.00
MIA,2024-11-23 23:53,60.00,44.00,55.42,0.00,0.00
MIA,2024-11-24 00:53,61.00,45.00,55.57,4.60,0.00
MIA,2024-11-24 01:53,60.00,46.00,59.80,4.60,0.00
MIA,2024-11-24 02:53,59.00,47.00,64.36,0.00,0.00
MIA,2024-11-24 03:53,60.00,47.00,62.11,4.60,0.00
MIA,2024-11-24 04:53,59.00,47.00,64.36,4.60,0.00
MIA,2024-11-24 05:53,59.00,46.00,61.98,3.45,0.00
MIA,2024-11-24 06:53,59.00,44.00,57.44,3.45,0.00
MIA,2024-11-24 07:53,62.00,45.00,53.63,4.60,0.00
MIA,2024-11-24 08:53,65.00,46.00,50.14,6.90,0.00
MIA,2024-11-24 09:53,69.00,50.00,50.74,4.60,0.00
MIA,2024-11-24 10:53,73.00,54.00,51.33,5.75,0.00
MIA,2024-11-24 11:53,75.00,55.00,49.78,5.75,0.00
MIA,2024-11-24 12:53,76.00,59.00,55.62,11.50,0.00
MIA,2024-11-24 13:53,77.00,59.00,53.80,6.90,0.00
