station,valid,tmpf,dwpf,relh,sped,p01i
OUN,2024-11-23 00:55,42.60,31.50,64.57,0.00,0.00
OUN,2024-11-23 01:55,40.00,31.60,71.69,3.45,0.00
OUN,2024-11-23 02:55,41.70,32.00,68.21,5.75,0.00
OUN,2024-11-23 03:55,41.00,32.50,71.51,0.00,0.00
OUN,2024-11-23 04:55,42.30,32.40,67.73,4.60,0.00
OUN,2024-11-23 05:35,42.30,33.00,69.39,3.45,0.00
OUN,2024-11-23 06:55,41.00,33.40,74.14,6.90,0.00
OUN,2024-11-23 07:45,48.20,28.40,46.02,6.90,0.00
OUN,2024-11-23 08:45,48.20,28.40,46.02,11.50,0.00
OUN,2024-11-23 10:45,60.80,39.20,44.76,16.10,0.00
OUN,2024-11-23 11:45,64.40,39.20,39.43,17.25,0.00
OUN,2024-11-23 12:45,69.80,41.00,35.09,18.40,0.00
OUN,2024-11-23 13:45,69.80,42.80,37.61,20.70,0.00
OUN,2024-11-23 14:45,71.60,42.80,35.37,18.40,0.00
OUN,2024-11-23 15:45,71.60,41.00,33.00,18.40,0.00
OUN,2024-11-23 16:45,69.80,41.00,35.09,17.25,0.00
OUN,2024-11-23 17:45,64.40,42.80,45.32,12.65,0.00
OUN,2024-11-23 18:46,64.40,42.80,45.32,14.95,0.00
OUN,2024-11-23 19:45,62.60,41.00,45.04,14.95,0.00
OUN,2024-11-23 20:45,60.80,39.20,44.76,18.40,0.00
OUN,2024-11-23 21:55,57.70,42.00,55.74,12.65,0.00
OUN,2024-11-23 22:55,57.60,43.30,58.80,14.95,0.00
OUN,2024-11-23 23:55,58.00,44.20,59.99,18.40,0.00
OUN,2024-11-24 00:55,57.40,44.60,62.24,18.40,0.00
OUN,2024-11-24 01:35,56.50,45.00,65.28,17.25,0.00
OUN,2024-11-24 02:55,56.00,46.00,69.05,16.10,0.00
OUN,2024-11-24 03:55,55.40,46.20,71.10,16.10,0.00
OUN,2024-11-24 04:55,55.20,46.80,73.26,18.40,0.00
OUN,2024-11-24 05:55,54.00,47.30,78.00,17.25,0.00
OUN,2024-11-24 06:55,53.20,48.00,82.45,17.25,0.00
OUN,2024-11-24 07:35,55.00,49.30,81.05,21.85,0.00
OUN,2024-11-24 08:45,57.20,51.80,82.12,23.00,0.00
OUN,2024-11-24 09:45,64.40,51.80,63.60,28.75,0.00
OUN,2024-11-24 10:45,66.20,51.80,59.74,26.45,0.00
OUN,2024-11-24 11:45,71.60,50.00,46.43,23.00,0.00
OUN,2024-11-24 12:45,73.40,51.80,46.71,23.00,0.00
OUN,2024-11-24 13:45,75.20,51.80,43.97,25.30,0.00
OUN,2024-11-24 14:45,75.20,51.80,43.97,19.55,0.00
OUN,2024-11-24 15:45,75.20,51.80,43.97,20.70,0.00
OUN,2024-11-24 16:45,73.40,51.80,46.71,14.95,0.00
OUN,2024-11-24 17:45,66.20,51.80,59.74,10.35,0.00
OUN,2024-11-24 18:45,64.40,51.80,63.60,9.20,0.00
OUN,2024-11-24 20:45,64.40,51.80,63.60,10.35,0.00
OUN,2024-11-24 21:55,62.20,52.70,71.02,9.20,0.00
OUN,2024-11-24 22:55,60.80,53.00,75.46,10.35,0.00
OUN,2024-11-24 23:35,60.00,52.70,76.79,9.20,0.00
OUN,2024-11-25 00:55,54.30,49.60,84.08,11.50,0.00
OUN,2024-11-25 01:55,50.70,46.60,85.78,12.65,0.00
OUN,2024-11-25 02:55,49.00,44.00,82.79,20.70,0.00
OUN,2024-11-25 03:35,45.00,39.00,79.36,23.00,0.00
OUN,2024-11-25 04:55,43.70,37.40,78.32,24.15,0.00
OUN,2024-11-25 05:55,43.00,38.00,82.37,19.55,0.00
OUN,2024-11-25 06:55,42.40,36.50,79.45,23.00,0.00
OUN,2024-11-25 07:45,42.80,35.60,75.50,17.25,0.00
OUN,2024-11-25 08:45,41.00,35.60,80.93,21.85,0.00
OUN,2024-11-25 09:45,42.80,35.60,75.50,23.00,0.00
OUN,2024-11-25 10:45,44.60,33.80,65.61,21.85,0.00
OUN,2024-11-25 11:45,44.60,32.00,61.03,24.15,0.00
OUN,2024-11-25 12:45,46.40,32.00,57.00,23.00,0.00
OUN,2024-11-25 13:45,48.20,33.80,57.26,23.00,0.00
OUN,2024-11-25 14:45,48.20,32.00,53.27,19.55,0.00
OUN,2024-11-25 15:45,48.20,32.00,53.27,20.70,0.00
OUN,2024-11-25 16:45,46.40,30.20,53.00,17.25,0.00
OUN,2024-11-25 17:45,42.80,26.60,52.45,12.65,0.00
OUN,2024-11-25 18:45,42.80,24.80,48.67,16.10,0.00
OUN,2024-11-25 19:45,42.80,24.80,48.67,16.10,0.00
OUN,2024-11-25 20:45,39.20,24.80,55.95,12.65,0.00
OUN,2024-11-25 21:55,37.60,24.30,58.34,8.05,0.00
OUN,2024-11-25 22:55,34.70,24.00,64.62,6.90,0.00
OUN,2024-11-25 23:55,33.80,24.30,67.82,6.90,0.00
OUN,2024-11-26 00:55,35.40,23.50,61.54,5.75,0.00
OUN,2024-11-26 01:55,31.00,23.70,74.03,5.75,0.00
OUN,2024-11-26 02:55,31.00,24.40,76.23,0.00,0.00
OUN,2024-11-26 03:55,33.80,23.00,64.23,3.45,0.00
OUN,2024-11-26 04:55,29.30,24.00,80.33,0.00,0.00
OUN,2024-11-26 05:55,30.40,24.80,79.42,0.00,0.00
OUN,2024-11-26 06:55,30.00,25.70,83.80,3.45,0.00
OUN,2024-11-26 07:45,30.20,26.60,86.28,0.00,0.00
OUN,2024-11-26 08:45,37.40,26.60,64.70,5.75,0.00
OUN,2024-11-26 09:45,41.00,21.20,44.85,6.90,0.00
OUN,2024-11-26 10:45,44.60,23.00,42.14,6.90,0.00
OUN,2024-11-26 11:45,48.20,21.20,34.09,11.50,0.00
OUN,2024-11-26 12:45,53.60,19.40,25.85,10.35,0.00
OUN,2024-11-26 13:47,53.60,21.20,27.91,13.80,0.00
OUN,2024-11-26 14:45,55.40,21.20,26.13,13.80,0.00
OUN,2024-11-26 15:45,55.40,24.80,30.40,13.80,0.00
OUN,2024-11-26 16:45,55.40,26.60,32.76,10.35,0.00
OUN,2024-11-26 17:45,51.80,28.40,40.25,11.50,0.00
OUN,2024-11-26 18:46,50.00,30.20,46.31,9.20,0.00
OUN,2024-11-26 19:46,42.80,30.20,60.79,6.90,0.00
OUN,2024-11-26 20:45,46.40,33.80,61.28,8.05,0.00
OUN,2024-11-26 21:55,47.30,34.50,60.91,10.35,0.00
OUN,2024-11-26 22:55,47.50,35.00,61.67,10.35,0.00
OUN,2024-11-26 23:55,47.00,36.30,66.16,11.50,0.00
OUN,2024-11-27 00:55,47.00,37.40,69.10,10.35,0.00
OUN,2024-11-27 01:55,48.00,38.00,68.13,11.50,0.00
OUN,2024-11-27 02:55,47.30,39.00,72.74,8.05,0.00
OUN,2024-11-27 03:55,47.00,39.60,75.31,8.05,0.00
OUN,2024-11-27 04:55,46.40,40.30,79.16,6.90,0.00
OUN,2024-11-27 05:55,46.00,41.00,82.58,8.05,0.00
OUN,2024-11-27 06:55,47.00,42.00,82.65,9.20,0.00
OUN,2024-11-27 07:45,46.40,42.80,87.19,8.05,0.00
OUN,2024-11-27 08:45,50.00,44.60,81.61,8.05,0.00
OUN,2024-11-27 09:45,53.60,44.60,71.45,5.75,0.00
OUN,2024-11-27 10:45,57.20,44.60,62.69,4.60,0.00
OUN,2024-11-27 11:45,57.20,44.60,62.69,9.20,0.00
OUN,2024-11-27 12:45,57.20,42.80,58.52,13.80,0.00
OUN,2024-11-27 13:45,55.40,42.80,62.46,21.85,0.00
OUN,2024-11-27 14:45,53.60,42.80,66.70,24.15,0.00
OUN,2024-11-27 15:45,53.60,41.00,62.23,24.15,0.00
OUN,2024-11-27 16:45,53.60,39.20,58.02,21.85,0.00
OUN,2024-11-27 17:45,51.80,33.80,50.08,25.30,0.00
OUN,2024-11-27 18:45,46.40,35.60,65.83,19.55,0.00
OUN,2024-11-27 21:55,44.60,35.40,69.92,20.70,0.00
OUN,2024-11-27 22:55,42.00,33.80,72.48,17.25,0.00
OUN,2024-11-27 23:55,39.60,32.40,75.20,21.85,0.00
OUN,2024-11-28 00:55,37.60,29.50,72.30,17.25,0.00
OUN,2024-11-28 01:55,37.20,28.40,70.22,17.25,0.00
OUN,2024-11-28 02:55,36.50,28.20,71.60,13.80,0.00
OUN,2024-11-28 03:50,34.30,27.30,75.29,10.35,0.00
OUN,2024-11-28 04:55,33.40,26.80,76.46,11.50,0.00
OUN,2024-11-28 05:55,32.00,26.00,78.25,9.20,0.00
OUN,2024-11-28 06:55,31.30,25.70,79.50,11.50,0.00
OUN,2024-11-28 07:52,30.20,26.60,86.28,12.65,0.00
OUN,2024-11-28 08:45,33.80,24.80,69.25,14.95,0.00
OUN,2024-11-28 09:45,37.40,24.80,60.04,10.35,0.00
OUN,2024-11-28 10:45,39.20,24.80,55.95,14.95,0.00
OUN,2024-11-28 11:45,42.80,24.80,48.67,8.05,0.00
OUN,2024-11-28 12:45,44.60,24.80,45.44,10.35,0.00
OUN,2024-11-28 13:45,46.40,23.00,39.36,9.20,0.00
OUN,2024-11-28 14:45,46.40,23.00,39.36,9.20,0.00
OUN,2024-11-28 16:45,44.60,21.20,39.06,8.05,0.00
OUN,2024-11-28 21:50,33.80,24.60,68.68,4.60,0.00
OUN,2024-11-28 22:50,32.00,24.60,73.83,0.00,0.00
OUN,2024-11-28 23:50,33.00,25.30,73.01,0.00,0.00
OUN,2024-11-29 00:50,28.80,24.40,83.37,3.45,0.00
OUN,2024-11-29 01:50,29.50,24.80,82.39,0.00,0.00
OUN,2024-11-29 02:50,30.00,25.00,81.40,0.00,0.00
OUN,2024-11-29 03:50,30.40,24.40,78.11,0.00,0.00
OUN,2024-11-29 04:50,28.00,23.70,83.67,3.45,0.00
OUN,2024-11-29 05:50,27.30,24.30,88.30,3.45,0.00
OUN,2024-11-29 06:50,27.00,23.70,87.18,0.00,0.00
OUN,2024-11-29 07:46,26.60,23.00,86.07,0.00,0.00
OUN,2024-11-29 08:46,33.80,26.60,74.63,0.00,0.00
OUN,2024-11-29 09:45,41.00,26.60,56.22,6.90,0.00
OUN,2024-11-29 10:45,44.60,26.60,48.96,9.20,0.00
OUN,2024-11-29 11:45,46.40,24.80,42.44,10.35,0.00
OUN,2024-11-29 12:45,50.00,21.20,31.87,10.35,0.00
OUN,2024-11-29 13:45,51.80,21.20,29.82,10.35,0.00
OUN,2024-11-29 14:45,53.60,21.20,27.91,12.65,0.00
OUN,2024-11-29 15:45,50.00,21.20,31.87,12.65,0.00
OUN,2024-11-29 16:45,44.60,23.00,42.14,6.90,0.00
OUN,2024-11-29 18:45,42.80,23.00,45.14,5.75,0.00
OUN,2024-11-29 19:45,39.20,23.00,51.89,8.05,0.00
OUN,2024-11-29 20:45,39.20,24.80,55.95,9.20,0.00
OUN,2024-11-29 21:50,38.30,23.40,54.66,9.20,0.00
OUN,2024-11-29 22:50,38.00,24.40,57.67,9.20,0.00
OUN,2024-11-29 23:50,37.00,25.00,61.50,9.20,0.00
