station,valid,tmpf,dwpf,relh,sped,p01i
NYC,2024-11-23 00:51,37.00,34.00,88.78,3.45,T
NYC,2024-11-23 01:51,38.00,35.00,88.83,3.45,0.01
NYC,2024-11-23 02:51,39.00,37.00,92.45,3.45,0.01
NYC,2024-11-23 03:51,39.00,36.00,88.87,5.75,T
NYC,2024-11-23 04:51,39.00,35.00,85.42,0.00,0.00
NYC,2024-11-23 05:51,38.00,34.00,85.35,3.45,0.00
NYC,2024-11-23 06:51,39.00,34.00,82.08,0.00,0.00
NYC,2024-11-23 07:51,40.00,33.00,75.84,3.45,0.00
NYC,2024-11-23 08:51,42.00,34.00,73.06,M,0.00
NYC,2024-11-23 09:51,44.00,33.00,65.01,10.35,0.00
NYC,2024-11-23 10:51,46.00,33.00,60.25,8.05,0.00
NYC,2024-11-23 11:51,47.00,33.00,58.01,M,0.00
NYC,2024-11-23 12:51,47.00,32.00,55.73,11.50,0.00
NYC,2024-11-23 13:51,49.00,33.00,53.82,11.50,0.00
NYC,2024-11-23 14:51,49.00,32.00,51.70,16.10,0.00
NYC,2024-11-23 15:51,48.00,31.00,51.54,13.80,0.00
NYC,2024-11-23 16:51,47.00,31.00,53.52,16.10,0.00
NYC,2024-11-23 17:51,47.00,31.00,53.52,12.65,0.00
NYC,2024-11-23 18:51,47.00,32.00,55.73,10.35,0.00
NYC,2024-11-23 19:51,47.00,33.00,58.01,6.90,0.00
NYC,2024-11-23 20:51,47.00,34.00,60.38,12.65,0.00
NYC,2024-11-23 21:51,48.00,36.00,62.97,9.20,0.00
NYC,2024-11-23 22:51,48.00,34.00,58.16,10.35,0.00
NYC,2024-11-23 23:51,48.00,33.00,55.87,10.35,0.00
NYC,2024-11-24 00:51,49.00,32.00,51.70,10.35,0.00
NYC,2024-11-24 01:51,48.00,32.00,53.67,9.20,0.00
NYC,2024-11-24 02:51,47.00,31.00,53.52,11.50,0.00
NYC,2024-11-24 03:51,47.00,28.00,47.36,9.20,0.00
NYC,2024-11-24 04:51,46.00,28.00,49.18,14.95,0.00
NYC,2024-11-24 05:51,45.00,31.00,57.73,6.90,0.00
NYC,2024-11-24 06:51,45.00,32.00,60.11,M,0.00
NYC,2024-11-24 07:51,45.00,33.00,62.58,6.90,0.00
NYC,2024-11-24 08:51,47.00,31.00,53.52,10.35,0.00
NYC,2024-11-24 09:51,48.00,29.00,47.52,12.65,0.00
NYC,2024-11-24 10:51,50.00,28.00,42.33,M,0.00
NYC,2024-11-24 11:51,51.00,30.00,44.26,10.35,0.00
NYC,2024-11-24 12:51,53.00,28.00,37.88,11.50,0.00
NYC,2024-11-24 13:51,52.00,27.00,37.72,16.10,0.00
NYC,2024-11-24 14:51,52.00,28.00,39.30,8.05,0.00
NYC,2024-11-24 15:51,52.00,29.00,40.95,M,0.00
NYC,2024-11-24 16:51,51.00,32.00,47.99,6.90,0.00
NYC,2024-11-24 17:51,50.00,35.00,56.16,11.50,T
NYC,2024-11-24 18:51,49.00,34.00,56.02,9.20,T
NYC,2024-11-24 19:51,48.00,32.00,53.67,10.35,0.00
NYC,2024-11-24 20:51,47.00,33.00,58.01,9.20,0.00
NYC,2024-11-24 21:51,47.00,32.00,55.73,8.05,0.00
NYC,2024-11-24 22:51,46.00,32.00,57.87,5.75,0.00
NYC,2024-11-24 23:51,45.00,32.00,60.11,M,0.00
NYC,2024-11-25 00:51,44.00,32.00,62.44,0.00,0.00
NYC,2024-11-25 01:51,44.00,31.00,59.97,M,0.00
NYC,2024-11-25 02:51,43.00,30.00,59.83,5.75,0.00
NYC,2024-11-25 03:51,42.00,29.00,59.69,3.45,0.00
NYC,2024-11-25 04:51,42.00,30.00,62.18,3.45,0.00
NYC,2024-11-25 05:51,41.00,29.00,62.04,M,0.00
NYC,2024-11-25 06:51,42.00,29.00,59.69,0.00,0.00
NYC,2024-11-25 07:51,42.00,29.00,59.69,3.45,0.00
NYC,2024-11-25 08:51,43.00,29.00,57.44,5.75,0.00
NYC,2024-11-25 09:51,46.00,28.00,49.18,0.00,0.00
NYC,2024-11-25 10:51,47.00,27.00,45.45,5.75,0.00
NYC,2024-11-25 11:51,49.00,25.00,38.81,3.45,0.00
NYC,2024-11-25 12:51,51.00,25.00,36.03,5.75,0.00
NYC,2024-11-25 13:51,52.00,26.00,36.19,4.60,0.00
NYC,2024-11-25 14:51,53.00,24.00,32.10,5.75,0.00
NYC,2024-11-25 15:51,53.00,23.00,30.78,4.60,0.00
NYC,2024-11-25 16:51,51.00,25.00,36.03,0.00,0.00
NYC,2024-11-25 17:51,50.00,26.00,38.97,3.45,0.00
NYC,2024-11-25 18:51,52.00,29.00,40.95,0.00,0.00
NYC,2024-11-25 19:51,53.00,29.00,39.47,4.60,0.00
NYC,2024-11-25 20:51,53.00,30.00,41.11,4.60,0.00
NYC,2024-11-25 21:51,54.00,32.00,42.98,0.00,0.00
NYC,2024-11-25 22:51,53.00,34.00,48.30,0.00,0.00
NYC,2024-11-25 23:51,54.00,34.00,46.57,M,0.00
NYC,2024-11-26 00:51,53.00,35.00,50.27,3.45,0.00
NYC,2024-11-26 01:51,53.00,37.00,54.41,3.45,0.00
NYC,2024-11-26 02:51,53.00,38.00,56.59,4.60,0.00
NYC,2024-11-26 03:51,53.00,42.00,66.12,4.60,0.00
NYC,2024-11-26 04:51,53.00,46.00,77.03,0.00,0.00
NYC,2024-11-26 05:51,54.00,48.00,80.07,3.45,0.00
NYC,2024-11-26 06:51,56.00,50.00,80.23,M,0.00
NYC,2024-11-26 07:51,56.00,52.00,86.40,4.60,0.01
NYC,2024-11-26 08:51,55.00,52.00,89.59,0.00,0.11
NYC,2024-11-26 09:51,54.00,51.00,89.55,4.60,0.05
NYC,2024-11-26 10:51,53.00,50.00,89.51,6.90,0.02
NYC,2024-11-26 11:51,54.00,50.00,86.29,M,T
NYC,2024-11-26 12:51,55.00,48.00,77.21,M,0.00
NYC,2024-11-26 13:51,57.00,46.00,66.59,4.60,0.00
NYC,2024-11-26 14:51,58.00,43.00,57.30,5.75,0.00
NYC,2024-11-26 15:51,58.00,41.00,53.05,4.60,0.00
NYC,2024-11-26 16:51,58.00,37.00,45.38,10.35,0.00
NYC,2024-11-26 17:51,56.00,38.00,50.73,6.90,0.00
NYC,2024-11-26 18:51,53.00,31.00,42.81,10.35,0.00
NYC,2024-11-26 19:51,52.00,30.00,42.65,3.45,0.00
NYC,2024-11-26 20:51,50.00,30.00,45.93,0.00,0.00
NYC,2024-11-26 21:51,48.00,29.00,47.52,3.45,0.00
NYC,2024-11-26 22:51,48.00,28.00,45.61,6.90,0.00
NYC,2024-11-26 23:51,47.00,30.00,51.39,4.60,0.00
NYC,2024-11-27 00:51,46.00,29.00,51.24,3.45,0.00
NYC,2024-11-27 01:51,45.00,29.00,53.22,4.60,0.00
NYC,2024-11-27 02:51,45.00,29.00,53.22,3.45,0.00
NYC,2024-11-27 03:51,44.00,29.00,55.29,0.00,0.00
NYC,2024-11-27 04:51,44.00,29.00,55.29,0.00,0.00
NYC,2024-11-27 05:51,43.00,29.00,57.44,5.75,0.00
NYC,2024-11-27 06:51,43.00,29.00,57.44,M,0.00
NYC,2024-11-27 07:51,43.00,29.00,57.44,8.05,0.00
NYC,2024-11-27 08:51,45.00,29.00,53.22,M,0.00
NYC,2024-11-27 09:51,46.00,28.00,49.18,M,0.00
NYC,2024-11-27 10:51,47.00,27.00,45.45,8.05,0.00
NYC,2024-11-27 11:51,50.00,28.00,42.33,4.60,0.00
NYC,2024-11-27 12:51,50.00,27.00,40.62,5.75,0.00
NYC,2024-11-27 13:51,51.00,26.00,37.55,3.45,0.00
NYC,2024-11-27 14:51,51.00,25.00,36.03,5.75,0.00
NYC,2024-11-27 15:51,50.00,26.00,38.97,5.75,0.00
NYC,2024-11-27 16:51,49.00,26.00,40.45,6.90,0.00
NYC,2024-11-27 17:51,49.00,26.00,40.45,3.45,0.00
NYC,2024-11-27 18:51,48.00,27.00,43.77,4.60,0.00
NYC,2024-11-27 19:51,48.00,27.00,43.77,3.45,0.00
NYC,2024-11-27 20:51,49.00,27.00,42.16,5.75,0.00
NYC,2024-11-27 21:51,49.00,27.00,42.16,M,0.00
NYC,2024-11-27 22:51,49.00,27.00,42.16,0.00,0.00
