station,valid,tmpf,dwpf,relh,sped,p01i
SEA,2024-11-23 00:53,45.00,39.00,79.36,6.90,0.00
SEA,2024-11-23 01:53,45.00,40.00,82.51,10.35,0.00
SEA,2024-11-23 02:53,43.00,38.00,82.37,6.90,0.00
SEA,2024-11-23 03:53,43.00,38.00,82.37,0.00,0.00
SEA,2024-11-23 04:53,43.00,38.00,82.37,8.05,0.00
SEA,2024-11-23 05:53,45.00,38.00,76.31,6.90,0.00
SEA,2024-11-23 06:53,44.00,38.00,79.27,8.05,0.00
SEA,2024-11-23 07:53,44.00,37.00,76.22,9.20,0.00
SEA,2024-11-23 08:53,45.00,39.00,79.36,6.90,0.00
SEA,2024-11-23 09:53,47.00,40.00,76.49,8.05,0.00
SEA,2024-11-23 10:53,49.00,40.00,70.96,16.10,0.00
SEA,2024-11-23 11:53,49.00,40.00,70.96,12.65,0.00
SEA,2024-11-23 12:53,49.00,39.00,68.25,11.50,T
SEA,2024-11-23 13:53,49.00,40.00,70.96,9.20,0.00
SEA,2024-11-23 14:53,49.00,38.00,65.63,10.35,0.00
SEA,2024-11-23 15:53,49.00,39.00,68.25,11.50,T
SEA,2024-11-23 16:53,47.00,37.00,68.02,6.90,0.00
SEA,2024-11-23 17:53,43.00,36.00,76.12,6.90,0.00
SEA,2024-11-23 18:53,46.00,36.00,67.90,6.90,0.00
SEA,2024-11-23 19:53,45.00,35.00,67.78,9.20,0.00
SEA,2024-11-23 20:53,43.00,36.00,76.12,6.90,0.00
SEA,2024-11-23 21:53,43.00,36.00,76.12,6.90,0.00
SEA,2024-11-23 22:53,44.00,36.00,73.27,8.05,0.00
SEA,2024-11-23 23:53,42.00,36.00,79.11,6.90,0.00
SEA,2024-11-24 00:53,43.00,37.00,79.19,5.75,T
SEA,2024-11-24 01:53,43.00,37.00,79.19,4.60,T
SEA,2024-11-24 02:53,42.00,37.00,82.30,9.20,0.03
SEA,2024-11-24 03:53,42.00,37.00,82.30,8.05,0.01
SEA,2024-11-24 04:53,42.00,38.00,85.60,9.20,0.01
SEA,2024-11-24 05:53,42.00,38.00,85.60,9.20,0.02
SEA,2024-11-24 06:53,43.00,39.00,85.66,9.20,0.01
SEA,2024-11-24 07:53,43.00,39.00,85.66,8.05,0.01
SEA,2024-11-24 08:53,43.00,38.00,82.37,5.75,T
SEA,2024-11-24 09:53,45.00,38.00,76.31,5.75,T
SEA,2024-11-24 10:53,44.00,38.00,79.27,8.05,0.00
SEA,2024-11-24 11:53,46.00,38.00,73.47,6.90,0.01
SEA,2024-11-24 12:53,45.00,41.00,85.77,8.05,0.03
SEA,2024-11-24 13:53,45.00,41.00,85.77,8.05,0.01
SEA,2024-11-24 14:53,46.00,41.00,82.58,6.90,0.00
SEA,2024-11-24 15:53,46.00,40.00,79.44,8.05,0.00
